Date UTC,Tube #,CTD cast,Niskin,depth,comments.sampling,drop.sample,field.negative.type,extraction,comments.extraction,qubit.ng.ul,water.filtered.L,elution (ul),Fluor,Zymo columns
7/3/19,30,25-6,sfc,sfc,line not flushed,,,12/30/19,Phenol step the grease failed. extraction batch 16-30 with 12/30/19 ext neg #15,,2.5,100,1.24222,
7/3/19,31,25-6,sfc,sfc,line not flushed,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,1.24222,Yes
7/3/19,32,25-4,1,495,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.01474,
7/3/19,33,25-4,2,495,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.01474,
7/3/19,34,25-4,3,300,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.00131,
7/3/19,35,25-4,4,300,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.00131,
7/3/19,36,25-4,5,150,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,-0.0056,
7/3/19,37,25-4,6,150,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,-0.0056,
7/3/19,38,25-4,7,100,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.0053,
7/3/19,39,25-4,8,100,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.0053,
7/3/19,40,25-4,9,50,,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.33992,
7/3/19,41,25-4,10,50,,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.33992,
7/3/19,42,25-4,sfc,sfc,line not flushed,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,1.924,
7/3/19,43,25-4,sfc,sfc,line not flushed,,,1/2/20,"Phenol grease broke.Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,1.924,
7/4/19,44,25-2,1,135,,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.01659,
7/4/19,45,25-2,2,135,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,0.01659,
7/4/19,46,25-2,3,100,Dropped filter on bench,Y,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",>60,2.5,100,0.00265,
7/4/19,47,25-2,4,100,,,,1/2/20,"No visible pellet. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.00265,
7/4/19,48,25-2,5,50,,,,1/2/20,"Phenol grease broke. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,4.37044,
7/4/19,49,25-2,6,50,,,,1/2/20,"Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,4.37044,
7/4/19,50,25-2,sfc,sfc,line not flushed,,,1/2/20,"Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,8.98138,
7/4/19,51,25-2,sfc,sfc,line not flushed,,,1/2/20,"Not full volume transfered in phenol step-poured down side of tube instead of off tube into new tube. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,8.98138,
7/4/19,52,25-1,1,40,,,,1/2/20,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.25387,
7/4/19,53,25-1,2,40,,,,1/2/20,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.25387,
7/4/19,54,25-1,3,25,,,,1/2/20,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.31925,
7/4/19,55,25-1,4,25,,,,1/2/20,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.31925,
7/4/19,56,25-1,sfc,sfc,line not flushed,,,1/2/20,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.34069,
7/4/19,57,25-1,sfc,sfc,"line not flushed, only ~2L",,,1/2/20,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.34069,
7/4/19,58,26-1,1,50,Took longer to filter,,,11/5/19,dark pellet,40.4,2.5,100,0.34337,Yes
7/4/19,59,26-1,2,50,Took longer to filter,,,11/5/19,dark pellet,56.55,2.5,100,0.34337,Yes
7/4/19,60,26-1,3,25,pink particles on filter,,,11/5/19,phase-lock failed on 1st CI wash,40.3,2.5,100,0.20755,
7/4/19,61,26-1,4,25,,,,11/5/19,,47.5,2.5,100,0.20755,
7/4/19,62,26-1,sfc,sfc,,,,11/5/19,phase-lock failed on 2nd CI wash,0.252,2.5,100,0.31961,
7/4/19,63,26-1,sfc,sfc,,,,11/5/19,,49.3,2.5,100,0.31961,
7/4/19,64,26-2,1,150,,,,1/2/20,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.00581,
7/4/19,65,26-2,2,150,,,,1/2/20,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,0.00581,
7/4/19,66,26-2,3,100,,,,1/2/20,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,-0.0047,
7/4/19,67,26-2,4,100,,,,1/2/20,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,100,-0.0047,
7/4/19,68,26-2,5,50,pink particles on filter,,,11/5/19,,39.8,2.5,100,0.04593,
7/4/19,69,26-2,6,50,,,,11/5/19,phase-lock failed on 1st CI wash,5.49,2.5,100,0.04593,
7/4/19,70,26-2,sfc,sfc,,,,11/5/19,phase-lock failed on 2nd CI wash,90,2.5,100,2.1658,
7/4/19,71,26-2,sfc,sfc,,,,11/5/19,,150,2.5,100,2.1658,
7/4/19,72,26-3,1,500,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.01035,
7/4/19,73,26-3,2,500,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.01035,
7/4/19,74,26-3,3,300,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00583,
7/4/19,75,26-3,4,300,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00583,
7/4/19,76,26-3,5,150,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,#######,
7/4/19,77,26-3,6,150,took longer to filter,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,#######,
7/4/19,78,26-3,7,100,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00237,
7/4/19,79,26-3,8,100,took longer to filter,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00237,
7/4/19,80,26-3,9,50,took longer to filter,,,11/5/19,,58,2.5,100,0.07922,
7/4/19,81,26-3,10,50,took longer to filter,,,11/5/19,big pellet,65.6,2.5,100,0.07922,
7/4/19,82,26-3,sfc,sfc,took longer to filter,,,11/5/19,"phase-lock failed on 1st CI wash, big pellet",232,2.5,100,2.56342,Yes
7/4/19,83,26-3,sfc,sfc,took longer to filter,,,11/5/19,big pellet,237,2.5,100,2.56342,Yes
7/5/19,84,27-8,1,500,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.01193,
7/5/19,85,27-8,2,500,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.01193,
7/5/19,86,27-8,3,300,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.01039,
7/5/19,87,27-8,4,300,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.01039,
7/5/19,88,27-8,5,150,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00374,
7/5/19,89,27-8,6,150,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00374,
7/5/19,90,27-8,7,100,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00685,
7/5/19,91,27-8,8,100,,,,1/2/19,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,100,0.00685,
7/5/19,92,27-8,9,50,took longer to filter,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,4.83516,Yes
7/5/19,93,27-8,10,50,took longer to filter,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,4.83516,Yes
7/5/19,94,27-8,sfc,sfc,took longer to filter,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,1.67275,Yes
7/5/19,95,27-6,1,500,,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,0.01059,
7/5/19,96,27-6,2,500,ST,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.01059,
7/5/19,97,27-6,3,300,ST,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.00858,
7/5/19,98,27-6,4,300,ST,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.00858,
7/5/19,99,27-6,5,150,took longer to filter,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.00767,
7/5/19,100,27-6,6,150,,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.00767,
7/5/19,101,27-6,7,100,pink particle on filter,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.02036,
7/5/19,102,27-6,8,100,,,,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,0.02036,
7/5/19,103,27-6,9,50,,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,0.20454,
7/5/19,104,27-6,10,50,ST,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,0.20454,
7/5/19,105,27-6,sfc,sfc,pink particle on filter,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,4.6233,Yes
7/5/19,106,27-6,sfc,sfc,,,,1/6/19,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,100,4.6233,Yes
7/5/19,107,-,-,-,"DI Water from DI bucket post use, pink particle on filter",,Lab.DI,1/6/19,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,100,,
7/5/19,108,27-4,1,500,ST,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.01071,
7/5/19,109,27-4,2,500,ST,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.01071,
7/5/19,110,27-4,3,300,ST,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.00654,
7/5/19,111,27-4,4,300,ST,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.00654,
7/5/19,112,27-4,5,150,ST,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.00983,
7/5/19,113,27-4,6,150,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.00983,
7/5/19,114,27-4,7,100,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.015,
7/5/19,115,27-4,8,100,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.015,
7/5/19,116,27-4,9,50,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.02868,
7/5/19,117,27-4,10,50,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.02868,
7/5/19,118,27-4,sfc,sfc,took longer to filter,,,1/6/19,"Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,7.8637,
7/5/19,119,27-4,sfc,sfc,took longer to filter,,,1/6/19,"Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,7.8637,
7/5/19,120,27-2,1,145,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.01605,
7/5/19,121,27-2,2,145,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.01605,
7/5/19,122,27-2,3,100,,,,1/6/19,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,100,0.00687,
7/5/19,123,27-2,4,100,,,,1/8/20,"No visible pellet. Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.00687,
7/5/19,124,27-2,5,50,"ST, only about 2L",,,1/8/20,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.76536,
7/5/19,125,27-2,6,50,ST,,,1/8/20,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.76536,
7/5/19,126,27-2,sfc,sfc,,,,1/8/20,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,5.47742,
7/5/19,127,27-2,sfc,sfc,,,,1/8/20,"Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,5.47742,
7/5/19,128,27-1,1,35,,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,2.00754,
7/5/19,129,27-1,2,35,,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,2.00754,
7/5/19,130,27-1,3,25,,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.68962,
7/5/19,131,27-1,4,25,,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.68962,
7/5/19,132,27-1,5,sfc,ST,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.74928,
7/5/19,133,27-1,6,sfc,ST,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.74928,
7/5/19,134,27-1,sfc,sfc,,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.74928,
