qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul
H21_23b,I2,E05,gBlocks,UNKNOWN,30.71,4.56,,,,19.408,100000.00,18.60,100000.00,20.08,100000.00
H21_23b,I3,E05,gBlocks,UNKNOWN,29.347,3.197,,,,19.444,100000.00,18.54,100000.00,20.08,100000.00
H21_23b,J1,E04,gBlocks,UNKNOWN,26.343,0.193,,,,22.592,10000.00,21.81,10000.00,23.37,10000.00
H21_23b,J2,E04,gBlocks,UNKNOWN,26.421,0.271,,,,22.583,10000.00,21.79,10000.00,23.32,10000.00
H21_23b,J3,E04,gBlocks,UNKNOWN,26.707,0.557,,,,22.591,10000.00,21.73,10000.00,23.30,10000.00
H21_23b,K1,E03,gBlocks,UNKNOWN,26.025,-0.125,,,,25.699,1000.00,24.93,1000.00,26.48,1000.00
H21_23b,K2,E03,gBlocks,UNKNOWN,26.212,0.062,,,,25.868,1000.00,24.99,1000.00,26.69,1000.00
H21_23b,K3,E03,gBlocks,UNKNOWN,26.19,0.04,,,,25.922,1000.00,24.98,1000.00,26.63,1000.00
H21_23b,L1,E02,gBlocks,UNKNOWN,26.122,-0.028,,,,28.848,100.00,27.84,100.00,29.41,100.00
H21_23b,L2,E02,gBlocks,UNKNOWN,26.217,0.067,,,,28.944,100.00,28.19,100.00,29.65,100.00
H21_23b,L3,E02,gBlocks,UNKNOWN,26.105,-0.045,,,,28.905,100.00,28.06,100.00,29.93,100.00
H21_23b,M1,E01,gBlocks,UNKNOWN,26.201,0.051,,,,32.094,10.00,31.48,10.00,32.32,10.00
H21_23b,M2,E01,gBlocks,UNKNOWN,26.265,0.115,,,,32.486,10.00,30.98,10.00,32.81,10.00
H21_23b,M3,E01,gBlocks,UNKNOWN,26.159,0.009,,,,32.058,10.00,31.14,10.00,32.46,10.00
H21_23b,N1,5,gBlocks,UNKNOWN,26.093,-0.057,,,,32.801,5.00,31.97,5.00,34.26,5.00
H21_23b,N2,5,gBlocks,UNKNOWN,26.178,0.028,,,,33.264,5.00,31.84,5.00,33.43,5.00
H21_23b,N3,5,gBlocks,UNKNOWN,26.235,0.085,,,,32.499,5.00,32.04,5.00,33.07,5.00
H21_23b,O1,E00,gBlocks,UNKNOWN,26.146,-0.004,,,,34.888,1.00,33.95,1.00,37.14,1.00
H21_23b,O2,E00,gBlocks,UNKNOWN,26.207,0.057,,,,35.167,1.00,34.90,1.00,35.94,1.00
H21_23b,O3,E00,gBlocks,UNKNOWN,26.126,-0.024,,,,Undetermined,1.00,33.73,1.00,37.06,1.00
H21_23b,P1,E00,gBlocks,UNKNOWN,26.211,0.061,,,,35.674,1.00,35.26,1.00,37.47,1.00
H21_23b,P2,E00,gBlocks,UNKNOWN,26.243,0.093,,,,34.337,1.00,34.50,1.00,37.14,1.00
H21_23b,P3,E00,gBlocks,UNKNOWN,26.165,0.015,,,,Undetermined,1.00,34.98,1.00,34.19,1.00
H21_D_C,I1,E05,gBlocks,STANDARD,30.373,4.275,,,,19.252,100000.00,18.25,100000.00,19.83,100000.00
H21_D_C,I2,E05,gBlocks,STANDARD,31.078,4.98,,,,19.186,100000.00,18.21,100000.00,19.81,100000.00
H21_D_C,I3,E05,gBlocks,STANDARD,29.8,3.702,,,,19.255,100000.00,18.22,100000.00,19.80,100000.00
H21_D_C,J1,E04,gBlocks,STANDARD,26.396,0.298,,,,22.185,10000.00,21.22,10000.00,22.79,10000.00
H21_D_C,J2,E04,gBlocks,STANDARD,26.407,0.309,,,,22.275,10000.00,21.32,10000.00,22.97,10000.00
H21_D_C,J3,E04,gBlocks,STANDARD,26.803,0.705,,,,22.908,10000.00,21.73,10000.00,23.36,10000.00
H21_D_C,K1,E03,gBlocks,STANDARD,25.827,-0.271,,,,25.293,1000.00,24.46,1000.00,25.94,1000.00
H21_D_C,K2,E03,gBlocks,STANDARD,25.971,-0.127,,,,25.415,1000.00,24.49,1000.00,26.02,1000.00
H21_D_C,K3,E03,gBlocks,STANDARD,25.984,-0.114,,,,25.65,1000.00,24.56,1000.00,26.14,1000.00
H21_D_C,L1,E02,gBlocks,STANDARD,25.997,-0.101,,,,28.403,100.00,27.67,100.00,29.00,100.00
H21_D_C,L2,E02,gBlocks,STANDARD,26.046,-0.052,,,,28.834,100.00,27.61,100.00,29.35,100.00
H21_D_C,L3,E02,gBlocks,STANDARD,26.093,-0.005,,,,28.814,100.00,27.74,100.00,29.43,100.00
H21_D_C,M1,E01,gBlocks,STANDARD,26.074,-0.024,,,,32.185,10.00,30.85,10.00,32.48,10.00
H21_D_C,M2,E01,gBlocks,STANDARD,26.097,-0.001,,,,31.525,10.00,30.85,10.00,31.93,10.00
H21_D_C,M3,E01,gBlocks,STANDARD,26.087,-0.011,,,,31.821,10.00,30.84,10.00,32.68,10.00
H21_D_C,N1,5,gBlocks,STANDARD,26.055,-0.043,,,,32.616,5.00,31.32,5.00,33.22,5.00
H21_D_C,N2,5,gBlocks,STANDARD,25.975,-0.123,,,,33.112,5.00,31.71,5.00,33.79,5.00
H21_D_C,N3,5,gBlocks,STANDARD,26.104,0.006,,,,32.233,5.00,32.20,5.00,33.66,5.00
H21_D_C,O1,E00,gBlocks,STANDARD,26.054,-0.044,,,,35.003,1.00,34.60,1.00,35.69,1.00
H21_D_C,O2,E00,gBlocks,STANDARD,25.986,-0.112,,,,34.197,1.00,33.20,1.00,36.35,1.00
H21_D_C,O3,E00,gBlocks,STANDARD,26.12,0.022,,,,33.987,1.00,33.11,1.00,35.80,1.00
H21_D_C,P1,E00,gBlocks,STANDARD,25.982,-0.116,,,,34.056,1.00,33.70,1.00,Undetermined,1.00
H21_D_C,P2,E00,gBlocks,STANDARD,25.958,-0.14,,,,Undetermined,1.00,34.93,1.00,34.90,1.00
H21_D_C,P3,E00,gBlocks,STANDARD,26.096,-0.002,,,,35.241,1.00,33.34,1.00,Undetermined,1.00
H21_D_D,I1,E05,gBlocks,UNKNOWN,31.635,5.532,,,,19.195,100000.00,18.29,100000.00,20.02,100000.00
H21_D_D,I2,E05,gBlocks,UNKNOWN,32.239,6.136,,,,19.253,100000.00,18.36,100000.00,20.08,100000.00
H21_D_D,I3,E05,gBlocks,UNKNOWN,30.499,4.396,,,,19.278,100000.00,18.33,100000.00,20.06,100000.00
H21_D_D,J1,E04,gBlocks,UNKNOWN,26.851,0.748,,,,22.338,10000.00,21.47,10000.00,23.21,10000.00
H21_D_D,J2,E04,gBlocks,UNKNOWN,26.763,0.66,,,,22.423,10000.00,21.48,10000.00,23.34,10000.00
H21_D_D,J3,E04,gBlocks,UNKNOWN,26.862,0.759,,,,22.475,10000.00,21.50,10000.00,23.30,10000.00
H21_D_D,K1,E03,gBlocks,UNKNOWN,26.357,0.254,,,,25.631,1000.00,24.75,1000.00,26.51,1000.00
H21_D_D,K2,E03,gBlocks,UNKNOWN,26.224,0.121,,,,25.658,1000.00,24.64,1000.00,26.42,1000.00
H21_D_D,K3,E03,gBlocks,UNKNOWN,26.205,0.102,,,,25.79,1000.00,24.72,1000.00,26.55,1000.00
H21_D_D,L1,E02,gBlocks,UNKNOWN,26.341,0.238,,,,28.795,100.00,27.68,100.00,29.67,100.00
H21_D_D,L2,E02,gBlocks,UNKNOWN,26.428,0.325,,,,28.913,100.00,27.83,100.00,29.60,100.00
H21_D_D,L3,E02,gBlocks,UNKNOWN,26.492,0.389,,,,28.479,100.00,27.72,100.00,29.56,100.00
H21_D_D,M1,E01,gBlocks,UNKNOWN,26.361,0.258,,,,32.691,10.00,30.77,10.00,33.13,10.00
H21_D_D,M2,E01,gBlocks,UNKNOWN,26.259,0.156,,,,32.205,10.00,30.85,10.00,32.85,10.00
H21_D_D,M3,E01,gBlocks,UNKNOWN,26.405,0.302,,,,31.708,10.00,30.66,10.00,33.04,10.00
H21_D_D,N1,5,gBlocks,UNKNOWN,26.331,0.228,,,,32.685,5.00,31.50,5.00,34.09,5.00
H21_D_D,N2,5,gBlocks,UNKNOWN,26.458,0.355,,,,33.471,5.00,32.18,5.00,34.03,5.00
H21_D_D,N3,5,gBlocks,UNKNOWN,26.384,0.281,,,,32.656,5.00,31.74,5.00,33.61,5.00
H21_D_D,O1,E00,gBlocks,UNKNOWN,26.429,0.326,,,,34.396,1.00,33.77,1.00,Undetermined,1.00
H21_D_D,O2,E00,gBlocks,UNKNOWN,26.271,0.168,,,,Undetermined,1.00,33.91,1.00,Undetermined,1.00
H21_D_D,O3,E00,gBlocks,UNKNOWN,26.328,0.225,,,,34.078,1.00,34.26,1.00,Undetermined,1.00
H21_D_D,P1,E00,gBlocks,UNKNOWN,26.205,0.102,,,,35.989,1.00,33.61,1.00,36.62,1.00
H21_D_D,P2,E00,gBlocks,UNKNOWN,26.273,0.17,,,,Undetermined,1.00,34.10,1.00,Undetermined,1.00
H21_D_D,P3,E00,gBlocks,UNKNOWN,26.322,0.219,,,,33.741,1.00,34.26,1.00,36.39,1.00
H21_D_B,I1,E05,gBlocks,STANDARD,30.876,4.741,,,,19.359,100000.00,18.55,100000.00,20.04,100000.00
H21_D_B,I2,E05,gBlocks,STANDARD,31.391,5.256,,,,19.285,100000.00,18.48,100000.00,20.00,100000.00
H21_D_B,I3,E05,gBlocks,STANDARD,29.937,3.802,,,,19.585,100000.00,18.68,100000.00,20.19,100000.00
H21_D_B,J1,E04,gBlocks,STANDARD,26.721,0.586,,,,22.421,10000.00,21.63,10000.00,23.20,10000.00
H21_D_B,J2,E04,gBlocks,STANDARD,26.465,0.33,,,,22.507,10000.00,21.65,10000.00,23.22,10000.00
H21_D_B,J3,E04,gBlocks,STANDARD,26.641,0.506,,,,22.663,10000.00,21.72,10000.00,23.35,10000.00
H21_D_B,K1,E03,gBlocks,STANDARD,26.115,-0.02,,,,25.688,1000.00,24.78,1000.00,26.44,1000.00
H21_D_B,K2,E03,gBlocks,STANDARD,26.103,-0.032,,,,25.792,1000.00,24.84,1000.00,26.45,1000.00
H21_D_B,K3,E03,gBlocks,STANDARD,26.145,0.01,,,,25.831,1000.00,24.94,1000.00,26.51,1000.00
H21_D_B,L1,E02,gBlocks,STANDARD,26.24,0.105,,,,29.008,100.00,28.21,100.00,29.59,100.00
H21_D_B,L2,E02,gBlocks,STANDARD,26.236,0.101,,,,28.925,100.00,27.85,100.00,29.49,100.00
H21_D_B,L3,E02,gBlocks,STANDARD,26.143,0.008,,,,29.092,100.00,27.95,100.00,29.61,100.00
H21_D_B,M1,E01,gBlocks,STANDARD,26.134,-0.001,,,,31.672,10.00,31.04,10.00,32.54,10.00
H21_D_B,M2,E01,gBlocks,STANDARD,26.137,0.002,,,,31.683,10.00,31.21,10.00,32.94,10.00
H21_D_B,M3,E01,gBlocks,STANDARD,26.213,0.078,,,,32.941,10.00,31.15,10.00,32.43,10.00
H21_D_B,N1,5,gBlocks,STANDARD,26.226,0.091,,,,33.252,5.00,31.98,5.00,34.00,5.00
H21_D_B,N2,5,gBlocks,STANDARD,26.21,0.075,,,,32.763,5.00,31.87,5.00,33.44,5.00
H21_D_B,N3,5,gBlocks,STANDARD,26.33,0.195,,,,35.48,5.00,32.27,5.00,34.22,5.00
H21_D_B,O1,E00,gBlocks,STANDARD,26.262,0.127,,,,36.118,1.00,33.51,1.00,Undetermined,1.00
H21_D_B,O2,E00,gBlocks,STANDARD,26.314,0.179,,,,34.824,1.00,34.65,1.00,35.05,1.00
H21_D_B,O3,E00,gBlocks,STANDARD,26.18,0.045,,,,35.926,1.00,33.82,1.00,Undetermined,1.00
H21_D_B,P1,E00,gBlocks,STANDARD,26.299,0.164,,,,36.889,1.00,34.33,1.00,Undetermined,1.00
H21_D_B,P2,E00,gBlocks,STANDARD,26.159,0.024,,,,Undetermined,1.00,33.93,1.00,36.05,1.00
H21_D_B,P3,E00,gBlocks,STANDARD,26.276,0.141,,,,34.865,1.00,35.21,1.00,Undetermined,1.00
H22_01,I1,E05,gBlocks,UNKNOWN,35.346,8.384,,,,19.128,100000.00,18.26,100000.00,19.79,100000.00
H22_01,I2,E05,gBlocks,UNKNOWN,36.043,9.081,,,,19.098,100000.00,18.22,100000.00,19.82,100000.00
H22_01,I3,E05,gBlocks,UNKNOWN,33.275,6.313,,,,19.217,100000.00,18.24,100000.00,19.87,100000.00
H22_01,J1,E04,gBlocks,UNKNOWN,28.16,1.198,,,,22.307,10000.00,21.40,10000.00,22.99,10000.00
H22_01,J2,E04,gBlocks,UNKNOWN,28.213,1.251,,,,22.305,10000.00,21.46,10000.00,23.01,10000.00
H22_01,J3,E04,gBlocks,UNKNOWN,28.268,1.306,,,,22.381,10000.00,21.38,10000.00,23.06,10000.00
H22_01,K1,E03,gBlocks,UNKNOWN,27.101,0.139,,,,25.711,1000.00,24.76,1000.00,26.33,1000.00
H22_01,K2,E03,gBlocks,UNKNOWN,27.093,0.131,,,,25.57,1000.00,24.70,1000.00,26.24,1000.00
H22_01,K3,E03,gBlocks,UNKNOWN,27.097,0.135,,,,25.697,1000.00,24.65,1000.00,26.27,1000.00
H22_01,L1,E02,gBlocks,UNKNOWN,26.984,0.022,,,,28.72,100.00,27.75,100.00,29.41,100.00
H22_01,L2,E02,gBlocks,UNKNOWN,27.102,0.14,,,,28.73,100.00,27.77,100.00,29.23,100.00
H22_01,L3,E02,gBlocks,UNKNOWN,27.134,0.172,,,,29.01,100.00,27.92,100.00,29.44,100.00
H22_01,M1,E01,gBlocks,UNKNOWN,27.073,0.111,,,,31.63,10.00,30.86,10.00,32.00,10.00
H22_01,M2,E01,gBlocks,UNKNOWN,27.044,0.082,,,,31.63,10.00,30.81,10.00,32.75,10.00
H22_01,M3,E01,gBlocks,UNKNOWN,27.026,0.064,,,,31.754,10.00,30.76,10.00,31.72,10.00
H22_01,N1,5,gBlocks,UNKNOWN,26.983,0.021,,,,32.823,5.00,31.75,5.00,33.16,5.00
H22_01,N2,5,gBlocks,UNKNOWN,27.096,0.134,,,,34.766,5.00,31.65,5.00,33.70,5.00
H22_01,N3,5,gBlocks,UNKNOWN,27.147,0.185,,,,33.278,5.00,32.48,5.00,34.12,5.00
H22_01,O1,E00,gBlocks,UNKNOWN,27.149,0.187,,,,35.44,1.00,33.82,1.00,36.08,1.00
H22_01,O2,E00,gBlocks,UNKNOWN,27.213,0.251,,,,34.803,1.00,35.23,1.00,34.90,1.00
H22_01,O3,E00,gBlocks,UNKNOWN,27.163,0.201,,,,34.99,1.00,34.32,1.00,35.98,1.00
H22_01,P1,E00,gBlocks,UNKNOWN,27.074,0.112,,,,34.386,1.00,33.04,1.00,35.27,1.00
H22_01,P2,E00,gBlocks,UNKNOWN,27.038,0.076,,,,34.455,1.00,33.48,1.00,36.15,1.00
H22_01,P3,E00,gBlocks,UNKNOWN,27.005,0.043,,,,35.759,1.00,34.16,1.00,Undetermined,1.00
