qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H7,C2,E03,gBlocks,26.41029549,-0.204,STANDARD,25.08527756,1000,STANDARD,24.53339005,1000,STANDARD,25.77856064,1000
H7,C3,E03,gBlocks,26.33896446,-0.275,STANDARD,25.28125763,1000,STANDARD,24.68832207,1000,STANDARD,26.10638237,1000
H7,B1,E04,gBlocks,27.1133213,0.499,STANDARD,21.69609261,10000,STANDARD,21.27354813,10000,STANDARD,22.72291374,10000
H7,B2,E04,gBlocks,26.70775223,0.094,STANDARD,21.69053268,10000,STANDARD,21.22697258,10000,STANDARD,22.66010857,10000
H7,B3,E04,gBlocks,26.66710472,0.053,STANDARD,21.78743744,10000,STANDARD,21.35045624,10000,STANDARD,22.7818737,10000
H7,A1,E05,gBlocks,30.78902245,4.175,STANDARD,18.87465096,100000,STANDARD,18.49492645,100000,STANDARD,19.8491745,100000
H7,A2,E05,gBlocks,31.12348747,4.509,STANDARD,18.55490494,100000,STANDARD,18.08289719,100000,STANDARD,19.51502037,100000
H7,A3,E05,gBlocks,31.31439018,4.700,STANDARD,18.69888115,100000,STANDARD,18.21554947,100000,STANDARD,19.5730114,100000
H8,A1,E05,gBlocks,29.61057663,3.257,STANDARD,20.39007378,100000,STANDARD,19.60695076,100000,STANDARD,19.60695076,100000
H8,A2,E05,gBlocks,30.52914429,4.176,STANDARD,20.01405525,100000,STANDARD,19.16320229,100000,STANDARD,19.16320229,100000
H8,A3,E05,gBlocks,29.31005096,2.957,STANDARD,20.15341949,100000,STANDARD,19.22271538,100000,STANDARD,19.22271538,100000
H8,B1,E04,gBlocks,26.44040489,0.087,STANDARD,23.3570652,10000,STANDARD,22.47117805,10000,STANDARD,22.47117805,10000
H8,B2,E04,gBlocks,26.61777878,0.265,STANDARD,23.30724144,10000,STANDARD,22.60416031,10000,STANDARD,22.60416031,10000
H8,B3,E04,gBlocks,26.11140633,-0.242,STANDARD,23.35932732,10000,STANDARD,22.49468613,10000,STANDARD,22.49468613,10000
H8,C1,E03,gBlocks,26.27589607,-0.077,STANDARD,26.85717392,1000,STANDARD,25.75984764,1000,STANDARD,25.75984764,1000
H8,C2,E03,gBlocks,26.23060608,-0.123,STANDARD,26.71284866,1000,STANDARD,25.64536667,1000,STANDARD,25.64536667,1000
H8,C3,E03,gBlocks,26.21453094,-0.139,STANDARD,26.71720695,1000,STANDARD,25.77133369,1000,STANDARD,25.77133369,1000
H8,D1,E02,gBlocks,26.33839798,-0.015,STANDARD,30.11763382,100,STANDARD,28.97122383,100,STANDARD,28.97122383,100
H8,D2,E02,gBlocks,26.38376808,0.031,STANDARD,29.90788841,100,STANDARD,28.89701653,100,STANDARD,28.89701653,100
H8,D3,E02,gBlocks,26.274086,-0.079,STANDARD,30.00498962,100,STANDARD,28.8012867,100,STANDARD,28.8012867,100
H8,E1,E01,gBlocks,26.4771595,0.124,STANDARD,33.59155655,10,STANDARD,32.23907471,10,STANDARD,32.23907471,10
H8,E2,E01,gBlocks,26.36116219,0.008,STANDARD,32.84762955,10,STANDARD,32.04461288,10,STANDARD,32.04461288,10
H8,E3,E01,gBlocks,26.34259033,-0.011,STANDARD,32.98070908,10,STANDARD,32.10206985,10,STANDARD,32.10206985,10
H8,F1,5,gBlocks,26.39180183,0.039,STANDARD,33.41233444,5,STANDARD,32.95552826,5,STANDARD,32.95552826,5
H8,F2,5,gBlocks,26.39227104,0.039,STANDARD,34.22676468,5,STANDARD,32.70828247,5,STANDARD,32.70828247,5
H8,F3,5,gBlocks,26.43687057,0.084,STANDARD,33.79737854,5,STANDARD,32.69248962,5,STANDARD,32.69248962,5
H8,G1,E00,gBlocks,26.19809341,-0.155,STANDARD,Undetermined,1,STANDARD,34.72514725,1,STANDARD,34.72514725,1
H8,G2,E00,gBlocks,26.40742874,0.054,STANDARD,Undetermined,1,STANDARD,34.26069641,1,STANDARD,34.26069641,1
H8,G3,E00,gBlocks,26.48003197,0.127,UNKNOWN,37.34799194,0.427179337,UNKNOWN,33.76968765,2.322918892,STANDARD,33.76968765,2.322918892
H8,H1,E00,gBlocks,26.30690193,-0.046,STANDARD,35.3567009,1,STANDARD,35.81322098,1,STANDARD,35.81322098,1
H8,H2,E00,gBlocks,26.36322594,0.010,STANDARD,36.358078,1,STANDARD,34.15861511,1,STANDARD,34.15861511,1
H8,H3,E00,gBlocks,26.35136795,-0.002,STANDARD,36.35252762,1,STANDARD,34.31475067,1,STANDARD,34.31475067,1
H9,A1,E05,gBlocks,29.45602989,2.771,STANDARD,20.46275902,100000,STANDARD,20.33158302,100000,STANDARD,21.14066124,100000
H9,A2,E05,gBlocks,30.0635891,3.378,STANDARD,20.19802666,100000,STANDARD,20.00691223,100000,STANDARD,20.92275429,100000
H9,A3,E05,gBlocks,29.33139038,2.646,STANDARD,20.45921135,100000,STANDARD,20.21762466,100000,STANDARD,21.06049156,100000
H9,B1,E04,gBlocks,26.80541611,0.120,STANDARD,23.41921234,10000,STANDARD,23.2312603,10000,STANDARD,24.03996277,10000
H9,B2,E04,gBlocks,26.69401932,0.009,STANDARD,23.57036972,10000,STANDARD,23.3974514,10000,STANDARD,24.19668198,10000
H9,B3,E04,gBlocks,26.40661621,-0.279,STANDARD,23.68992233,10000,STANDARD,23.49476242,10000,STANDARD,24.35626984,10000
H9,C1,E03,gBlocks,26.42542076,-0.260,STANDARD,27.0671711,1000,STANDARD,26.78906059,1000,STANDARD,27.58638573,1000
H9,C2,E03,gBlocks,26.55383682,-0.131,STANDARD,27.06116486,1000,STANDARD,26.67492294,1000,STANDARD,27.4926548,1000
H9,C3,E03,gBlocks,26.52865982,-0.157,STANDARD,27.16522026,1000,STANDARD,26.93262863,1000,STANDARD,27.76947021,1000
H9,D1,E02,gBlocks,26.68441391,-0.001,STANDARD,30.23420143,100,STANDARD,29.69588852,100,STANDARD,30.84053612,100
H9,D2,E02,gBlocks,26.83686256,0.152,STANDARD,30.24357033,100,STANDARD,29.69595146,100,STANDARD,30.72857285,100
H9,D3,E02,gBlocks,26.59936714,-0.086,STANDARD,30.13458824,100,STANDARD,29.70071411,100,STANDARD,30.81837463,100
H9,E1,E01,gBlocks,26.58812141,-0.097,STANDARD,33.82617569,10,STANDARD,33.32761002,10,STANDARD,34.82619095,10
H9,E2,E01,gBlocks,26.69126511,0.006,STANDARD,32.94486237,10,STANDARD,32.79727554,10,STANDARD,33.05844116,10
H9,E3,E01,gBlocks,26.77750587,0.092,UNKNOWN,35.40096283,2.478692532,STANDARD,32.90364075,10,STANDARD,33.52391434,10
H9,F1,5,gBlocks,26.64932823,-0.036,STANDARD,34.02190781,5,STANDARD,33.82584763,5,STANDARD,34.29336929,5
H9,F2,5,gBlocks,26.6537323,-0.031,STANDARD,35.48034668,5,STANDARD,33.79482269,5,STANDARD,34.3310585,5
H9,F3,5,gBlocks,26.65456772,-0.031,STANDARD,36.11172104,5,STANDARD,33.9031105,5,STANDARD,34.00858307,5
H9,G1,E00,gBlocks,26.76125908,0.076,STANDARD,35.97254944,1,UNKNOWN,36.56979752,0.5855757,STANDARD,Undetermined,1
H9,G2,E00,gBlocks,26.64175034,-0.043,STANDARD,Undetermined,1,STANDARD,36.02574158,1,STANDARD,36.08472061,1
H9,G3,E00,gBlocks,26.7349205,0.050,STANDARD,36.74147415,1,STANDARD,35.39789581,1,STANDARD,35.98095322,1
H9,H1,E00,gBlocks,26.66571426,-0.020,STANDARD,35.93024445,1,UNKNOWN,35.39816284,1.398740292,STANDARD,37.66563034,1
H9,H2,E00,gBlocks,26.60925484,-0.076,STANDARD,35.85250854,1,STANDARD,35.68014145,1,STANDARD,37.23313141,1
H9,H3,E00,gBlocks,26.5949173,-0.090,STANDARD,36.82078934,1,STANDARD,34.94636536,1,STANDARD,Undetermined,1
H10,A1,E05,gBlocks,29.54193115,3.008,STANDARD,19.42298126,100000,STANDARD,19.16858482,100000,STANDARD,20.21071815,100000
H10,A2,E05,gBlocks,30.44298744,3.909,STANDARD,18.98097992,100000,STANDARD,18.73818588,100000,STANDARD,19.80028152,100000
H10,A3,E05,gBlocks,30.14245415,3.608,STANDARD,19.10467911,100000,STANDARD,18.84551239,100000,STANDARD,19.87147331,100000
H10,B1,E04,gBlocks,26.73295784,0.199,STANDARD,22.27861404,10000,STANDARD,21.95595551,10000,STANDARD,23.03948784,10000
H10,B2,E04,gBlocks,26.73449326,0.200,STANDARD,22.27876472,10000,STANDARD,22.07438469,10000,STANDARD,23.17077065,10000
H10,B3,E04,gBlocks,26.67529297,0.141,STANDARD,22.19842148,10000,STANDARD,21.99694633,10000,STANDARD,23.00252724,10000
H10,C1,E03,gBlocks,26.39459419,-0.140,STANDARD,25.63395691,1000,STANDARD,25.31915474,1000,STANDARD,26.35710335,1000
