qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul,hake.confirmed,lamprey.confirmed,eulachon.confirmed
H16,B8,682,unknowns,UNKNOWN,27.446,1.364,NO,,1.00,41.342,0.013,Undetermined,,Undetermined,,,,
H16,B9,682,unknowns,UNKNOWN,28.719,2.636,NO,,1.00,42.975,0.004,Undetermined,,Undetermined,,,,
H16,B10,690,unknowns,UNKNOWN,26.142,0.060,,,1.00,32.259,9.149,Undetermined,,Undetermined,,,,
H16,B11,690,unknowns,UNKNOWN,26.230,0.148,,,1.00,32.191,9.614,Undetermined,,Undetermined,,,,
H16,B12,690,unknowns,UNKNOWN,26.165,0.083,,,1.00,31.831,12.465,Undetermined,,Undetermined,,,,
H16,B13,698,unknowns,UNKNOWN,26.048,-0.035,,,1.00,35.945,0.638,Undetermined,,Undetermined,,,,
H16,B14,698,unknowns,UNKNOWN,26.191,0.109,,,1.00,35.220,1.077,Undetermined,,Undetermined,,,,
H16,B15,698,unknowns,UNKNOWN,26.123,0.041,,,1.00,34.220,2.218,Undetermined,,Undetermined,,,,
H16,B16,706,unknowns,UNKNOWN,27.062,0.980,NO,,1.00,36.947,0.309,Undetermined,,Undetermined,,,,
H16,B17,706,unknowns,UNKNOWN,29.217,3.135,NO,,1.00,40.137,0.031,Undetermined,,Undetermined,,,,
H16,B18,706,unknowns,UNKNOWN,27.954,1.871,NO,,1.00,43.377,0.003,Undetermined,,Undetermined,,,,
H16,B19,714,unknowns,UNKNOWN,26.182,0.099,,,1.00,33.466,3.826,Undetermined,,Undetermined,,,,
H16,B20,714,unknowns,UNKNOWN,26.244,0.162,,,1.00,33.330,4.220,Undetermined,,Undetermined,,,,
H16,B21,714,unknowns,UNKNOWN,26.191,0.108,,,1.00,32.966,5.492,Undetermined,,Undetermined,,,,
H16,C4,ntc,ntc,UNKNOWN,26.052,-0.030,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C5,ntc,ntc,UNKNOWN,26.071,-0.012,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C6,ntc,ntc,UNKNOWN,26.016,-0.067,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C7,683,unknowns,UNKNOWN,26.452,0.369,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C8,683,unknowns,UNKNOWN,26.860,0.777,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C9,683,unknowns,UNKNOWN,28.506,2.424,NO,,1.00,40.203,0.029,Undetermined,,Undetermined,,,,
H16,C10,691,unknowns,UNKNOWN,26.131,0.049,,,1.00,30.586,30.634,Undetermined,,Undetermined,,,,
H16,C11,691,unknowns,UNKNOWN,26.157,0.074,,,1.00,30.571,30.967,Undetermined,,Undetermined,,,,
H16,C12,691,unknowns,UNKNOWN,26.151,0.068,,,1.00,30.028,45.867,Undetermined,,Undetermined,,,,
H16,C13,699,unknowns,UNKNOWN,26.238,0.156,,,1.00,34.571,1.722,Undetermined,,Undetermined,,,,
H16,C14,699,unknowns,UNKNOWN,26.208,0.126,,,1.00,34.802,1.457,Undetermined,,Undetermined,,,,
H16,C15,699,unknowns,UNKNOWN,26.170,0.087,,,1.00,34.283,2.120,Undetermined,,Undetermined,,,,
H16,C16,707,unknowns,UNKNOWN,30.209,4.126,NO,,1.00,43.870,0.002,Undetermined,,Undetermined,,,,
H16,C17,707,unknowns,UNKNOWN,40.964,14.881,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C18,707,unknowns,UNKNOWN,40.083,14.001,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,C19,715,unknowns,UNKNOWN,26.119,0.036,,,1.00,35.291,1.024,Undetermined,,Undetermined,,,,
H16,C20,715,unknowns,UNKNOWN,26.260,0.177,,,1.00,35.934,0.643,Undetermined,,Undetermined,,,,
H16,C21,715,unknowns,UNKNOWN,26.183,0.101,,,1.00,36.055,0.589,Undetermined,,Undetermined,,,,
H16,D7,684,unknowns,UNKNOWN,26.190,0.108,,,1.00,34.246,2.177,Undetermined,,Undetermined,,,,
H16,D8,684,unknowns,UNKNOWN,26.234,0.152,,,1.00,34.371,1.989,Undetermined,,Undetermined,,,,
H16,D9,684,unknowns,UNKNOWN,26.250,0.168,,,1.00,33.415,3.970,Undetermined,,Undetermined,,,,
H16,D10,692,unknowns,UNKNOWN,26.355,0.273,,,1.00,28.609,127.789,Undetermined,,Undetermined,,,,
H16,D11,692,unknowns,UNKNOWN,26.344,0.262,,,1.00,28.186,173.497,Undetermined,,Undetermined,,,,
H16,D12,692,unknowns,UNKNOWN,26.253,0.171,,,1.00,27.884,215.905,Undetermined,,Undetermined,,,,
H16,D13,700,unknowns,UNKNOWN,26.216,0.134,,,1.00,29.616,61.742,Undetermined,,Undetermined,,,,
H16,D14,700,unknowns,UNKNOWN,26.248,0.166,,,1.00,29.495,67.423,Undetermined,,Undetermined,,,,
H16,D15,700,unknowns,UNKNOWN,26.269,0.186,,,1.00,28.835,108.557,Undetermined,,Undetermined,,,,
H16,D16,708,unknowns,UNKNOWN,26.231,0.149,,,1.00,34.710,1.557,Undetermined,,Undetermined,,,,
H16,D17,708,unknowns,UNKNOWN,26.211,0.129,,,1.00,34.873,1.384,Undetermined,,Undetermined,,,,
H16,D18,708,unknowns,UNKNOWN,26.212,0.130,,,1.00,35.845,0.686,Undetermined,,Undetermined,,,,
H16,D19,716,unknowns,UNKNOWN,26.347,0.265,,,1.00,36.484,0.432,Undetermined,,Undetermined,,,,
H16,D20,716,unknowns,UNKNOWN,26.508,0.426,,,1.00,37.557,0.199,Undetermined,,Undetermined,,,,
H16,D21,716,unknowns,UNKNOWN,26.581,0.498,,,1.00,35.172,1.115,Undetermined,,Undetermined,,,,
H16,E4,677,unknowns,UNKNOWN,26.060,-0.023,,,1.00,32.588,7.216,Undetermined,,Undetermined,,,,
H16,E5,677,unknowns,UNKNOWN,26.025,-0.057,,,1.00,32.642,6.940,Undetermined,,Undetermined,,,,
H16,E6,677,unknowns,UNKNOWN,26.299,0.216,,,1.00,32.217,9.433,Undetermined,,Undetermined,,,,
H16,E7,685,unknowns,UNKNOWN,26.099,0.016,,,1.00,35.649,0.790,Undetermined,,Undetermined,,,,
H16,E8,685,unknowns,UNKNOWN,26.185,0.102,,,1.00,34.691,1.579,Undetermined,,Undetermined,,,,
H16,E9,685,unknowns,UNKNOWN,26.242,0.160,,,1.00,35.389,0.953,Undetermined,,Undetermined,,,,
H16,E10,693,unknowns,UNKNOWN,26.463,0.380,,,1.00,33.299,4.316,Undetermined,,Undetermined,,,,
H16,E11,693,unknowns,UNKNOWN,26.219,0.136,,,1.00,33.459,3.844,Undetermined,,Undetermined,,,,
H16,E12,693,unknowns,UNKNOWN,26.185,0.103,,,1.00,31.973,11.253,Undetermined,,Undetermined,,,,
H16,E13,701,unknowns,UNKNOWN,26.132,0.049,,,1.00,30.347,36.427,Undetermined,,Undetermined,,,,
H16,E14,701,unknowns,UNKNOWN,26.340,0.257,,,1.00,30.459,33.580,Undetermined,,Undetermined,,,,
H16,E15,701,unknowns,UNKNOWN,26.237,0.154,,,1.00,30.616,29.996,Undetermined,,Undetermined,,,,
H16,E16,709,unknowns,UNKNOWN,26.378,0.296,,,1.00,35.315,1.006,Undetermined,,Undetermined,,,,
H16,E17,709,unknowns,UNKNOWN,26.098,0.015,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,E18,709,unknowns,UNKNOWN,26.208,0.126,,,1.00,35.363,0.972,Undetermined,,Undetermined,,,,
H16,E19,717,unknowns,UNKNOWN,26.444,0.361,,,1.00,35.693,0.765,Undetermined,,Undetermined,,,,
H16,E20,717,unknowns,UNKNOWN,26.387,0.305,,,1.00,34.677,1.595,Undetermined,,Undetermined,,,,
H16,E21,717,unknowns,UNKNOWN,26.379,0.296,,,1.00,36.966,0.305,Undetermined,,Undetermined,,,,
H16,F4,678,unknowns,UNKNOWN,26.148,0.066,,,1.00,36.223,0.522,Undetermined,,Undetermined,,,,
H16,F5,678,unknowns,UNKNOWN,26.208,0.126,,,1.00,33.804,2.997,Undetermined,,Undetermined,,,,
H16,F6,678,unknowns,UNKNOWN,26.393,0.311,,,1.00,34.398,1.951,Undetermined,,Undetermined,,,,
H16,F7,686,unknowns,UNKNOWN,26.338,0.256,,,1.00,35.747,0.736,Undetermined,,Undetermined,,,,
H16,F8,686,unknowns,UNKNOWN,26.258,0.176,,,1.00,34.740,1.524,Undetermined,,Undetermined,,,,
H16,F9,686,unknowns,UNKNOWN,26.710,0.628,,,1.00,34.308,2.082,Undetermined,,Undetermined,,,,
H16,F10,694,unknowns,UNKNOWN,26.768,0.686,NO,,1.00,38.314,0.115,Undetermined,,Undetermined,,,,
H16,F11,694,unknowns,UNKNOWN,30.722,4.639,NO,,1.00,41.882,0.009,Undetermined,,Undetermined,,,,
H16,F12,694,unknowns,UNKNOWN,36.906,10.823,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,F13,702,unknowns,UNKNOWN,26.092,0.009,,,1.00,35.668,0.780,Undetermined,,Undetermined,,,,
H16,F14,702,unknowns,UNKNOWN,26.183,0.101,,,1.00,35.847,0.685,Undetermined,,Undetermined,,,,
H16,F15,702,unknowns,UNKNOWN,26.119,0.037,,,1.00,35.501,0.880,Undetermined,,Undetermined,,,,
H16,F16,710,unknowns,UNKNOWN,26.146,0.063,,,1.00,36.794,0.346,Undetermined,,Undetermined,,,,
H16,F17,710,unknowns,UNKNOWN,26.401,0.318,,,1.00,35.584,0.828,Undetermined,,Undetermined,,,,
H16,F18,710,unknowns,UNKNOWN,26.266,0.183,,,1.00,35.723,0.749,Undetermined,,Undetermined,,,,
H16,F19,718,unknowns,UNKNOWN,35.146,9.063,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,F20,718,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,F21,718,unknowns,UNKNOWN,42.190,16.107,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,G4,679,unknowns,UNKNOWN,26.077,-0.005,,,1.00,33.463,3.833,Undetermined,,Undetermined,,,,
H16,G5,679,unknowns,UNKNOWN,26.350,0.268,,,1.00,34.134,2.361,Undetermined,,Undetermined,,,,
H16,G6,679,unknowns,UNKNOWN,26.248,0.166,,,1.00,33.732,3.157,Undetermined,,Undetermined,,,,
H16,G7,687,unknowns,UNKNOWN,26.324,0.242,,,1.00,33.460,3.843,Undetermined,,Undetermined,,,,
H16,G8,687,unknowns,UNKNOWN,26.184,0.101,,,1.00,33.224,4.556,Undetermined,,Undetermined,,,,
H16,G9,687,unknowns,UNKNOWN,25.963,-0.119,,,1.00,33.303,4.304,Undetermined,,Undetermined,,,,
H16,G10,695,unknowns,UNKNOWN,27.995,1.912,NO,,1.00,39.979,0.035,40.072,0.014,Undetermined,,,,
H16,G11,695,unknowns,UNKNOWN,31.250,5.168,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,G12,695,unknowns,UNKNOWN,37.005,10.923,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,G13,703,unknowns,UNKNOWN,25.798,-0.284,,,1.00,31.488,15.971,Undetermined,,Undetermined,,,,
H16,G14,703,unknowns,UNKNOWN,25.998,-0.085,,,1.00,31.214,19.473,Undetermined,,Undetermined,,,,
H16,G15,703,unknowns,UNKNOWN,25.992,-0.091,,,1.00,30.999,22.737,Undetermined,,Undetermined,,,,
H16,G16,711,unknowns,UNKNOWN,26.114,0.031,,,1.00,33.902,2.792,Undetermined,,Undetermined,,,,
H16,G17,711,unknowns,UNKNOWN,26.091,0.009,,,1.00,34.665,1.609,Undetermined,,Undetermined,,,,
H16,G18,711,unknowns,UNKNOWN,26.331,0.249,,,1.00,34.682,1.590,Undetermined,,Undetermined,,,,
H16,G19,719,unknowns,UNKNOWN,41.545,15.462,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,G20,719,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,G21,719,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,H4,680,unknowns,UNKNOWN,26.275,0.193,,,1.00,30.356,36.171,Undetermined,,Undetermined,,,,
H16,H5,680,unknowns,UNKNOWN,26.357,0.275,,,1.00,30.565,31.114,Undetermined,,Undetermined,,,,
H16,H6,680,unknowns,UNKNOWN,26.335,0.253,,,1.00,30.083,44.081,Undetermined,,Undetermined,,,,
H16,H7,688,unknowns,UNKNOWN,26.233,0.150,,,1.00,31.804,12.707,Undetermined,,Undetermined,,,,
H16,H8,688,unknowns,UNKNOWN,26.056,-0.026,,,1.00,31.874,12.086,Undetermined,,Undetermined,,,,
H16,H9,688,unknowns,UNKNOWN,25.928,-0.154,,,1.00,31.355,17.583,39.202,0.025,Undetermined,,,,
H16,H10,696,unknowns,UNKNOWN,25.958,-0.124,,,1.00,36.392,0.462,Undetermined,,Undetermined,,,,
H16,H11,696,unknowns,UNKNOWN,25.936,-0.146,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,H12,696,unknowns,UNKNOWN,25.969,-0.114,,,1.00,34.941,1.318,Undetermined,,Undetermined,,,,
H16,H13,704,unknowns,UNKNOWN,26.526,0.444,NO,,1.00,40.534,0.023,Undetermined,,Undetermined,,,,
H16,H14,704,unknowns,UNKNOWN,28.694,2.612,NO,,1.00,41.667,0.010,Undetermined,,Undetermined,,,,
H16,H15,704,unknowns,UNKNOWN,34.710,8.627,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,H16,712,unknowns,UNKNOWN,26.222,0.139,,,1.00,35.143,1.139,Undetermined,,Undetermined,,,,
H16,H17,712,unknowns,UNKNOWN,25.991,-0.092,,,1.00,34.967,1.293,Undetermined,,Undetermined,,,,
H16,H18,712,unknowns,UNKNOWN,26.147,0.064,,,1.00,35.784,0.717,Undetermined,,Undetermined,,,,
H16,H19,720,unknowns,UNKNOWN,29.868,3.786,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,H20,720,unknowns,UNKNOWN,38.013,11.930,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,H21,720,unknowns,UNKNOWN,41.212,15.129,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,I1,721,unknowns,UNKNOWN,26.493,0.411,NO,,1.00,37.360,0.230,Undetermined,,Undetermined,,,,
H16,I2,721,unknowns,UNKNOWN,28.008,1.925,NO,,1.00,43.329,0.003,Undetermined,,Undetermined,,,,
H16,I3,721,unknowns,UNKNOWN,30.571,4.488,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,I4,729,unknowns,UNKNOWN,26.169,0.087,,,1.00,34.885,1.372,Undetermined,,Undetermined,,,,
H16,I5,729,unknowns,UNKNOWN,26.185,0.103,,,1.00,39.173,0.062,Undetermined,,Undetermined,,,,
H16,I6,729,unknowns,UNKNOWN,26.155,0.072,,,1.00,36.286,0.499,Undetermined,,Undetermined,,,,
H16,I7,737,unknowns,UNKNOWN,25.971,-0.111,,,1.00,33.846,2.908,Undetermined,,Undetermined,,,,
H16,I8,737,unknowns,UNKNOWN,26.142,0.059,,,1.00,34.380,1.976,Undetermined,,Undetermined,,,,
H16,I9,737,unknowns,UNKNOWN,26.191,0.109,,,1.00,35.093,1.181,Undetermined,,Undetermined,,,,
H16,I10,745,unknowns,UNKNOWN,26.345,0.263,,,1.00,34.879,1.378,Undetermined,,Undetermined,,,,
H16,I11,745,unknowns,UNKNOWN,26.200,0.118,,,1.00,34.893,1.364,Undetermined,,Undetermined,,,,
H16,I12,745,unknowns,UNKNOWN,26.265,0.182,,,1.00,35.319,1.003,Undetermined,,Undetermined,,,,
H16,I13,753,unknowns,UNKNOWN,25.898,-0.185,,,1.00,34.685,1.585,Undetermined,,Undetermined,,,,
H16,I14,753,unknowns,UNKNOWN,26.152,0.069,,,1.00,36.735,0.360,Undetermined,,Undetermined,,,,
H16,I15,753,unknowns,UNKNOWN,25.950,-0.132,,,1.00,35.319,1.003,Undetermined,,Undetermined,,,,
H16,I16,761,unknowns,UNKNOWN,26.158,0.076,,,1.00,29.568,63.917,Undetermined,,Undetermined,,,,
H16,I17,761,unknowns,UNKNOWN,25.812,-0.271,,,1.00,28.976,98.096,Undetermined,,Undetermined,,,,
H16,I18,761,unknowns,UNKNOWN,25.953,-0.130,,,1.00,28.862,106.443,Undetermined,,Undetermined,,,,
H16,J1,722,field_neg,UNKNOWN,26.081,-0.002,,,1.00,41.980,0.008,Undetermined,,Undetermined,,,,
H16,J2,722,field_neg,UNKNOWN,26.171,0.089,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,J3,722,field_neg,UNKNOWN,26.100,0.018,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,J4,730,unknowns,UNKNOWN,26.187,0.105,,,1.00,34.953,1.307,Undetermined,,Undetermined,,,,
H16,J5,730,unknowns,UNKNOWN,25.912,-0.171,,,1.00,36.713,0.366,Undetermined,,Undetermined,,,,
H16,J6,730,unknowns,UNKNOWN,26.116,0.034,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,J7,738,unknowns,UNKNOWN,26.061,-0.022,,,1.00,30.816,25.959,Undetermined,,Undetermined,,,,
H16,J8,738,unknowns,UNKNOWN,25.878,-0.205,,,1.00,30.772,26.788,Undetermined,,Undetermined,,,,
H16,J9,738,unknowns,UNKNOWN,26.110,0.028,,,1.00,30.774,26.754,Undetermined,,Undetermined,,,,
H16,J10,746,unknowns,UNKNOWN,30.812,4.730,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,J11,746,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,J12,746,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,J13,754,unknowns,UNKNOWN,26.093,0.011,,,1.00,35.792,0.713,Undetermined,,Undetermined,,,,
H16,J14,754,unknowns,UNKNOWN,26.197,0.114,,,1.00,36.389,0.463,Undetermined,,Undetermined,,,,
H16,J15,754,unknowns,UNKNOWN,26.024,-0.058,,,1.00,34.344,2.029,Undetermined,,Undetermined,,,,
H16,J16,762,unknowns,UNKNOWN,26.205,0.123,,,1.00,30.778,26.670,Undetermined,,Undetermined,,,,
H16,J17,762,unknowns,UNKNOWN,26.137,0.054,,,1.00,30.611,30.102,Undetermined,,Undetermined,,,,
H16,J18,762,unknowns,UNKNOWN,25.989,-0.094,,,1.00,30.375,35.688,Undetermined,,Undetermined,,,,
H16,K1,723,field_neg,UNKNOWN,26.013,-0.069,,,1.00,35.107,1.169,Undetermined,,Undetermined,,,,
H16,K2,723,field_neg,UNKNOWN,25.958,-0.124,,,1.00,35.192,1.099,Undetermined,,Undetermined,,,,
H16,K3,723,field_neg,UNKNOWN,26.042,-0.041,,,1.00,36.624,0.391,Undetermined,,Undetermined,,,,
H16,K4,731,unknowns,UNKNOWN,26.225,0.143,,,1.00,36.695,0.371,Undetermined,,Undetermined,,,,
H16,K5,731,unknowns,UNKNOWN,26.195,0.112,,,1.00,34.936,1.323,Undetermined,,Undetermined,,,,
H16,K6,731,unknowns,UNKNOWN,26.209,0.127,,,1.00,37.508,0.206,Undetermined,,Undetermined,,,,
H16,K7,739,unknowns,UNKNOWN,26.153,0.071,,,1.00,31.990,11.111,Undetermined,,Undetermined,,,,
H16,K8,739,unknowns,UNKNOWN,26.173,0.090,,,1.00,32.618,7.059,Undetermined,,Undetermined,,,,
H16,K9,739,unknowns,UNKNOWN,26.126,0.044,,,1.00,32.047,10.664,Undetermined,,Undetermined,,,,
H16,K10,747,unknowns,UNKNOWN,36.469,10.387,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,K11,747,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,K12,747,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,K13,755,unknowns,UNKNOWN,26.077,-0.006,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,K14,755,unknowns,UNKNOWN,26.199,0.117,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,K15,755,unknowns,UNKNOWN,26.203,0.121,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,K16,763,unknowns,UNKNOWN,26.107,0.025,,,1.00,30.816,25.949,Undetermined,,Undetermined,,,,
H16,K17,763,unknowns,UNKNOWN,26.076,-0.006,,,1.00,31.208,19.549,Undetermined,,Undetermined,,,,
H16,K18,763,unknowns,UNKNOWN,26.361,0.278,,,1.00,31.180,19.954,Undetermined,,Undetermined,,,,
H16,L1,724,unknowns,UNKNOWN,25.972,-0.110,,,1.00,33.748,3.121,Undetermined,,Undetermined,,,,
H16,L2,724,unknowns,UNKNOWN,26.053,-0.029,,,1.00,33.960,2.677,Undetermined,,Undetermined,,,,
H16,L3,724,unknowns,UNKNOWN,26.010,-0.073,,,1.00,33.163,4.761,Undetermined,,Undetermined,,,,
H16,L4,732,unknowns,UNKNOWN,26.201,0.118,,,1.00,37.731,0.176,Undetermined,,Undetermined,,,,
H16,L5,732,unknowns,UNKNOWN,26.320,0.238,,,1.00,37.206,0.256,Undetermined,,Undetermined,,,,
H16,L6,732,unknowns,UNKNOWN,26.597,0.514,,,1.00,39.449,0.051,Undetermined,,Undetermined,,,,
H16,L7,740,unknowns,UNKNOWN,26.288,0.206,,,1.00,34.114,2.396,Undetermined,,Undetermined,,,,
H16,L8,740,unknowns,UNKNOWN,26.340,0.258,,,1.00,33.607,3.456,Undetermined,,Undetermined,,,,
H16,L9,740,unknowns,UNKNOWN,26.177,0.094,,,1.00,34.241,2.186,Undetermined,,Undetermined,,,,
H16,L10,748,unknowns,UNKNOWN,26.104,0.021,,,1.00,33.466,3.826,Undetermined,,39.368,0.105,,,
H16,L11,748,unknowns,UNKNOWN,26.154,0.072,,,1.00,33.125,4.895,Undetermined,,Undetermined,,,,
H16,L12,748,unknowns,UNKNOWN,26.173,0.090,,,1.00,33.023,5.269,Undetermined,,Undetermined,,,,
H16,L13,756,unknowns,UNKNOWN,26.084,0.001,,,1.00,35.954,0.634,Undetermined,,Undetermined,,,,
H16,L14,756,unknowns,UNKNOWN,26.272,0.190,,,1.00,36.212,0.526,Undetermined,,Undetermined,,,,
H16,L15,756,unknowns,UNKNOWN,26.231,0.149,,,1.00,35.478,0.894,Undetermined,,Undetermined,,,,
H16,L16,764,unknowns,UNKNOWN,26.240,0.158,,,1.00,31.540,15.385,Undetermined,,Undetermined,,,,
H16,L17,764,unknowns,UNKNOWN,26.172,0.090,,,1.00,31.487,15.977,Undetermined,,Undetermined,,,,
H16,L18,764,unknowns,UNKNOWN,26.072,-0.010,,,1.00,30.819,25.903,Undetermined,,Undetermined,,,,
H16,M1,725,unknowns,UNKNOWN,26.036,-0.047,,,1.00,32.677,6.767,Undetermined,,Undetermined,,,,
H16,M2,725,unknowns,UNKNOWN,25.981,-0.101,,,1.00,32.828,6.064,Undetermined,,Undetermined,,,,
H16,M3,725,unknowns,UNKNOWN,26.192,0.109,,,1.00,33.092,5.014,Undetermined,,Undetermined,,,,
H16,M4,733,unknowns,UNKNOWN,26.206,0.123,,,1.00,37.482,0.210,Undetermined,,Undetermined,,,,
H16,M5,733,unknowns,UNKNOWN,26.317,0.234,,,1.00,39.046,0.068,Undetermined,,Undetermined,,,,
H16,M6,733,unknowns,UNKNOWN,26.500,0.418,,,1.00,37.620,0.190,Undetermined,,Undetermined,,,,
H16,M7,741,unknowns,UNKNOWN,26.156,0.074,,,1.00,34.168,2.304,Undetermined,,Undetermined,,,,
H16,M8,741,unknowns,UNKNOWN,26.287,0.205,,,1.00,34.029,2.547,Undetermined,,Undetermined,,,,
H16,M9,741,unknowns,UNKNOWN,26.044,-0.038,,,1.00,32.883,5.828,Undetermined,,Undetermined,,,,
H16,M10,749,unknowns,UNKNOWN,25.924,-0.159,,,1.00,32.594,7.185,Undetermined,,Undetermined,,,,
H16,M11,749,unknowns,UNKNOWN,26.143,0.060,,,1.00,32.332,8.682,Undetermined,,Undetermined,,,,
H16,M12,749,unknowns,UNKNOWN,26.103,0.020,,,1.00,33.182,4.697,Undetermined,,Undetermined,,,,
H16,M13,757,unknowns,UNKNOWN,26.270,0.187,,,1.00,36.832,0.336,Undetermined,,Undetermined,,,,
H16,M14,757,unknowns,UNKNOWN,26.300,0.218,,,1.00,36.409,0.456,Undetermined,,Undetermined,,,,
H16,M15,757,unknowns,UNKNOWN,26.273,0.190,,,1.00,35.237,1.064,Undetermined,,Undetermined,,,,
H16,M16,765,unknowns,UNKNOWN,26.114,0.031,,,1.00,28.493,138.989,Undetermined,,Undetermined,,,,
H16,M17,765,unknowns,UNKNOWN,26.056,-0.026,,,1.00,28.411,147.441,Undetermined,,Undetermined,,,,
H16,M18,765,unknowns,UNKNOWN,26.149,0.067,,,1.00,27.843,222.354,Undetermined,,Undetermined,,,,
H16,N1,726,unknowns,UNKNOWN,25.880,-0.203,,,1.00,34.417,1.924,Undetermined,,Undetermined,,,,
H16,N2,726,unknowns,UNKNOWN,25.994,-0.088,,,1.00,33.939,2.719,Undetermined,,Undetermined,,,,
H16,N3,726,unknowns,UNKNOWN,25.931,-0.152,,,1.00,33.411,3.980,Undetermined,,Undetermined,,,,
H16,N4,734,unknowns,UNKNOWN,29.472,3.389,NO,,1.00,41.070,0.016,Undetermined,,Undetermined,,,,
H16,N5,734,unknowns,UNKNOWN,35.650,9.568,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,N6,734,unknowns,UNKNOWN,36.103,10.020,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,N7,742,unknowns,UNKNOWN,26.134,0.051,,,1.00,34.505,1.806,Undetermined,,Undetermined,,,,
H16,N8,742,unknowns,UNKNOWN,26.184,0.101,,,1.00,33.663,3.317,Undetermined,,Undetermined,,,,
H16,N9,742,unknowns,UNKNOWN,26.211,0.129,,,1.00,34.263,2.151,Undetermined,,Undetermined,,,,
H16,N10,750,unknowns,UNKNOWN,26.140,0.058,,,1.00,31.710,13.604,Undetermined,,Undetermined,,,,
H16,N11,750,unknowns,UNKNOWN,26.209,0.127,,,1.00,31.349,17.656,Undetermined,,Undetermined,,,,
H16,N12,750,unknowns,UNKNOWN,26.218,0.135,,,1.00,30.772,26.781,Undetermined,,Undetermined,,,,
H16,N13,758,unknowns,UNKNOWN,40.925,14.842,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,N14,758,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,N15,758,unknowns,UNKNOWN,45,18.918,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H16,N16,766,unknowns,UNKNOWN,25.987,-0.095,,,1.00,33.796,3.013,Undetermined,,Undetermined,,,,
H16,N17,766,unknowns,UNKNOWN,26.055,-0.028,,,1.00,33.459,3.846,Undetermined,,Undetermined,,,,
H16,N18,766,unknowns,UNKNOWN,26.225,0.143,,,1.00,33.184,4.690,Undetermined,,Undetermined,,,,
H16,O1,727,unknowns,UNKNOWN,25.872,-0.211,,,1.00,35.153,1.131,Undetermined,,Undetermined,,,,
H16,O2,727,unknowns,UNKNOWN,25.871,-0.211,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
