Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
999-1,16S_Prey,184740,151601,151585,151597,151492,151492,151492
59-2,16S_Prey,71969,55792,55596,55724,54193,54193,45889
62-2,16S_Prey,43336,5787,5770,5783,5765,5765,5695
63-2,16S_Prey,44151,27874,27697,27738,26218,26218,20704
284-2,16S_Prey,37008,20275,20273,20275,20273,20273,20271
285-2,16S_Prey,26225,13881,13872,13878,13871,13871,13509
343-2,16S_Prey,95379,68607,68592,68599,68458,68458,60739
344-2,16S_Prey,26911,7541,7532,7538,7527,7527,7498
345-2,16S_Prey,75766,54349,54329,54345,54287,54287,53682
456-2,16S_Prey,71603,52008,51808,51918,50823,50823,45179
457-2,16S_Prey,100210,66806,66624,66749,65559,65559,59564
780-2,16S_Prey,197208,152547,152393,152471,151023,151023,135308
985-1,16S_Prey,141963,70171,69954,70084,68918,68918,64021
987-2,16S_Prey,93646,65311,65194,65248,64593,64593,56778
988-2,16S_Prey,179712,152095,152036,152082,151452,151452,149607
1004-1,16S_Prey,42759,12035,11975,12002,11560,11560,9919
81-2,16S_Prey,36587,9273,9261,9271,9232,9232,8825
342-2,16S_Prey,31587,6751,6743,6709,6702,6702,4858
489-2,16S_Prey,124125,91215,91181,91054,91017,91017,90059
848-2,16S_Prey,42889,13141,13085,13124,12563,12563,9382
998-2,16S_Prey,24987,7590,7560,7589,7509,7509,7320
1274-2,16S_Prey,83450,65112,65107,65109,64883,64883,64354
458-1,16S_Prey,35024,8215,8201,8214,8050,8050,7934
458-2,16S_Prey,76348,48026,47755,47978,46669,46669,45079
800-1,16S_Prey,17237,110,110,110,110,110,110
800-2,16S_Prey,66852,33499,33426,33459,33046,33046,29630
999-2,16S_Prey,214725,179015,178994,179002,178807,178807,178781
1003-1,16S_Prey,32776,11920,11913,11823,11733,11733,11246
1003-2,16S_Prey,115599,79365,79217,79346,77514,77514,70343
1003-3,16S_Prey,282125,174220,173851,173962,171382,171382,141135
1003-4,16S_Prey,84947,56537,56345,56518,55861,55861,53325
1769-1,16S_Prey,67045,28209,28201,28128,28039,28039,27828
1769-2,16S_Prey,87689,51792,51744,51779,51669,51669,48981
1770-1,16S_Prey,56547,33134,33107,33041,32899,32899,32250
