Sample_name,Locus,file1,file2
334-1,16S_Prey,Locus_16S_Prey_334-1_S79_L001_R1_001.fastq,Locus_16S_Prey_334-1_S79_L001_R2_001.fastq
334-2,16S_Prey,Locus_16S_Prey_334-2_S80_L001_R1_001.fastq,Locus_16S_Prey_334-2_S80_L001_R2_001.fastq
335-1,16S_Prey,Locus_16S_Prey_335-1_S81_L001_R1_001.fastq,Locus_16S_Prey_335-1_S81_L001_R2_001.fastq
335-2,16S_Prey,Locus_16S_Prey_335-2_S82_L001_R1_001.fastq,Locus_16S_Prey_335-2_S82_L001_R2_001.fastq
478-1,16S_Prey,Locus_16S_Prey_478-1_S83_L001_R1_001.fastq,Locus_16S_Prey_478-1_S83_L001_R2_001.fastq
478-2,16S_Prey,Locus_16S_Prey_478-2_S84_L001_R1_001.fastq,Locus_16S_Prey_478-2_S84_L001_R2_001.fastq
479-1,16S_Prey,Locus_16S_Prey_479-1_S85_L001_R1_001.fastq,Locus_16S_Prey_479-1_S85_L001_R2_001.fastq
479-2,16S_Prey,Locus_16S_Prey_479-2_S86_L001_R1_001.fastq,Locus_16S_Prey_479-2_S86_L001_R2_001.fastq
502-1,16S_Prey,Locus_16S_Prey_502-1_S87_L001_R1_001.fastq,Locus_16S_Prey_502-1_S87_L001_R2_001.fastq
793-1,16S_Prey,Locus_16S_Prey_793-1_S88_L001_R1_001.fastq,Locus_16S_Prey_793-1_S88_L001_R2_001.fastq
793-2,16S_Prey,Locus_16S_Prey_793-2_S89_L001_R1_001.fastq,Locus_16S_Prey_793-2_S89_L001_R2_001.fastq
794-1,16S_Prey,Locus_16S_Prey_794-1_S90_L001_R1_001.fastq,Locus_16S_Prey_794-1_S90_L001_R2_001.fastq
794-2,16S_Prey,Locus_16S_Prey_794-2_S91_L001_R1_001.fastq,Locus_16S_Prey_794-2_S91_L001_R2_001.fastq
839-1,16S_Prey,Locus_16S_Prey_839-1_S92_L001_R1_001.fastq,Locus_16S_Prey_839-1_S92_L001_R2_001.fastq
986-1,16S_Prey,Locus_16S_Prey_986-1_S93_L001_R1_001.fastq,Locus_16S_Prey_986-1_S93_L001_R2_001.fastq
986-2,16S_Prey,Locus_16S_Prey_986-2_S94_L001_R1_001.fastq,Locus_16S_Prey_986-2_S94_L001_R2_001.fastq
977-1,16S_Prey,Locus_16S_Prey_977-1_S95_L001_R1_001.fastq,Locus_16S_Prey_977-1_S95_L001_R2_001.fastq
977-2,16S_Prey,Locus_16S_Prey_977-2_S96_L001_R1_001.fastq,Locus_16S_Prey_977-2_S96_L001_R2_001.fastq
978-1,16S_Prey,Locus_16S_Prey_978-1_S97_L001_R1_001.fastq,Locus_16S_Prey_978-1_S97_L001_R2_001.fastq
995-1,16S_Prey,Locus_16S_Prey_995-1_S98_L001_R1_001.fastq,Locus_16S_Prey_995-1_S98_L001_R2_001.fastq
995-2,16S_Prey,Locus_16S_Prey_995-2_S99_L001_R1_001.fastq,Locus_16S_Prey_995-2_S99_L001_R2_001.fastq
1001-1,16S_Prey,Locus_16S_Prey_1001-1_S100_L001_R1_001.fastq,Locus_16S_Prey_1001-1_S100_L001_R2_001.fastq
