representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
f3f9d5c3e54e563baf7ada50722db4b9c430cef7,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
ccd5af1460db5d68082286e293a11451c86baaaa,8256,Pleuronectidae,family,0.9803,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
8f00434fb9a2412bc792729aad268d1f2c1d457d,557352,Nansenia candida,species,NA,Metazoa,Chordata,Actinopteri,Argentiniformes,Microstomatidae,Nansenia,Nansenia candida
19732df7d2200d8f1462d29644180aa4e07debe4,1489388,Euteleosteomorpha,cohort,1,Metazoa,Chordata,Actinopteri,,,,
82b5acced36dfe347cc924179bcdecace1832385,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
b67ae1b2fd3f802ade2f9e74e8e4e07cf3c8dd79,8256,Pleuronectidae,family,0.9188,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
dffe9f4aca637850465b0a374333d9ca32ec8450,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
1c988c30fc95e24659285115bc464e6dba81a20f,5001814,Artedius fenestralis|lateralis,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Artedius,Artedius fenestralis|lateralis
db966d033836d0ded2e84c8b0edee037b857f1ba,5000525,Salvelinus environmental|leucomaenis|fontinalis,species,NA,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus,Salvelinus environmental|leucomaenis|fontinalis
107801f1f7caacad32505b32825132101a9132d0,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
452664a3e68d8afd0a9ad25581cb6d0e50a5a271,8092,Cottidae,family,NA,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,,
3a341a31cbdce3369da3e6c468b3da699f58ee20,68514,Myctophiformes,order,1,Metazoa,Chordata,Actinopteri,Myctophiformes,,,
c14a8ba93ead828b0f3eb8011d3f6d396e070f06,1,root,no rank,1,,,,,,,
e6be2984b89c22513c712bd4bbb07eb57576e8ff,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
f5f8378ea68b27f6512ca3f972b9af03f779ea87,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
93673a0e39d4efb5fc7e015147615e6644b3c8e0,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
89c97d008c56f6dfa0df14687137ec8f4fbf2b6a,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
4786fd5f5655eaf49b86c69f0ff5f0415c30a095,8107,Scorpaenoidei,suborder,1,Metazoa,Chordata,Actinopteri,Perciformes,,,
8a71b09257e195e5dcbda97232b952600b109404,8256,Pleuronectidae,family,0.9345,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
c5e81b10d2d09cf58e8b50a38bea3eb0f0643e29,433399,Artedius harringtoni,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Artedius,Artedius harringtoni
80452d6693c963afaad35ae3b71a5bfa58d8444a,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
843e3389133e5a699856bcb543ad1fd2e9453fb8,428033,Atheresthes,genus,0.9759,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Atheresthes,
e87b9ab240ae7f05d6bf2959b442402685d48aeb,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
bcf83f2da7815e497656f7a6ffc6633acf942329,8016,Oncorhynchus,genus,0.9971,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
9951a45ddbc4a9810875b9e744b6ea5462e4b904,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
e06b0c9f2590f85288741d0769ca8d5bd98c4fee,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
c4addd2df92888b6844be5a0e862f4e417b0e36e,34822,Microgadus,genus,0.9999,Metazoa,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,
d72a4151a5ea8a6693477de5bfc879bc414584ec,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
e51b5c2f09bbd01a0fadd0830ec507aa3ed4b262,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
b9efc7dd5ec2650ba3e58a23096bea021a3deb46,68515,Myctophidae,family,0.9963,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
b9395ede1426ea74b96bab6c5e0ace5afa031fbb,34820,Sebastes,genus,0.9916,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
ca4316d1bda4e9af209ffafa2c351a1fd9bd511e,8012,Osmeridae,family,0.9998,Metazoa,Chordata,Actinopteri,Osmeriformes,Osmeridae,,
fc7c6e8ca5d53048d3955f4c5f5724ce055b2814,5002363,Alosa fallax|fallax|sapidissima|alabamae,subspecies,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa fallax
ccdd58466ab78c57ac4e8c99513fad707cec86dc,30724,Clupea pallasii,species,0.9965,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
4548d4783719b0979f7939a284ce771f5dc1a418,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
dbfc306796810189f8fd9b501ca5616bf1d30abd,1489872,Percomorphaceae,no rank,1,Metazoa,Chordata,Actinopteri,,,,
9e32aa1d0b359858e6f61f71d41dba59d4a37d05,34820,Sebastes,genus,0.992,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
9d984bdd2d1d6006727a67834ae3d6e5db4b3750,34820,Sebastes,genus,0.9916,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
970cf2f478a0c8628a4a6ed33b902ab67d7e134b,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
6c4022ae9b62bcdb1da4187ab886923deb6094ed,30724,Clupea pallasii,species,0.9143,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
0c5f27679bc538cd836aa8948e14b85831c2c917,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
2d0c81930ca82c5fe54b0932079f097807a38a67,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
4aaeecd917e0d3bee9806e302d4a31f6a57e2d9c,30724,Clupea pallasii,species,0.9109,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
dfd88e46ae18825596b3221712f2024efa07c7e0,8062,Merluccius,genus,0.9995,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
d45aca9e4fa89f491c9ecbc76bd8ff1de8ce55d9,8256,Pleuronectidae,family,0.9341,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
1c543199720e12317999ec0f86eb3d27d6ac2c30,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
0ea07e4d277fac985786f5ff6dcf1292fb336474,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
4f878b9cba4f7b6a30c47f2580863ec3e5d4cf4c,557414,Poroclinus rothrocki,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Stichaeidae,Poroclinus,Poroclinus rothrocki
e97ee10335d66023ee55f8d18f0f2a5bf76fdb28,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
e0ec5cea28221fe6f1ba54daa42f57f1c9a159ea,8256,Pleuronectidae,family,0.9785,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
8653396aaca653eb83f817e8056fcedaa04deede,1489388,Euteleosteomorpha,cohort,0.9195,Metazoa,Chordata,Actinopteri,,,,
7ae6ece076362761508e662dc90752420d3d782f,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
216ab049ef06967303855c7fbc8235e38831fbe7,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
04a2fb474c48f8f20ae1ec89d22ff23a0cdaf491,8256,Pleuronectidae,family,0.998,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
06e42acbdda55f29a3fa7446e584e3164b9c48b2,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
f6eb135c90c34e06f28b71019e13d08202ba20da,8256,Pleuronectidae,family,0.9466,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
398bbeef3a579c723da94c7a4ee41466558432ce,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
016017422aad96fb0e46701638f7197a9f953344,30724,Clupea pallasii,species,0.9111,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
8ec4ab584da4091a4471d1c787a420f2c5acbbe7,1489799,Bathylagidae,family,0.9881,Metazoa,Chordata,Actinopteri,Argentiniformes,Bathylagidae,,
f18057cade875e46f6bde4cf9da21a63c509b675,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
795f3d4962d0be8950fb75f6d1fbdf522eef2a0d,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
e3837be7313bb3df103a06c3db1268546dcde059,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
122408e4644e3a38fdb8d3b41befc53f8f475d81,28380,Sardinops,genus,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
2c9c7bc4a9d1072490d23c77234291384c37113e,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
a74c9b8cad3e2554e5c6b034733018a09915bfdb,274705,Sebastinae,subfamily,0.9897,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,,
7048c938aa22adcfe306270849416e6dc27c3049,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
db88129f2b7ae2201ca3d12deb67624b401b62ab,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
907d256204716ce1226f2ca7fbbfa431dd868976,8256,Pleuronectidae,family,0.998,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
c72f2406537ea87386f918cd18fcba7740c59614,8256,Pleuronectidae,family,0.998,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
d5dc2d2ef046282268614b6114627cf738bfa49f,1489388,Euteleosteomorpha,cohort,0.9982,Metazoa,Chordata,Actinopteri,,,,
23e815b2a87f27b5866c337d5d5a9e0e9b65953b,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
4e4f1373665046e2f083ce5811a1152a72692102,68514,Myctophiformes,order,1,Metazoa,Chordata,Actinopteri,Myctophiformes,,,
83976992e8f2b13af27ff4ec23e5ba7828489f0c,1489799,Bathylagidae,family,0.9428,Metazoa,Chordata,Actinopteri,Argentiniformes,Bathylagidae,,
481ef59926fcdbfdd572765a4bff91ed127e3988,34820,Sebastes,genus,0.9029,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
6bb4cea5f3bb351de614aae9ba4ec2fe00595675,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
2e4a2c2b6c2313ac56e3986db369932c9e91f03d,1489388,Euteleosteomorpha,cohort,0.9901,Metazoa,Chordata,Actinopteri,,,,
74c3d0dd79f72261d07798440938648c202da5cb,91657,Stenobrachius,genus,0.9984,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
acf8af47ee375292bb2aac2fa615fea94b480e7c,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
dcbeb4d642a7f8a2548ccddf85f31cd3d1210d2d,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
d8701c485992470c82bba805aabddd8285074105,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
aa42fe76d9711fc739bb0ef1b7dabef0547c8886,255542,Brachyopsinae,subfamily,1,Metazoa,Chordata,Actinopteri,Perciformes,Agonidae,,
2a7e42034878977300f3d325b04ef2ea609236ef,7797,Squalus acanthias,species,1,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
9b24fdec83c5383092458dc9201d960ec138a00e,91657,Stenobrachius,genus,0.9964,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
4c432cce3cfca99bfd87b9540df7d4003b47715b,1489388,Euteleosteomorpha,cohort,0.9992,Metazoa,Chordata,Actinopteri,,,,
2e3ff695606d81cf32880bc8d505428e0f9ffca5,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
3370321fd95a3f0bfe5fd7a06e4b7428dcfbc937,1489799,Bathylagidae,family,0.9974,Metazoa,Chordata,Actinopteri,Argentiniformes,Bathylagidae,,
9f0fa1e3e84fb263182599000474789d450718ab,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
03b0625424ebd0ee6aff20c3c99a1fd8935ce6ca,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
1669b1844201ea9435c7e6cd054e0c3241629625,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
8225ac87c2043ccda494527bdd9dabd59be83938,68515,Myctophidae,family,1,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
1b8a75b5f56e7cdcad534f8dc96c0a20419803ef,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
5735b9762ffdbe1012e0e727a97ef8bd0b14acb6,30724,Clupea pallasii,species,0.9909,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
cfda6a80fc5eef262589885e5051a67e7d0403a4,1489388,Euteleosteomorpha,cohort,1,Metazoa,Chordata,Actinopteri,,,,
374a6f37ec499fdeda60aebd11b1a7350cd85db1,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
55e89bb6bc31b9f9e74c285cd286c8623436b654,8193,Zoarcidae,family,1,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
8b58d2ac69e43394172ed0957cbd76496936f8cd,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
cac262b1e0c1e1800f6949cf66c43d409af48706,7949,Clupea,genus,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,
484726eff3e348f66adec1f3ed08e271c24d7275,68515,Myctophidae,family,0.9964,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
c398cbe7ffcf031f03af95c4a31992c805ab98e5,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
624bf5a01894ae753d378696cfd60021c493e1b1,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
337d0044d68474f625a1d31958afe397c0c6e39f,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
d24aec9ff5588fd38add0c38055d5f61722d8b70,1489388,Euteleosteomorpha,cohort,1,Metazoa,Chordata,Actinopteri,,,,
02af6d88b05d4502ba0eae8d39ba0a6e73e5e538,229290,Anoplopoma fimbria,species,1,Metazoa,Chordata,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria
0e9ec584677641b0ef85b9741494a6e388b038e0,89952,Merluccius productus,species,NA,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius productus
82fcaaa4c7d84a579578cf4e5b1d09743df86203,8256,Pleuronectidae,family,0.9941,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
49c8b1dc25142403ce704ec8788bcf6585e2c3c4,8256,Pleuronectidae,family,0.9925,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
99d5ea6fddafbef5b2fb293e2f01d35f4f76dc01,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
b639b0da6c77c0fa5a9657dc7e6dfa4d76f193e8,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
56e13b6e47199c6eed393b79b9a36f0369287298,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
b05694bcc46e3d7d51eff2b098f1da622e32abdd,134613,Argentiniformes,order,0.9121,Metazoa,Chordata,Actinopteri,Argentiniformes,,,
dc222fae4961b35be38fe92d170962b47e9b4562,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
308da908052c2fcb86f5a8c351b4fd0986a43ca8,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
4a18f4fc9e34bb71beec344430e75f9fa4658ad6,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
06664b1698e1ae9cfb487217e5fb5e31796841db,195599,Citharichthys,genus,0.9999,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
96593b8b177740efc33fdf604681a0fc1afbcb3c,36211,Trachurus,genus,0.9882,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
6a1df407d316d5b4ee530c03670542737e74b45d,8256,Pleuronectidae,family,0.998,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
8bb23e08398e80534d1fe018071af433cbd92520,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
62c465cce3be793446132ceca497cd932acb6ed0,68515,Myctophidae,family,0.9805,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
d70f7749c19e64a38ff581d4d15c9504eda5c274,7797,Squalus acanthias,species,1,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
a392bcbf1c5a1b70a2f9292e3ff63f5e26283b74,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
4518dfd79df7e703a75b86439b9d5f5df0262a71,8256,Pleuronectidae,family,0.907,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
65061c61ebbb0cc0d400298dabc811e4ab9fb595,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
65f974fe49f0ff260c1c0b7f01a7f5b69da8794c,8256,Pleuronectidae,family,0.9209,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
