Date UTC,Tube #,CTD cast,Niskin,depth,comments,water.filtered.L,drop.sample,field.negative.type,Filter size (un),extraction,Extraction technician,elution (ul),comments,qubit (ng/ul),Fluor,Zymo columns,
7/3/21,59,x3_300,sfc,sfc,,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/3/21,60,x3_300,2,275,,2.5,,,1,20211025,,100,,,,,
7/3/21,61,x3_300,3,275,,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/3/21,62,x3_300,4,200,,2.5,"Y, ext issue",,1,20211025,,100,chlroform carry over,,,,
7/3/21,63,x3_300,5,200,ST,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/3/21,64,x3_300,6,150,PAL,2.5,,,1,20211025,,100,,,,,
7/3/21,65,x3_300,7,150,ST,2.5,,,1,20211025,,100,,,,,
7/3/21,66,x3_300,8,50,PAL,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/3/21,67,x3_300,9,50,PAL,2.5,,,1,20211025,,100,,,,,
7/3/21,68,x3_500,sfc,sfc,,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/3/21,69,x3_500,sfc,sfc,,2.5,,,1,20211025,,100,,,,,
7/3/21,70,x3_500,2,490,,2.5,,,1,20211025,,100,,,,,
7/3/21,71,x3_500,3,490,,2.5,"Y, ext issue",,1,20211025,,100,chlroform carry over,,,,
7/3/21,72,x3_500,4,300,,2.5,,,1,20211026,,100,,,,,
7/3/21,73,x3_500,5,300,,2.5,,,1,20211026,,100,,,,,
7/3/21,74,x3_500,6,200,,2.5,,,1,20211026,,100,,,,,
7/3/21,75,x3_500,7,200,ST,2.5,,,1,20211026,,100,,,,,
7/3/21,76,x3_500,8,150,ST,2.5,,,1,20211026,,100,,6.5,,,
7/3/21,77,x3_500,9,150,ST,2.5,,,1,20211026,,100,,3.34,,,
7/3/21,78,x3_500,10,50,ST,2.5,,,1,20211026,,100,,0.444,,,
7/3/21,79,x3_500,11,50,ST,2.5,,,1,20211026,,100,,0,,,
7/4/21,80,x5_500.3,sfc,sfc,Hake on board,2.5,,,1,20211026,,100,,23.8,,,
7/4/21,81,x5_500.3,sfc,sfc,Hake on board,2.5,,,1,20211026,,100,,25.6,,,
7/4/21,82,x5_500.3,2,500,Hake on board,2.5,,,1,20211026,,100,,12.2,,,
7/4/21,83,x5_500.3,3,500,Hake on board,2.5,,,1,20211026,,100,,14.4,,,
7/4/21,84,x5_500.3,4,300,Hake on board,2.5,,,1,20211026,,100,,8.5,,,
7/4/21,85,x5_500.3,5,300,Hake on board,2.5,,,1,20211026,,100,,4.38,,,
7/4/21,86,x5_500.3,6,200,Hake on board,2.5,,,1,20211026,,100,,7.58,,,
7/4/21,87,x5_500.3,7,200,ST; Hake on board,2.5,,,1,20211026,,100,,8.94,,,
7/4/21,88,x5_500.3,8,150,ST; Hake on board,2.5,,,1,20211026,,100,,18.6,,,
7/4/21,89,x5_500.3,9,150,Hake on board,2.5,,,1,20211026,,100,,12.5,,,
7/4/21,90,x5_500.3,10,50,ST; Hake on board,2.5,,,1,20211026,,100,,25.2,,,
7/4/21,91,x5_500.3,11,50,ST; Hake on board,2.5,,,1,20211026,,100,,101,,,
7/4/21,92,N/A,N/A,N/A,"Ship DI, 2.5L, single use (0.45)",2.5,,Evap.H2O.dispose,0.45,20211026,,100,,0,,,
7/4/21,93,N/A,N/A,N/A,"Ship DI, 2.5L, reusable",2.5,,Evap.H2O.reuse,1,20211026,,100,,0,,,
7/4/21,94,N/A,N/A,N/A,"Aerial, 5min, Hake on board, single use (0.45) cup",N/A,,Aerial.5min,0.45,20211026,,100,,0,,,
7/4/21,95,N/A,N/A,N/A,"Aerial, 5min, Hake on board, single use (0.45) cup",N/A,,Aerial.5min,0.45,20211026,,100,,0,,,
7/4/21,96,N/A,N/A,N/A,"Aerial, 5min, Hake on board, single use (0.45) cup",N/A,,Aerial.5min,0.45,20211026,,100,,0,,,
7/4/21,97,x5_500.2,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,9.24,,,
7/4/21,98,x5_500.2,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,31,,,
7/4/21,99,x5_500.2,2,500,,2.5,,,1,20211026,,100,,1.95,,,
7/4/21,100,x5_500.2,3,300,,2.5,,,1,20211026,,100,,,,,
7/4/21,101,x5_500.2,4,300,,2.5,,,1,20211026,,100,,,,,
7/4/21,102,x5_500.2,5,200,,2.5,,,1,20211026,,100,,,,,
7/4/21,103,x5_500.2,6,200,,2.5,,,1,20211026,,100,,,,,
7/4/21,104,x5_500.2,7,150,,2.5,,,1,20211026,,100,,,,,
7/4/21,105,x5_500.2,8,150,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,106,x5_500.2,9,50,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,107,x5_500.2,10,50,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,108,x5_500.1,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,,,,
7/4/21,109,x5_500.1,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,,,,
7/4/21,110,x5_500.1,2,500,,2.5,,,1,20211026,,100,,,,,
7/4/21,111,x5_500.1,3,500,,2.5,,,1,20211026,,100,,,,,
