representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
28b866203b5d4c702656af00dd45b6ce09fa3bc7,1489388,Euteleosteomorpha,cohort,1,Metazoa,Chordata,Actinopteri,,,,
8f9d2f04549dd67c605bd31cb4ed3f04ec024476,129043,Cololabis saira,species,NA,Metazoa,Chordata,Actinopteri,Beloniformes,Belonidae,Cololabis,Cololabis saira
eb03ca8a7e6dfbbd5c2fc7d4156e886791938841,5001017,Sebastes sp. UW150443|emphaeus|variegatus|wilsoni|zacentrus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes sp. UW150443|emphaeus|variegatus|wilsoni|zacentrus
7222766e7c3122b569018caa91d6f7d5e1bc4ade,68515,Myctophidae,family,1,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,28381,Sardinops sagax,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax
8681a8cd78a3d4165cb16753ef6e7bfbff6ba9b6,57818,Lycodes cortezianus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Lycodes cortezianus
1c07ab23dd91ba4cbdb9e57d77129bb62343aebd,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
a11e17effaef57381ac9ac413f56b7a64dc8c271,91657,Stenobrachius,genus,0.9941,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
cbb13a74064347cdb89b06d2a5c04155df0568a1,91657,Stenobrachius,genus,0.9808,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
6e82711d6515a0aec2808ae8be7d99113f3f5f64,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
b78edca048766f88d5bab588ba84246211283e0c,214925,Leptocottus armatus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus
6afff35c10aa9dac32e96250c3522d0d44bd513e,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
1f22a064ee48f6b8c19ebe2a0477c5a17d270f77,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
7cca64225980fadaf2eb627540f74453623cf156,68515,Myctophidae,family,1,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
9059fc534a5b4b8477a386ff2d712c5c7a95fce7,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
34281a190ed7126c3d8ac2fb026acf0f15ec927b,72101,Sebastes saxicola,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes saxicola
9752e886d8d2320ecddf68b5e381b48d81ca738f,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
61f7acb079994e1698e3dfd9e230e61d72729c3e,68515,Myctophidae,family,1,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
795e9f06f1865124873e3bd37fe709c170464b1f,319759,Lestidiops ringens,species,NA,Metazoa,Chordata,Actinopteri,Aulopiformes,Paralepididae,Lestidiops,Lestidiops ringens
dd90a086bf634ba300be7084b2d323cbde812497,134613,Argentiniformes,order,0.9417,Metazoa,Chordata,Actinopteri,Argentiniformes,,,
5b200d548c31cd50022eadb25901e3f305130f1e,172659,Parophrys vetulus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus
327334d08a8db7733a537c33c7bd1e4b9896c736,38578,Lamna ditropis,species,NA,Metazoa,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Lamna,Lamna ditropis
4596cfcd3f48509b68270a77e5adb72066ca889a,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
3e475f74fc57bca39effea085332ffeb410859b3,72070,Sebastes elongatus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes elongatus
1a86dad9ee590e1617736f9e2d9963ac8d8a48b3,172138,Paralepididae,family,1,Metazoa,Chordata,Actinopteri,Aulopiformes,Paralepididae,,
0fc5343262b21e92bb5dbb9625829587063a32f8,80721,Microgadus proximus,species,0.982,Metazoa,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus proximus
7a1b004d0933e79da3f139e6dfc1fdda13a810e1,30478,Raja rhina,species,NA,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja rhina
1e89e17d703adb95dc75f153882024f2b77a19e3,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
1743f8eaf67cde48a163da36605a8901790090ac,8062,Merluccius,genus,0.9996,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
dcd5c0624182972839c97ca4bb77e8fac0372896,8012,Osmeridae,family,NA,Metazoa,Chordata,Actinopteri,Osmeriformes,Osmeridae,,
