Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
1001.1,16S_Prey,165226,135869,135513,135825,134426,134426,117278
1001.2,16S_Prey,159341,127247,127077,127208,126581,126581,101989
1002.1,16S_Prey,165837,137903,137666,137877,136716,136716,108443
1002.2,16S_Prey,94545,73084,72858,73074,71044,71044,66189
1003.1,16S_Prey,29465,11718,11702,11712,11604,11604,11212
1003.2,16S_Prey,88856,62966,62816,62947,62329,62329,56808
1003.3,16S_Prey,58002,37666,37615,37657,37373,37373,35625
1003.4,16S_Prey,59334,39763,39676,39661,39229,39229,32740
1004.1,16S_Prey,42254,2025,2016,2024,1999,1999,1834
1004.2,16S_Prey,45464,13305,13244,13303,13040,13040,11011
1004.3,16S_Prey,57199,34188,34094,34079,33619,33619,30872
1205.1,16S_Prey,94559,71881,71698,71856,70910,70910,66505
1205.2,16S_Prey,67118,40315,40234,40314,39876,39876,37954
1205.3,16S_Prey,20340,1275,1269,1273,1258,1258,1253
1205.4,16S_Prey,54213,27274,27274,27260,27126,27126,26556
1206.1,16S_Prey,84947,47538,47209,47496,46073,46073,40672
1206.2,16S_Prey,57847,25619,25465,25596,24755,24755,22908
1206.3,16S_Prey,53221,23115,22994,23059,22543,22543,20514
1206.4,16S_Prey,71149,48235,48127,48207,46258,46258,44901
1207.1,16S_Prey,62553,43667,43473,43596,41954,41954,34761
1207.2,16S_Prey,42787,23247,23177,23226,22625,22625,19431
1208.1,16S_Prey,68982,40742,40675,40737,39840,39840,32406
1208.2,16S_Prey,65875,50689,50471,50612,48727,48727,43408
1219.1,16S_Prey,116426,92726,92710,92480,90887,90887,83756
1219.2,16S_Prey,195562,160230,160223,160216,158021,158021,147642
1220.1,16S_Prey,45802,33973,33964,33873,33604,33604,31450
1220.2,16S_Prey,195113,161536,161015,161381,158987,158987,141598
1228.1,16S_Prey,47882,10508,10482,10495,10393,10393,10096
1228.2,16S_Prey,41976,16445,16439,16440,16347,16347,16134
1265.1,16S_Prey,74698,49016,49011,49011,48483,48483,48324
1265.2,16S_Prey,140343,116622,116622,116475,113625,113625,113296
1266.1,16S_Prey,124725,97714,97696,97711,97693,97693,97313
1266.2,16S_Prey,98070,76369,76353,76312,75064,75064,74852
1274.1,16S_Prey,45356,36190,36188,36188,35671,35671,35638
1538.1,16S_Prey,46821,34141,34022,34121,33446,33446,27469
1538.2,16S_Prey,163014,134522,134242,134488,131802,131802,109393
1538.3,16S_Prey,70815,50784,50661,50777,50041,50041,42661
