eDNA.sample,rep,class,order,taxon,nReads,Transect,position,depth,lat,lon
1003,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,3612,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA,1393,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,3973,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1207,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1116,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,21530,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,21,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,9,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,523,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus,608,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,289,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1411,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,3662,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,2472,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1726,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,6437,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,2486,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,2554,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,2298,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,4112,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Scombriformes,Scombridae%Scomber%NA,479,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Scombriformes,Scombridae%Scomber%Scomber japonicus,1980,60,1,50,44.23212833,-124.247595
1004,2,Chondrichthyes,Rajiformes,Rajidae%Raja%NA,106,60,1,50,44.23212833,-124.247595
1004,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,48,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,2612,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Clupeiformes,Engraulidae%Engraulis%Engraulis mordax,257,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Clupeiformes,Engraulidae%NA%NA,305,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,173,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1453,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus,286,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,658,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,228,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Eopsetta%Eopsetta jordani,595,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,2029,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1323,60,1,50,44.23212833,-124.247595
1005,1,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,4,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,126,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Clupeiformes,Engraulidae%NA%NA,34282,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,303,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,2473,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,3286,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,40956,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,20,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,234,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Clupeiformes,Engraulidae%NA%NA,54304,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,490,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA,5,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,4002,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,5600,60,1,25,44.23212833,-124.247595
1005,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,89691,60,1,25,44.23212833,-124.247595
1205,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,45041,67,1,45,45.39631833,-124.0406283
1205,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,10795,67,1,45,45.39631833,-124.0406283
1205,1,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,3805,67,1,45,45.39631833,-124.0406283
1205,1,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes pinniger,44,67,1,45,45.39631833,-124.0406283
1205,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,2022,67,1,45,45.39631833,-124.0406283
1205,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,13084,67,1,45,45.39631833,-124.0406283
1205,1,Chondrichthyes,Rajiformes,Rajidae%Raja%NA,639,67,1,45,45.39631833,-124.0406283
1205,1,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,12979,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,39495,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1343,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,10218,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Perciformes,Liparidae%Liparis%NA,586,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,236,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,225,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,4674,67,1,45,45.39631833,-124.0406283
1205,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,868,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,533,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,468,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Osmeriformes,Osmeridae%NA%NA,200,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus,78,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,50,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,38,67,1,45,45.39631833,-124.0406283
1205,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Eopsetta%Eopsetta jordani,65,67,1,45,45.39631833,-124.0406283
1205,4,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,30932,67,1,45,45.39631833,-124.0406283
1205,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,9078,67,1,45,45.39631833,-124.0406283
1205,4,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja rhina,8107,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,29101,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,16,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Osmeriformes,Osmeridae%NA%NA,2681,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,3803,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Perciformes,Agonidae%NA%NA,1360,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Perciformes,Cottidae%Chitonotus%Chitonotus pugetensis,435,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,3298,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,1134,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,145,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,2550,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,383,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1673,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Psettichthys%Psettichthys melanostictus,80,67,1,45,45.39631833,-124.0406283
1206,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus kisutch,159,67,1,45,45.39631833,-124.0406283
1206,1,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,22,67,1,45,45.39631833,-124.0406283
1206,1,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,543,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,25615,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,363,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Gadiformes,Gadidae%Microgadus%Microgadus proximus,441,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,42,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,729,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Perciformes,Agonidae%Chesnonia%Chesnonia verrucosa,319,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Perciformes,Bathymasteridae%Ronquilus%Ronquilus jordani,164,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Perciformes,Cottidae%Artedius%Artedius fenestralis|lateralis,38,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Perciformes,Cottidae%Chitonotus%Chitonotus pugetensis,534,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,1235,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,324,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,53,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,218,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,120,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,597,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,422,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,432,67,1,45,45.39631833,-124.0406283
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1242,67,1,45,45.39631833,-124.0406283
1206,2,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,80,67,1,45,45.39631833,-124.0406283
1206,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,146,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,11391,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,31,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Osmeriformes,Osmeridae%NA%NA,352,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,997,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Perciformes,Cottidae%Chitonotus%Chitonotus pugetensis,70,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,306,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Perciformes,Sebastidae%Sebastes%NA,69,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes jordani,13,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,12,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,144,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,45,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,1002,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Microstomus%Microstomus pacificus,183,67,1,45,45.39631833,-124.0406283
1206,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,2933,67,1,45,45.39631833,-124.0406283
1206,3,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,105,67,1,45,45.39631833,-124.0406283
1206,3,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,21,67,1,45,45.39631833,-124.0406283
1206,4,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,55535,67,1,45,45.39631833,-124.0406283
1206,4,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,665,67,1,45,45.39631833,-124.0406283
1206,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,350,67,1,45,45.39631833,-124.0406283
1206,4,Actinopteri,Pleuronectiformes,Pleuronectidae%Microstomus%Microstomus pacificus,8197,67,1,45,45.39631833,-124.0406283
1207,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,27240,67,1,25,45.39631833,-124.0406283
