Hash,class,order,family,genus,species,origin
5a566b62ae64ef065388349a0a0a82c191f0be52,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
effc3fca91dadd0c411863f60956283089756474,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
8cf83e3da2b38f8f9ad3cd8f3ff3613e07f0319a,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
674a981e1e077ffd6ac597d009fc952f96b744fc,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
a9f449ac1e599547b7077334734e39161bee81f4,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
1e42016d41285037467d1721f8fa8b863b4dc8e5,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
50392453f1627aa92f22ebcc5026f3db33085083,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
6816cbc9861ed17db7c4dfa6dc29e12e80dcc3e8,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
0517834d9bd1719255f1f0f834f4da053b333c2d,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
fcf8bce20e93b7b411b0a04a0801ba84beecefbe,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
ce6cfacf19e881e0ebe4fbac789ee5efb7fd6658,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
a186a9b945dc10936f1cd6ce45d2e0054fd4a88b,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
53d5adf6a7141efe9c66cef20f3b4ce4855fcd2d,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
11256afa70150c2cf56e9ed8e4dbf3dd15da860a,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
3ddfe0f26bece77264c182f28d989c4bf3972263,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
a8d7d4f359d688cef05dc7ad3dea3d6f20f000f8,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
56e3b1e1e1096547e98ce3efadf9bcbea5de2b69,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
