Hash,phylum,class,order,taxa
2cfbfd167a31c24d5f8bfffc3e9d81a95143141e,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Lipolagus%Lipolagus ochotensis
55e01bd1f63f524d0bf11c3ef33f17946f7e0423,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Leuroglossus%Leuroglossus schmidti
550436bd0cc9bc6b991e798e6c327f940028a646,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Lipolagus%Lipolagus ochotensis
25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
78bc87be1cb86ffd6ebb028518571db3bade8e4c,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
09634633b62eea664914842a286ee6c7ee969234,Chordata,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus
dcd64feee9f077095a1ec234a2c612431282481b,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
c5c9292b1299f44d8ef53d164ecf420695e5f686,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
ee218cad8a54bc88b50a55f98142e40dc25a413c,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae%Prionace%Prionace glauca
760fc3cb05911cd49affeee1052ade0166c54bc9,Chordata,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha
04098c0a61c8a7a09eed8362692abda639010a32,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
cc2ceade627f577afafb1b40deafa3394023a022,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
40acaabc384d653d49dc12ab18e3249673654feb,Chordata,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta
f1565bdad12daa27c10f267d489a6c70f172c10b,Chordata,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus gorbuscha
1437cd7c75f0aeb794489953faec00bbcaf5fcb7,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Microstomus%Microstomus pacificus
0b96c19c5ce231f4edc6640f02d3118c696de19c,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
3a2d689e3d79c9655a969ac16a28074aebb9a1b7,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Atheresthes%NA
8681a8cd78a3d4165cb16753ef6e7bfbff6ba9b6,Chordata,Actinopteri,Perciformes,Zoarcidae%Lycodes%Lycodes cortezianus
e869382a06f6a5350b695a434069c9572da7bc91,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Leuroglossus%Leuroglossus schmidti
06b496806e5377b1fa5562f2b39a5f1ece659c0f,Chordata,Actinopteri,Aulopiformes,Paralepididae%Magnisudis%Magnisudis atlantica
d263e0c102e388e9126fd3ea4d7c8898bf63db85,Chordata,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja inornata
8f9d2f04549dd67c605bd31cb4ed3f04ec024476,Chordata,Actinopteri,Beloniformes,Belonidae%Cololabis%Cololabis saira
bd2c9008e805e7c7e00b75a42efee305a23039c1,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
b78edca048766f88d5bab588ba84246211283e0c,Chordata,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus
a11e17effaef57381ac9ac413f56b7a64dc8c271,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
7222766e7c3122b569018caa91d6f7d5e1bc4ade,Chordata,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA
eb03ca8a7e6dfbbd5c2fc7d4156e886791938841,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
cbb13a74064347cdb89b06d2a5c04155df0568a1,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
1c07ab23dd91ba4cbdb9e57d77129bb62343aebd,Chordata,Actinopteri,"NA",NA%NA%NA
3a6a037eecbd27a2f5ef4f35a267e4c7d5929118,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
6e82711d6515a0aec2808ae8be7d99113f3f5f64,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
795e9f06f1865124873e3bd37fe709c170464b1f,Chordata,Actinopteri,Aulopiformes,Paralepididae%Lestidiops%Lestidiops ringens
7cca64225980fadaf2eb627540f74453623cf156,Chordata,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA
e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,Chordata,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax
468ea049f19521da07b0c06a4398893df20d9c6d,Chordata,Actinopteri,Perciformes,Anarhichadidae%Anarrhichthys%Anarrhichthys ocellatus
6afff35c10aa9dac32e96250c3522d0d44bd513e,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
34281a190ed7126c3d8ac2fb026acf0f15ec927b,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
dd90a086bf634ba300be7084b2d323cbde812497,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
28b866203b5d4c702656af00dd45b6ce09fa3bc7,Chordata,Actinopteri,Stomiiformes,Stomiidae%Idiacanthus%Idiacanthus antrostomus
327334d08a8db7733a537c33c7bd1e4b9896c736,Chordata,Chondrichthyes,Lamniformes,Alopiidae%Lamna%Lamna ditropis
1f22a064ee48f6b8c19ebe2a0477c5a17d270f77,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
9059fc534a5b4b8477a386ff2d712c5c7a95fce7,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
5b200d548c31cd50022eadb25901e3f305130f1e,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
4596cfcd3f48509b68270a77e5adb72066ca889a,Chordata,Actinopteri,"NA",NA%NA%NA
0fc5343262b21e92bb5dbb9625829587063a32f8,Chordata,Actinopteri,Gadiformes,Gadidae%NA%NA
42d4602bc46f6af5686077cef1dcec9e3de4998b,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis
e12215acebccca7cbb8bbf345cd5232d47a4248e,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
7a566ea11adda6bbfe6ce3b868fe694d545bcc9a,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
1743f8eaf67cde48a163da36605a8901790090ac,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
3e475f74fc57bca39effea085332ffeb410859b3,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes elongatus
7a1b004d0933e79da3f139e6dfc1fdda13a810e1,Chordata,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja rhina
6100d53330d2e87b1a8ee43f6b684ea63f4fd4d0,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
7d3b2fd17279d4feb95be4890d9953a3f167d752,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
42622bc9398bd0a2d2b16389d12491dca2eb5acb,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
49ba747104f300db74b98f713dec4ece01303d68,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
61f7acb079994e1698e3dfd9e230e61d72729c3e,Chordata,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA
2dc7b1c32e68a132f7b42b1acaf4aa5680d5f381,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
74066494c72c1695219c035c049f10e696375826,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
dcd5c0624182972839c97ca4bb77e8fac0372896,Chordata,Actinopteri,Osmeriformes,Osmeridae%NA%NA
9c9a29499030c39f474ca37c50e7132f298e9958,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
b13238744285efbc2a8b6644b9c8cd22793d9d33,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Leuroglossus%Leuroglossus schmidti
3e5d6b8e8ec5e95be9256870d49ac737dd9f6990,Chordata,Chondrichthyes,Squaliformes,Squalidae%Squalus%Squalus acanthias
856bdabd9da03b5f02d52e62eead9bbde41a60b2,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
053b441f31c1dd1c80b1228d64ec37de327d9f2d,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
ee6addbfe26147ca7527db2cf3ad0652230cd5da,Chordata,Actinopteri,Perciformes,Cryptacanthodidae%Cryptacanthodes%NA
1a86dad9ee590e1617736f9e2d9963ac8d8a48b3,Chordata,Actinopteri,Aulopiformes,Paralepididae%Lestidiops%Lestidiops ringens
b8092bb5e58a3ba6bd6c4832efec923c8dc95904,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
635f7e60686c8bd333fc0d36dec974b951608924,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
1c260ae9419e739591f74d225031df3ede0a3024,Chordata,Actinopteri,Scombriformes,Scombridae%NA%NA
ceeef90eb147b9672c36201812711d41250edff7,Chordata,Actinopteri,Scombriformes,Centrolophidae%Icichthys%Icichthys lockingtoni
aabd7e6a689836ba05bc360cd9aecacf70d0b1e9,Chordata,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus
283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Eopsetta%Eopsetta jordani
17414e5b4c25120eb66ea2e0b4fc9317270f0892,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
0f80c1ac82450a8c57fe578252e042f1d1f29fa8,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
c1ab06887cb79b8a9831ecfef88e44dcf59e30a6,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
d0defc1f3cee9d4b54652222d1fba9a2b5a3b2bb,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
1a51b925272fcc219f0d2c5e348b5b5ad60846bf,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Lipolagus%Lipolagus ochotensis
ddffdd8c09ab1baff6d03a500e0ab282711dc951,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus
d66352c220cdc0b335dc0066a8bfa08e79d35ec0,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
fc5ecdf18688d55382c686b07fae684377fe900d,Chordata,Actinopteri,Scombriformes,Scombridae%NA%NA
c7156d1f5364e925e38a73313b038bf32bfcee94,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
3301aa84273d0cf42bc0272eb95796989bbdda4b,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
924a1afa1a137685c33261a4beba6a3c6b334e0a,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
3fd5ca4246dfef9ef69bad738ae0ddb8314904d1,Chordata,Actinopteri,Osmeriformes,Osmeridae%NA%NA
9bfc8673f3bea00b9682a4562234d365b5a42b6b,Chordata,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA
738099f4240affd36ba4128392ffba756c654e29,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
fc55b567fbbc4ae05513c0a2ec272b03b27e11a9,Chordata,Actinopteri,Alepocephaliformes,Platytroctidae%Sagamichthys%Sagamichthys abei
a8b92038a3831455d68f3f2062635cbfb71823e2,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
ca1ee9857ce82b01b6c5f0a12950e4da57b64ec3,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
7add40f0e4e5f7445283242b0cee5a603eff1fab,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%NA
1de1625d2bdc79bf466cd3341a32160476c43896,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
f288479cd3af11d3dc1a332a90274c5387bd62eb,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
97c788aa555f7f18cf200a2ed5e908ea95b56770,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
8f79f2fe6aa55a3a8af1f60a1b8ca1cc2b7a62a9,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
67f56b3e6345a76fbba9204ac21b70b1f24ed169,Chordata,Actinopteri,Argentiniformes,Microstomatidae%NA%NA
99aadbba6406f7790a8614f14b4b1e50d10de9cf,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
a6310261fe4f22be4e113ad118b626a8aa4bfa6c,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
ac4b8089c9fe78f74a96a4cda9a1d38c95ac845a,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
b06d4975e6d9d04ee4bd0792b7a6abc478f624f4,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
b8a56178ce79932f8358ba3f0d0d272f81622b9f,Chordata,Actinopteri,Cichliformes,Cichlidae%Oreochromis%NA
f411bc2dda13c1b799d21c090170eeb80bd0deaa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus
b3f37a54ee15ed4fb71cd2c3a9912b592674e7c2,Chordata,Actinopteri,Perciformes,Zoarcidae%Lycodapus%NA
5af404705630e44509109eefa4b9839242d2db0f,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus
f72b0b26f77cba5b06a5a1543301287f5a51b818,Chordata,Actinopteri,Perciformes,Zoarcidae%Lycodes%Lycodes diapterus
443cde7c8ba64e19a13a9c0f697d3939279cf864,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
b784a1fabce426c91346a20a9d74c7bf6eb38347,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
18ec2bbb2afd906c078b97d68ba34b138d5b2972,Chordata,Actinopteri,Carangiformes,Carangidae%Trachurus%NA
d0f8020c13b75fe2ea9d3824125f82a4185282ff,Chordata,Actinopteri,Cichliformes,Cichlidae%Oreochromis%NA
995d2c784f73e37d57f2e2557ee3a318ecce3515,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
0829802ee2bfb51ec230fa3591f6a5b62aafd5c4,Chordata,Actinopteri,Argentiniformes,Microstomatidae%NA%NA
bc88c3a74a79990ba031947a043e38d8f28022ad,Chordata,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus
ca9c7302408dbb56316c8a4af815244dbbfb7fe6,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
5c8b2646b30d2926b3c2243be8aeaa7d668ac099,Chordata,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus
b685833a4facde96d776d9d09baf9e72fb7f32a7,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
31c814de21af79429788b77f771c48f2f5cbeb67,Chordata,Actinopteri,"NA",Sciaenidae%Genyonemus%Genyonemus lineatus
effbff7038fdade8d2d86378c7d69a6fe1f0fb94,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
b8f0541ddd440252764c6ddcbb34e1b504d2f9d8,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
a77c9a996ca4450d56d2042b81d65cd47118af05,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
b29e0d4242aa9f5cc64531e8edf7b1d75dd5fd6e,Chordata,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta
5ad4fd24d8850eabe14f6a6b965020333dc13b7b,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
2d5cf9b3445302fba70f7aae7258ab769cc3d1fe,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
0607d56b39dc78eb41e25c42cedb62a77cf41bcc,Chordata,Actinopteri,Tetraodontiformes,Molidae%Mola%Mola mola
f7f1b38a9032dfe635efea6ac5ff29f22a378246,Chordata,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta
74e3639b08b53147d1364c686d9bbda72ee92752,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
8ee1e75caddc048984ecfbce92295cb8a6871903,Chordata,Actinopteri,Osmeriformes,Osmeridae%NA%NA
a23bd7e9d3952e8281f5755a3ea973ebcfd63b1a,Chordata,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus gorbuscha
fe0b0e45817ffb36c62784af8ccff0dfc941f751,Chordata,Actinopteri,Perciformes,Anoplopomatidae%Anoplopoma%Anoplopoma fimbria
78d9b002e4b89f9077797ff21aa6cd61d950a677,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
3b10de3476cab6a31d012ed5cad93129cd02161a,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
34246f8f731dbafca1b5378bee963ab2c1c3332e,Chordata,Actinopteri,Osmeriformes,Osmeridae%NA%NA
32a7da39109698d8b80bce40af78a0ee4441511e,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
a6dcaba0f66174fc4be9186db8525cee19266a22,Chordata,Actinopteri,Gadiformes,Gadidae%NA%NA
49920637a28ac941624215b4a09da08348ce32f6,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
ab96ab999ba4e05d3209bbe5740709156c13adee,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
e4fb935347c936e9f780f29f7580526ffeb5ac44,Chordata,Actinopteri,Osmeriformes,Osmeridae%NA%NA
2572c93257eabc416ea5c0d0dc9233debd17ec39,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
b00f68e6dcaae642fa95d94bbd89b6b6e63d6eae,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
99556b5f607948be9fdc3921655d9da0939a58a6,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%NA
d1f112bb436a15107d6f8e0563ecceaa7bceecd0,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
b3e3c7c8d5b8c28380a2e50483f0ef13775f839f,Chordata,Actinopteri,"NA",NA%NA%NA
30b8d37f294e817cbaddf8a5e854e6775ce7f5c7,Chordata,Actinopteri,Cichliformes,Cichlidae%Oreochromis%NA
7fe37a24840dfedd7ed17f6b8fe97c48f155b31b,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
68c5c29fa99e5604dc20b9974857bc958a97de49,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
569050e8c8f49b700fe3957d3bd2a18ef5b8aacd,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes diploproa
d16946209d740efffdc258091dfdb82a577921e8,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
f67b59ddfb2eed1e06307724794ae2f331f4c774,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
f9c872f35a8fec73108d9f558f9515bf4cd07620,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
aee55339f2b5bceffb2f7d1a61e7c4776b6d202c,Chordata,Actinopteri,Argentiniformes,Microstomatidae%NA%NA
13f45e2160e4dc85544723066a08a05677b46577,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
145a9e9883c318c2f3d6b6af10436d1270f8e15b,Chordata,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus
c53589e5625fbc0e88e8e4ce651588b83fbd8869,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
384f5b7b1a07a0c1bc9173387bb99322cb91ddf5,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
cf33a34ac71cc4d41e216b1ef6a461403c347928,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
a5c8ff236e0472fbb825af579f8f49f6473d1c29,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis
fd0ee1249875cf50b21ebd2aed735d6eb94a6d71,Chordata,Actinopteri,"NA",NA%NA%NA
6f82f43f82ba04cad4262f48e69ee29a37a06336,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
092acff472e606684b9e6ab2ce9918caf1868903,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%NA
84d030a8d4b266eb212b1c870911163c33218a40,Chordata,Actinopteri,Stomiiformes,Sternoptychidae%Sternoptyx%NA
b8fb8f8f5ea57ee085f77ffe5f24dd8a86a7a570,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
e3daaa29a12f3c3f5c4231a8b73d18f976edf74f,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
6acc6c16a4072d9797e294c5aa6c32c2197c0ae2,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
0fb7373623f7053e86bca22cd20c8e72452b977d,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
b6909dd835c511e199695ee082977d486790419f,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
6ccd862f3ee8edba9cb4fcf087d76e669b2a624a,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
b68873e49b5acbd8837c0853edc2a03fba46f581,Chordata,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA
1804690f240e55f53474199b8815d6620338dd7a,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
888b5269b255e3f00cd39354100c5b5bece8e7d9,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
a89e81c55b5d922b30ec6bbb4ca398bf7a6af8fc,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
f3f9d5c3e54e563baf7ada50722db4b9c430cef7,Chordata,Actinopteri,"NA",NA%NA%NA
ccd5af1460db5d68082286e293a11451c86baaaa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis
8f00434fb9a2412bc792729aad268d1f2c1d457d,Chordata,Actinopteri,Argentiniformes,Microstomatidae%Nansenia%Nansenia candida
19732df7d2200d8f1462d29644180aa4e07debe4,Chordata,Actinopteri,Stomiiformes,Sternoptychidae%Sternoptyx%NA
82b5acced36dfe347cc924179bcdecace1832385,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
b67ae1b2fd3f802ade2f9e74e8e4e07cf3c8dd79,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
dffe9f4aca637850465b0a374333d9ca32ec8450,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
1c988c30fc95e24659285115bc464e6dba81a20f,Chordata,Actinopteri,Perciformes,Cottidae%Artedius%NA
db966d033836d0ded2e84c8b0edee037b857f1ba,Chordata,Actinopteri,Salmoniformes,Salmonidae%Salvelinus%NA
107801f1f7caacad32505b32825132101a9132d0,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
452664a3e68d8afd0a9ad25581cb6d0e50a5a271,Chordata,Actinopteri,Perciformes,Cottidae%NA%NA
3a341a31cbdce3369da3e6c468b3da699f58ee20,Chordata,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta
e6be2984b89c22513c712bd4bbb07eb57576e8ff,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
f5f8378ea68b27f6512ca3f972b9af03f779ea87,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
93673a0e39d4efb5fc7e015147615e6644b3c8e0,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
