Hash,phylum,class,order,taxa
42737cd65bab38b57ea8949256ab1dbc59f5d054,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,Chordata,Actinopteri,Carangiformes,Carangidae%Trachurus%NA
394941fe61578579e0311cf90225a8cdce9c63c9,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA
3d93e9753e58c59a65605680bf8a46735ed450e9,Chordata,Actinopteri,Cichliformes,Cichlidae%Oreochromis%NA
be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,Chordata,Actinopteri,Scombriformes,Scombridae%NA%NA
7de221449042e1da583f638bbc7dd6e0a353c851,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
1444a99165e181c88bb78e1d7af03b554a15ff36,Chordata,Actinopteri,Perciformes,Zoarcidae%NA%NA
99987231b65162badf8f0e745512591464ca7f4e,Chordata,Actinopteri,Argentiniformes,Bathylagidae%Pseudobathylagus%Pseudobathylagus milleri
e5b505705fe64fe02348aa9612ad44e82b0d800e,Chordata,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes diploproa
c2c5504fad8054bb4b57e18ae24c1e5267345799,Chordata,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA
5dd046e872a3d4a2d69e5d74a88f680516715f9f,Chordata,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii
7edc82ae907368e2ba93f8d04552ca58def53f5b,Chordata,Actinopteri,"NA",NA%NA%NA
e0104fd7a12670db126a3b8a4893458519d3848e,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
db2b65dd77635828f6ba4e9845c212a57b37e7ef,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA
ef11e1edc494a318ee7df7b81015bf292c8c27ad,Chordata,Actinopteri,Argentiniformes,Microstomatidae%NA%NA
e71684194a2a061ff7daa95baf0472a01cda855b,Chordata,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata
27957660a97efa9a9104bb5329b3b2fd120cf083,Chordata,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta
3ac486b7cf5edc536927132900ac4e7ce0dd73e5,Chordata,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA
c8049f8ff74e387f0186c4a0403c77a9904680ec,Chordata,Actinopteri,Scombriformes,Scombridae%Scomber%NA
438d0e3934885d6d72a35f42df117b4ee205deeb,Chordata,Actinopteri,Perciformes,Anoplopomatidae%Anoplopoma%Anoplopoma fimbria
63c9c2740582c480fe995c3fbe6b76444b75b8da,Chordata,Chondrichthyes,Squaliformes,Squalidae%Squalus%Squalus acanthias
7818bdd7939aa411e9b402022f9eab34020aa16b,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis
a0633d287f53f36bec8aae79ccaee2ba8f453277,Chordata,Actinopteri,Argentiniformes,Bathylagidae%NA%NA
67544fb937719d5b7090a0631622f2e3612c1e04,Chordata,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus
58c8a1cea29b37ae736ab84c215c8eb1d92c110b,Chordata,Actinopteri,Stomiiformes,Sternoptychidae%Sternoptyx%NA
cde6f4a6b5280c9eaf7695f62f4df6bb3f7b122d,Chordata,Actinopteri,Gadiformes,Gadidae%NA%NA
