Var1,Var2,value
UDP0083,UDP0001,0.9
UDP0084,UDP0001,0.8
UDP0085,UDP0001,1
UDP0086,UDP0001,0.9
UDP0087,UDP0001,0.7
UDP0088,UDP0001,0.6
UDP0089,UDP0001,0.7
UDP0090,UDP0001,0.6
UDP0091,UDP0001,0.6
UDP0092,UDP0001,0.7
UDP0093,UDP0001,0.8
UDP0094,UDP0001,0.6
UDP0095,UDP0001,0.6
UDP0096,UDP0001,0.7
UDP0097,UDP0001,0.7
UDP0098,UDP0001,0.8
UDP0099,UDP0001,0.8
UDP0100,UDP0001,0.7
UDP0101,UDP0001,0.8
UDP0102,UDP0001,0.8
UDP0103,UDP0001,0.8
UDP0104,UDP0001,0.7
UDP0105,UDP0001,0.8
UDP0106,UDP0001,0.8
UDP0107,UDP0001,0.5
UDP0108,UDP0001,0.9
UDP0109,UDP0001,0.8
UDP0110,UDP0001,0.7
UDP0111,UDP0001,0.8
UDP0112,UDP0001,0.8
UDP0113,UDP0001,0.5
UDP0114,UDP0001,0.8
UDP0115,UDP0001,0.7
UDP0116,UDP0001,0.9
UDP0117,UDP0001,1
UDP0118,UDP0001,0.7
UDP0119,UDP0001,0.9
UDP0120,UDP0001,0.8
UDP0121,UDP0001,0.9
UDP0122,UDP0001,0.7
UDP0123,UDP0001,0.9
UDP0124,UDP0001,0.8
UDP0125,UDP0001,0.7
UDP0126,UDP0001,0.9
UDP0127,UDP0001,0.8
UDP0128,UDP0001,0.5
UDP0129,UDP0001,0.6
UDP0130,UDP0001,0.8
UDP0131,UDP0001,1
UDP0132,UDP0001,0.9
UDP0133,UDP0001,0.6
UDP0134,UDP0001,0.9
UDP0135,UDP0001,0.9
UDP0136,UDP0001,0.7
UDP0137,UDP0001,0.9
UDP0138,UDP0001,0.8
UDP0139,UDP0001,0.7
UDP0140,UDP0001,0.5
UDP0141,UDP0001,0.7
UDP0142,UDP0001,0.7
UDP0143,UDP0001,0.8
UDP0144,UDP0001,0.6
UDP0145,UDP0001,0.7
UDP0146,UDP0001,0.9
UDP0147,UDP0001,0.9
UDP0148,UDP0001,0.7
UDP0149,UDP0001,0.8
UDP0150,UDP0001,0.8
UDP0151,UDP0001,0.9
UDP0152,UDP0001,0.8
UDP0153,UDP0001,0.7
UDP0154,UDP0001,0.5
UDP0155,UDP0001,0.8
UDP0156,UDP0001,0.6
UDP0157,UDP0001,0.6
UDP0158,UDP0001,0.8
UDP0159,UDP0001,0.9
UDP0160,UDP0001,0.8
UDP0161,UDP0001,0.7
UDP0162,UDP0001,0.8
UDP0163,UDP0001,1
UDP0164,UDP0001,0.8
UDP0165,UDP0001,0.7
UDP0166,UDP0001,0.6
UDP0167,UDP0001,0.7
UDP0168,UDP0001,0.8
UDP0169,UDP0001,0.7
UDP0170,UDP0001,0.7
UDP0171,UDP0001,0.9
UDP0172,UDP0001,0.7
UDP0173,UDP0001,0.6
UDP0174,UDP0001,0.8
UDP0175,UDP0001,0.6
UDP0176,UDP0001,0.8
UDP0177,UDP0001,1
UDP0178,UDP0001,0.4
UDP0179,UDP0001,0.5
UDP0180,UDP0001,0.9
UDP0181,UDP0001,0.6
UDP0182,UDP0001,0.8
UDP0183,UDP0001,0.8
UDP0184,UDP0001,0.8
UDP0185,UDP0001,0.9
UDP0186,UDP0001,0.7
UDP0187,UDP0001,0.9
UDP0188,UDP0001,0.8
UDP0189,UDP0001,0.5
UDP0190,UDP0001,0.6
UDP0191,UDP0001,0.9
UDP0192,UDP0001,0.8
UDP0001,UDP0002,1
UDP0002,UDP0002,0
UDP0003,UDP0002,0.9
UDP0004,UDP0002,0.6
UDP0005,UDP0002,0.8
UDP0006,UDP0002,0.8
UDP0007,UDP0002,1
UDP0008,UDP0002,0.7
UDP0009,UDP0002,0.7
UDP0010,UDP0002,0.7
UDP0011,UDP0002,0.6
UDP0012,UDP0002,0.5
UDP0013,UDP0002,0.7
UDP0014,UDP0002,0.8
UDP0015,UDP0002,0.9
UDP0016,UDP0002,0.6
UDP0017,UDP0002,0.7
UDP0018,UDP0002,0.7
UDP0019,UDP0002,0.7
UDP0020,UDP0002,0.9
UDP0021,UDP0002,0.6
UDP0022,UDP0002,0.7
UDP0023,UDP0002,0.6
UDP0024,UDP0002,0.9
UDP0025,UDP0002,0.8
UDP0026,UDP0002,0.6
UDP0027,UDP0002,0.7
UDP0028,UDP0002,0.8
UDP0029,UDP0002,0.8
UDP0030,UDP0002,0.6
UDP0031,UDP0002,0.6
UDP0032,UDP0002,0.7
UDP0033,UDP0002,0.6
UDP0034,UDP0002,0.6
UDP0035,UDP0002,0.9
UDP0036,UDP0002,0.7
UDP0037,UDP0002,0.9
UDP0038,UDP0002,0.9
UDP0039,UDP0002,0.6
UDP0040,UDP0002,0.7
UDP0041,UDP0002,0.8
UDP0042,UDP0002,0.8
UDP0043,UDP0002,0.8
UDP0044,UDP0002,0.6
UDP0045,UDP0002,0.6
UDP0046,UDP0002,0.4
UDP0047,UDP0002,0.6
UDP0048,UDP0002,0.7
UDP0049,UDP0002,0.7
UDP0050,UDP0002,0.9
UDP0051,UDP0002,0.9
UDP0052,UDP0002,0.6
UDP0053,UDP0002,0.7
UDP0054,UDP0002,0.6
UDP0055,UDP0002,0.6
UDP0056,UDP0002,0.7
UDP0057,UDP0002,0.9
UDP0058,UDP0002,0.9
UDP0059,UDP0002,0.7
UDP0060,UDP0002,0.7
UDP0061,UDP0002,0.6
UDP0062,UDP0002,0.5
UDP0063,UDP0002,0.8
UDP0064,UDP0002,0.6
UDP0065,UDP0002,0.8
UDP0066,UDP0002,0.7
UDP0067,UDP0002,0.7
UDP0068,UDP0002,0.8
UDP0069,UDP0002,0.7
UDP0070,UDP0002,0.9
UDP0071,UDP0002,0.8
UDP0072,UDP0002,0.8
UDP0073,UDP0002,0.7
UDP0074,UDP0002,0.9
UDP0075,UDP0002,0.9
UDP0076,UDP0002,0.8
UDP0077,UDP0002,1
UDP0078,UDP0002,0.9
UDP0079,UDP0002,0.7
UDP0080,UDP0002,0.9
UDP0081,UDP0002,0.9
UDP0082,UDP0002,0.8
UDP0083,UDP0002,0.9
UDP0084,UDP0002,0.8
UDP0085,UDP0002,0.6
UDP0086,UDP0002,0.8
UDP0087,UDP0002,0.7
UDP0088,UDP0002,0.6
UDP0089,UDP0002,0.9
UDP0090,UDP0002,0.6
UDP0091,UDP0002,0.8
UDP0092,UDP0002,0.7
UDP0093,UDP0002,0.8
UDP0094,UDP0002,0.8
UDP0095,UDP0002,0.8
UDP0096,UDP0002,0.8
UDP0097,UDP0002,0.9
UDP0098,UDP0002,0.6
UDP0099,UDP0002,1
UDP0100,UDP0002,0.7
UDP0101,UDP0002,0.8
UDP0102,UDP0002,0.6
UDP0103,UDP0002,1
UDP0104,UDP0002,0.7
UDP0105,UDP0002,0.8
UDP0106,UDP0002,0.8
UDP0107,UDP0002,0.7
UDP0108,UDP0002,0.5
UDP0109,UDP0002,0.6
UDP0110,UDP0002,0.7
UDP0111,UDP0002,0.8
UDP0112,UDP0002,0.8
UDP0113,UDP0002,0.7
UDP0114,UDP0002,0.8
UDP0115,UDP0002,0.7
UDP0116,UDP0002,0.7
UDP0117,UDP0002,0.6
UDP0118,UDP0002,0.7
UDP0119,UDP0002,0.7
UDP0120,UDP0002,0.4
UDP0121,UDP0002,0.5
UDP0122,UDP0002,0.9
UDP0123,UDP0002,0.5
UDP0124,UDP0002,0.8
UDP0125,UDP0002,0.5
UDP0126,UDP0002,0.5
UDP0127,UDP0002,0.8
UDP0128,UDP0002,0.9
UDP0129,UDP0002,1
UDP0130,UDP0002,0.6
UDP0131,UDP0002,0.8
UDP0132,UDP0002,0.5
UDP0133,UDP0002,0.8
UDP0134,UDP0002,0.5
UDP0135,UDP0002,0.7
UDP0136,UDP0002,0.9
UDP0137,UDP0002,0.7
UDP0138,UDP0002,0.6
UDP0139,UDP0002,0.9
UDP0140,UDP0002,0.9
UDP0141,UDP0002,0.9
UDP0142,UDP0002,0.7
UDP0143,UDP0002,0.8
UDP0144,UDP0002,0.6
UDP0145,UDP0002,0.9
UDP0146,UDP0002,0.7
UDP0147,UDP0002,0.5
UDP0148,UDP0002,0.9
UDP0149,UDP0002,0.6
UDP0150,UDP0002,0.8
UDP0151,UDP0002,0.7
UDP0152,UDP0002,0.8
UDP0153,UDP0002,0.9
UDP0154,UDP0002,0.9
UDP0155,UDP0002,0.6
UDP0156,UDP0002,0.8
UDP0157,UDP0002,1
UDP0158,UDP0002,0.6
UDP0159,UDP0002,0.9
UDP0160,UDP0002,0.6
UDP0161,UDP0002,0.7
UDP0162,UDP0002,0.8
UDP0163,UDP0002,0.6
UDP0164,UDP0002,0.8
