eDNA.sample,Transect,position,depth,lat,lon
58,26,1,50,38.56360833,-123.3499667
59,26,1,50,38.56360833,-123.3499667
60,26,1,25,38.56360833,-123.3499667
61,26,1,25,38.56360833,-123.3499667
62,26,1,sfc,38.56360833,-123.3499667
63,26,1,sfc,38.56360833,-123.3499667
64,26,2,150,38.56174167,-123.6588383
65,26,2,150,38.56174167,-123.6588383
66,26,2,100,38.56174167,-123.6588383
67,26,2,100,38.56174167,-123.6588383
68,26,2,50,38.56174167,-123.6588383
69,26,2,50,38.56174167,-123.6588383
70,26,2,sfc,38.56174167,-123.6588383
71,26,2,sfc,38.56174167,-123.6588383
72,26,3,500,38.56264167,-123.9785983
73,26,3,500,38.56264167,-123.9785983
74,26,3,300,38.56264167,-123.9785983
75,26,3,300,38.56264167,-123.9785983
76,26,3,150,38.56264167,-123.9785983
77,26,3,150,38.56264167,-123.9785983
78,26,3,100,38.56264167,-123.9785983
79,26,3,100,38.56264167,-123.9785983
80,26,3,50,38.56264167,-123.9785983
81,26,3,50,38.56264167,-123.9785983
82,26,3,sfc,38.56264167,-123.9785983
83,26,3,sfc,38.56264167,-123.9785983
282,35,1,48,40.065505,-124.1372783
283,35,1,48,40.065505,-124.1372783
284,35,1,25,40.065505,-124.1372783
285,35,1,25,40.065505,-124.1372783
286,35,1,sfc,40.065505,-124.1372783
287,35,1,sfc,40.065505,-124.1372783
288,35,3,300,40.06306,-124.2782183
289,35,3,300,40.06306,-124.2782183
290,35,3,150,40.06306,-124.2782183
291,35,3,150,40.06306,-124.2782183
292,35,3,100,40.06306,-124.2782183
293,35,3,100,40.06306,-124.2782183
294,35,3,50,40.06306,-124.2782183
295,35,3,50,40.06306,-124.2782183
296,35,3,sfc,40.06306,-124.2782183
297,35,3,sfc,40.06306,-124.2782183
298,35,5,500,40.06066,-124.421245
299,35,5,500,40.06066,-124.421245
300,35,5,300,40.06066,-124.421245
301,35,5,300,40.06066,-124.421245
302,35,5,150,40.06066,-124.421245
303,35,5,150,40.06066,-124.421245
304,35,5,100,40.06066,-124.421245
