Well,Sample,Success,Notes,PCR
D01,318,Y,NA,PCR_RGS_071
C02,1005,Y,NA,PCR_RGS_071
E03,Tilapia,Y,NA,PCR_RGS_071
D04,318,Y,NA,PCR_RGS_071
C07,287,Y,NA,PCR_RGS_071
H08,1725,Y,NA,PCR_RGS_071
