CTD_Cast,Thermocline_depth,Thermocline_strength,eDNA.sample,Station,Transect,position,depth,lat,lon
187,12.987,2.5415350854100875,988,60-4,60,above,0,44.23039833,-125.1583233
189,5.378,2.527547415424337,995,60-2,60,below,86,44.23054833,-124.5392983
189,5.378,2.527547415424337,996,60-2,60,below,86,44.23054833,-124.5392983
189,5.378,2.527547415424337,997,60-2,60,below,50,44.23054833,-124.5392983
189,5.378,2.527547415424337,998,60-2,60,below,50,44.23054833,-124.5392983
189,5.378,2.527547415424337,999,60-2,60,above,0,44.23054833,-124.5392983
190,4.888,2.56248480845988,1001,60-1,60,below,60,44.23212833,-124.247595
190,4.888,2.56248480845988,1002,60-1,60,below,60,44.23212833,-124.247595
190,4.888,2.56248480845988,1003,60-1,60,below,50,44.23212833,-124.247595
190,4.888,2.56248480845988,1004,60-1,60,below,50,44.23212833,-124.247595
190,4.888,2.56248480845988,1005,60-1,60,below,25,44.23212833,-124.247595
215,3.742,3.9778443084888426,1205,67-1,67,below,45,45.39631833,-124.0406283
215,3.742,3.9778443084888426,1206,67-1,67,below,45,45.39631833,-124.0406283
215,3.742,3.9778443084888426,1207,67-1,67,below,25,45.39631833,-124.0406283
215,3.742,3.9778443084888426,1208,67-1,67,below,25,45.39631833,-124.0406283
215,3.742,3.9778443084888426,1210,67-1,67,above,0,45.39631833,-124.0406283
217,13.44,1.872793611648401,1219,67-3,67,below,291,45.39612167,-124.4226133
217,13.44,1.872793611648401,1220,67-3,67,below,291,45.39612167,-124.4226133
217,13.44,1.872793611648401,1225,67-3,67,below,50,45.39612167,-124.4226133
217,13.44,1.872793611648401,1228,67-3,67,above,0,45.39612167,-124.4226133
221,16.202,1.6863100091911782,1265,67-7,67,below,500,45.398275,-125.0283033
221,16.202,1.6863100091911782,1266,67-7,67,below,500,45.398275,-125.0283033
221,16.202,1.6863100091911782,1273,67-7,67,below,50,45.398275,-125.0283033
221,16.202,1.6863100091911782,1274,67-7,67,below,50,45.398275,-125.0283033
247,6.477,5.098723024160524,1535,77-1,77,above,0,47.063255,-124.396465
247,6.477,5.098723024160524,1537,77-1,77,below,50,47.063255,-124.396465
247,6.477,5.098723024160524,1538,77-1,77,below,50,47.063255,-124.396465
247,6.477,5.098723024160524,1539,77-1,77,below,25,47.063255,-124.396465
247,6.477,5.098723024160524,1540,77-1,77,below,25,47.063255,-124.396465
248,6.721,2.4562167556527417,1541,77-2,77,above,0,47.06391667,-124.8705967
248,6.721,2.4562167556527417,1543,77-2,77,below,143,47.06391667,-124.8705967
248,6.721,2.4562167556527417,1544,77-2,77,below,143,47.06391667,-124.8705967
248,6.721,2.4562167556527417,1547,77-2,77,below,50,47.06391667,-124.8705967
248,6.721,2.4562167556527417,1548,77-2,77,below,50,47.06391667,-124.8705967
251,15.349,2.30416231937145,1573,77-6,77,above,0,47.06442,-125.2157667
251,15.349,2.30416231937145,1574,77-6,77,above,0,47.06442,-125.2157667
251,15.349,2.30416231937145,1575,77-6,77,below,500,47.06442,-125.2157667
264,3.622,-0.0057121503905239734,1719,81-1,81,above,0,47.72953333,-124.680385
264,3.622,-0.0057121503905239734,1723,81-1,81,below,25,47.72953333,-124.680385
264,3.622,-0.0057121503905239734,1725,81-1,81,above,3,47.72953333,-124.680385
267,11.516,2.261562061785522,1755,81-5,81,below,50,47.73109333,-125.2471967
267,11.516,2.261562061785522,1756,81-5,81,below,50,47.73109333,-125.2471967
269,22.98,1.5893634549153841,1769,81-9,81,above,0,47.73233,-125.742555
269,22.98,1.5893634549153841,1770,81-9,81,above,0,47.73233,-125.742555
269,22.98,1.5893634549153841,1779,81-9,81,below,50,47.73233,-125.742555
269,22.98,1.5893634549153841,1780,81-9,81,below,50,47.73233,-125.742555
