taxon,family,genus,species,diet,morphology,habitat use,life history,diel migration,size(mm),source,new.morphotype,...13,npoints
Salmonidae%Oncorhynchus%NA,Salmonidae,Oncorhynchus,NA,NA,Salmon,surface-subsurface,anadromous,NA,NA,NA,Salmon,Marine; freshwater; brackish; benthopelagic; anadromous ,14
Salmonidae%Oncorhynchus%Oncorhynchus keta,Salmonidae,Oncorhynchus,Oncorhynchus keta,NA,Salmon,surface-subsurface,anadromous,NA,NA,NA,Salmon,Marine; freshwater; brackish; benthopelagic; anadromous ,4
Salmonidae%Oncorhynchus%Oncorhynchus kisutch,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,NA,Salmon,surface-subsurface,anadromous,NA,NA,NA,Salmon,Marine; freshwater; brackish; benthopelagic; anadromous ,2
Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,NA,Salmon,surface-subsurface,anadromous,NA,NA,NA,Salmon,Marine; freshwater; brackish; benthopelagic; anadromous ,11
Salmonidae%Salvelinus%NA,Salmonidae,Salvelinus,NA,NA,Trout,surface,freshwater,NA,NA,NA,surface-subsurface,Marine; freshwater; brackish; benthopelagic; anadromous ,1
Salmonidae%Salvelinus%Salvelinus environmental|leucomaenis|fontinalis,Salmonidae,Salvelinus,Salvelinus environmental|leucomaenis|fontinalis,NA,Trout,surface,freshwater,NA,NA,NA,surface-subsurface,Marine; freshwater; brackish; benthopelagic; anadromous ,1
Sciaenidae%Genyonemus%Genyonemus lineatus,Sciaenidae,Genyonemus,Genyonemus lineatus,NA,Croaker,surface-subsurface,ocean-estuary,NA,NA,NA,surface-subsurface,Marine; benthopelagic,1
Scombridae%NA%NA,Scombridae,NA,NA,NA,Tuna,surface-mid,ocean,NA,NA,NA,Pelagic predator,Marine; pelagic-oceanic,5
Scombridae%Scomber%Scomber japonicus,Scombridae,Scomber,Scomber japonicus,NA,Tuna,surface-mid,ocean,NA,NA,NA,Pelagic predator,Marine; pelagic-neritic,12
Scombridae%Thunnus%Thunnus alalunga|obesus,Scombridae,Thunnus,Thunnus alalunga|obesus,NA,Tuna,surface-mid,ocean,NA,NA,NA,Pelagic predator,Marine; pelagic-oceanic,7
