Well,Sample,Success,Notes,PCR
D03,996,Y,NA,AW_PCR001
B06,68,Y,NA,AW_PCR001
E06,80,Y,NA,AW_PCR001
A08,997,Y,NA,AW_PCR006
D10,1541,Y,NA,AW_PCR006
F01,311,Y,NA,AW_PCR004
C02,502,Y,NA,AW_PCR004
G02,839,Y,NA,AW_PCR004
B03,978,Y,NA,AW_PCR004
E04,1575,Y,NA,AW_PCR004
C01,72,Y,NA,AW_PCR005
D02,503,Y,NA,AW_PCR005
H02,840,Y,NA,AW_PCR005
D03,996,Y,NA,AW_PCR005
E04,1575,Y,NA,AW_PCR005
