Station,depth,Tube,Flour_at_sample
22-2,50,1,0.10336756985605419
22-2,50,2,0.10336756985605419
22-2,25,3,3.081119000757002
22-2,25,4,3.081119000757002
22-2,5,5,7.018676724738676
22-2,5,6,7.018676724738676
22-1,48,7,0.13184781439139207
22-1,48,8,0.13184781439139207
22-1,25,9,0.527247002997003
22-1,25,10,0.527247002997003
22-1,5,11,2.7494998530492283
22-1,5,12,2.7494998530492283
25-6,500,21,NaN
25-6,500,22,NaN
25-6,300,23,0.0062814845704753965
25-6,300,24,0.0062814845704753965
25-6,150,25,-0.0011487727632620741
25-6,100,26,0.009112734864300627
25-6,100,27,0.009112734864300627
25-6,50,28,0.4395001465201465
25-6,50,29,0.4395001465201465
25-6,5,30,1.2422181303116147
25-6,5,31,1.2422181303116147
25-4,495,32,0.014743718228031954
25-4,495,33,0.014743718228031954
25-4,300,34,0.0013052274927395937
25-4,300,35,0.0013052274927395937
25-4,150,36,-0.005605484247374562
25-4,150,37,-0.005605484247374562
25-4,100,38,0.005296642685851319
25-4,100,39,0.005296642685851319
25-4,50,40,0.3399216879293425
25-4,50,41,0.3399216879293425
25-4,5,42,1.9240016107382552
25-4,5,43,1.9240016107382552
25-2,135,44,0.016590903577926017
25-2,135,45,0.016590903577926017
25-2,100,46,0.0026543156059285096
25-2,100,47,0.0026543156059285096
25-2,50,48,4.370437001375516
25-2,50,49,4.370437001375516
25-2,5,50,8.981384451718494
25-2,5,51,8.981384451718494
25-1,40,52,0.25387009202453986
25-1,40,53,0.25387009202453986
25-1,25,54,0.319246449704142
25-1,25,55,0.319246449704142
25-1,5,56,0.340687963800905
25-1,5,57,0.340687963800905
26-1,50,58,0.3433709649122807
26-1,50,59,0.3433709649122807
26-1,25,60,0.20754738197424893
26-1,25,61,0.20754738197424893
26-1,5,62,0.3196132108486439
26-1,5,63,0.3196132108486439
26-2,150,64,0.005814771241830065
26-2,150,65,0.005814771241830065
26-2,100,66,-0.004730889033095392
26-2,100,67,-0.004730889033095392
26-2,50,68,0.04593092059030218
26-2,50,69,0.04593092059030218
26-2,5,70,2.165796738421396
26-2,5,71,2.165796738421396
26-3,500,72,0.010348153846153847
26-3,500,73,0.010348153846153847
26-3,300,74,0.005828218812541695
26-3,300,75,0.005828218812541695
26-3,150,76,-1.9145646867371817e-4
26-3,150,77,-1.9145646867371817e-4
26-3,100,78,0.0023673374613003098
26-3,100,79,0.0023673374613003098
26-3,50,80,0.07922354452054794
26-3,50,81,0.07922354452054794
26-3,5,82,2.563420672740014
26-3,5,83,2.563420672740014
27-8,500,84,0.011925845737483086
27-8,500,85,0.011925845737483086
27-8,300,86,0.010391764705882354
27-8,300,87,0.010391764705882354
27-8,150,88,0.0037432491767288695
27-8,150,89,0.0037432491767288695
27-8,100,90,0.0068495145631067966
27-8,100,91,0.0068495145631067966
27-8,50,92,4.8351594330400784
27-8,50,93,4.8351594330400784
27-8,5,94,1.672748224852071
27-6,500,95,0.01059305373525557
27-6,500,96,0.01059305373525557
27-6,300,97,0.008578384798099763
27-6,300,98,0.008578384798099763
27-6,150,99,0.007673695198329854
27-6,150,100,0.007673695198329854
27-6,100,101,0.020360831024930748
27-6,100,102,0.020360831024930748
27-6,50,103,0.20453505798394292
27-6,50,104,0.20453505798394292
27-6,5,105,4.6233026717557255
27-6,5,106,4.6233026717557255
27-4,500,108,0.010709909090909091
27-4,500,109,0.010709909090909091
27-4,300,110,0.0065411985018726596
27-4,300,111,0.0065411985018726596
27-4,150,112,0.00983354430379747
27-4,150,113,0.00983354430379747
27-4,100,114,0.015002210433244916
27-4,100,115,0.015002210433244916
27-4,50,116,0.02867922814982974
27-4,50,117,0.02867922814982974
27-4,5,118,7.863701139240506
27-4,5,119,7.863701139240506
27-2,145,120,0.016054201292705447
27-2,145,121,0.016054201292705447
27-2,100,122,0.006873200992555831
27-2,100,123,0.006873200992555831
27-2,50,124,0.76535672396359955
27-2,50,125,0.76535672396359955
27-2,5,126,5.477419065898912
27-2,5,127,5.477419065898912
27-1,35,128,2.0075395
27-1,35,129,2.0075395
27-1,25,130,0.6896236272878535
27-1,25,131,0.6896236272878535
27-1,5,132,0.7492839342188489
27-1,5,133,0.7492839342188489
27-1,5,134,0.7492839342188489
27-1,5,135,0.7492839342188489
29-1,45,136,0.12031921979067554
29-1,45,137,0.12031921979067554
29-1,25,138,0.70307801578354
29-1,25,139,0.70307801578354
29-1,5,140,1.4794072685539403
29-1,5,141,1.4794072685539403
29-1,5,142,1.4794072685539403
29-1,5,143,1.4794072685539403
29-2,145,144,-0.0015514579759862775
29-2,145,145,-0.0015514579759862775
29-2,100,146,0.006003256704980843
29-2,100,147,0.006003256704980843
29-2,50,148,0.0028236994219653184
29-2,50,149,0.0028236994219653184
29-2,5,150,12.197500150829562
29-2,5,151,12.197500150829562
29-4,475,152,0.01931643192488263
29-4,475,153,0.01931643192488263
29-4,280,154,0.008628677563150075
29-4,280,155,0.008628677563150075
29-4,150,156,0.0025038277511961727
29-4,150,157,0.0025038277511961727
29-4,100,158,-0.007081389252948885
29-4,100,159,-0.007081389252948885
29-4,50,160,0.01382741046831956
29-4,50,161,0.01382741046831956
29-4,5,162,10.411165384615385
29-4,5,163,10.411165384615385
29-6,500,166,0.0115256611165524
29-6,500,167,0.0115256611165524
29-6,300,168,0.009592219020172911
29-6,300,169,0.009592219020172911
29-6,150,170,0.017868625954198473
29-6,150,171,0.017868625954198473
29-6,100,172,0.042377342314758114
29-6,100,173,0.042377342314758114
29-6,50,174,1.4885941704035874
29-6,50,175,1.4885941704035874
29-6,5,176,4.0105607907743
29-6,5,177,4.0105607907743
31-9,500,178,0.010864779874213836
31-9,500,179,0.010864779874213836
31-9,300,180,-0.0022020304568527915
31-9,300,181,-0.0022020304568527915
31-9,150,182,0.006256718192627824
31-9,150,183,0.006256718192627824
31-9,100,184,0.8965357142857143
31-9,100,185,0.8965357142857143
31-9,50,186,3.133170887918486
31-9,50,187,3.133170887918486
31-9,5,188,2.479005143422354
31-9,5,189,2.479005143422354
31-7,500,190,0.013536363636363636
31-7,500,191,0.013536363636363636
31-7,300,192,0.0023680180180180184
31-7,300,193,0.0023680180180180184
31-7,150,194,-1.5585831062670262e-4
31-7,150,195,-1.5585831062670262e-4
31-7,100,196,0.01063227344992051
31-7,100,197,0.01063227344992051
31-7,50,198,2.4795569583931134
31-7,50,199,2.4795569583931134
31-7,5,200,2.146556777378815
31-7,5,201,2.146556777378815
31-4,494,202,0.015356883509833585
31-4,494,203,0.015356883509833585
31-4,300,204,0.010471181556195966
31-4,300,205,0.010471181556195966
31-4,150,206,0.009148179059180576
31-4,150,207,0.009148179059180576
31-4,100,208,0.04101166818596171
31-4,100,209,0.04101166818596171
31-4,50,210,0.19303341365461849
