eDNA.sample,rep,Transect,position,depth,func.group,nReads
65,1,26,2,150,Coastal; benthopelagic,0
65,1,26,2,150,Marine; bathypelagic,0
65,1,26,2,150,Coastal; demersal,0
65,2,26,2,150,Marine; benthopelagic,0
65,2,26,2,150,Open; demersal,45826
65,2,26,2,150,Coastal;pelagic-neritic,0
65,2,26,2,150,Marine; pelagic-oceanic,0
65,2,26,2,150,Open; pelagic-neritic,67388
65,2,26,2,150,Coastal; benthopelagic,10408
65,2,26,2,150,Marine; bathypelagic,0
65,2,26,2,150,Coastal; demersal,0
68,1,26,2,50,Marine; benthopelagic,0
68,1,26,2,50,Open; demersal,15
68,1,26,2,50,Coastal;pelagic-neritic,0
68,1,26,2,50,Marine; pelagic-oceanic,0
68,1,26,2,50,Open; pelagic-neritic,4002
68,1,26,2,50,Coastal; benthopelagic,0
68,1,26,2,50,Marine; bathypelagic,488
68,1,26,2,50,Coastal; demersal,0
69,1,26,2,50,Marine; benthopelagic,0
69,1,26,2,50,Open; demersal,0
69,1,26,2,50,Coastal;pelagic-neritic,0
69,1,26,2,50,Marine; pelagic-oceanic,0
69,1,26,2,50,Open; pelagic-neritic,47437
69,1,26,2,50,Coastal; benthopelagic,0
69,1,26,2,50,Marine; bathypelagic,0
69,1,26,2,50,Coastal; demersal,0
70,2,26,2,0,Marine; benthopelagic,0
70,2,26,2,0,Open; demersal,20663
70,2,26,2,0,Coastal;pelagic-neritic,0
70,2,26,2,0,Marine; pelagic-oceanic,12964
70,2,26,2,0,Open; pelagic-neritic,3896
70,2,26,2,0,Coastal; benthopelagic,0
70,2,26,2,0,Marine; bathypelagic,0
70,2,26,2,0,Coastal; demersal,0
71,1,26,2,0,Marine; benthopelagic,0
71,1,26,2,0,Open; demersal,11663
71,1,26,2,0,Coastal;pelagic-neritic,2529
71,1,26,2,0,Marine; pelagic-oceanic,0
71,1,26,2,0,Open; pelagic-neritic,206
71,1,26,2,0,Coastal; benthopelagic,9
71,1,26,2,0,Marine; bathypelagic,0
71,1,26,2,0,Coastal; demersal,0
71,2,26,2,0,Marine; benthopelagic,0
71,2,26,2,0,Open; demersal,32530
71,2,26,2,0,Coastal;pelagic-neritic,0
71,2,26,2,0,Marine; pelagic-oceanic,93
71,2,26,2,0,Open; pelagic-neritic,35436
71,2,26,2,0,Coastal; benthopelagic,0
71,2,26,2,0,Marine; bathypelagic,0
71,2,26,2,0,Coastal; demersal,0
72,1,26,3,500,Marine; benthopelagic,0
72,1,26,3,500,Open; demersal,0
72,1,26,3,500,Coastal;pelagic-neritic,0
72,1,26,3,500,Marine; pelagic-oceanic,0
72,1,26,3,500,Open; pelagic-neritic,26243
72,1,26,3,500,Coastal; benthopelagic,0
72,1,26,3,500,Marine; bathypelagic,95
72,1,26,3,500,Coastal; demersal,0
73,1,26,3,500,Marine; benthopelagic,0
73,1,26,3,500,Open; demersal,0
73,1,26,3,500,Coastal;pelagic-neritic,0
73,1,26,3,500,Marine; pelagic-oceanic,18
73,1,26,3,500,Open; pelagic-neritic,101614
73,1,26,3,500,Coastal; benthopelagic,0
73,1,26,3,500,Marine; bathypelagic,24461
