Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
70_1,16S_Prey,339,193,191,189,189,189,189
70_2,16S_Prey,147159,51801,51770,51793,51706,51706,26254
283_1,16S_Prey,168991,68075,67752,67948,65965,65965,40937
283_2,16S_Prey,221216,96245,96178,96037,94756,94756,87408
459_1,16S_Prey,133811,46489,46362,46438,46106,46106,42214
459_2,16S_Prey,175432,45697,45668,45694,45598,45598,44255
486_1,16S_Prey,72860,21643,21610,21629,21393,21393,19033
486_2,16S_Prey,214393,95268,95092,95185,94186,94186,88428
487_1,16S_Prey,29693,3193,3185,3188,3149,3149,3105
487_2,16S_Prey,131294,48832,48766,48660,48178,48178,45045
510_1,16S_Prey,421733,186480,186192,186328,185625,185625,166161
510_2,16S_Prey,480597,222233,222039,222221,220089,220089,194663
511_1,16S_Prey,332209,144901,144735,144829,144016,144016,129933
511_2,16S_Prey,152733,38623,38563,38613,38450,38450,37428
512_1,16S_Prey,202904,81878,81689,81867,80921,80921,73743
512_2,16S_Prey,120469,33674,33497,33530,32769,32769,30302
513_1,16S_Prey,148533,64628,64472,64608,63810,63810,57223
513_2,16S_Prey,118345,41002,40941,40970,40282,40282,37945
1273_1,16S_Prey,199399,81815,81529,81811,78998,78998,78027
1273_2,16S_Prey,56124,3653,3649,3640,3601,3601,3601
1535_1,16S_Prey,128685,47294,47226,47264,46872,46872,42573
1535_2,16S_Prey,131902,34735,34711,34670,34379,34379,34136
1537_1,16S_Prey,146662,46253,46158,46242,45875,45875,36992
1537_2,16S_Prey,104454,3694,3675,3649,3604,3604,3314
1548_1,16S_Prey,159972,33556,33424,33488,32437,32437,28547
1548_2,16S_Prey,586314,145798,145562,145740,144641,144641,133301
1755_1,16S_Prey,289466,114803,114707,114775,112413,112413,98828
1755_2,16S_Prey,193458,85918,85852,85917,85717,85717,83046
1756_1,16S_Prey,229092,93840,93714,93480,92870,92870,91795
1756_2,16S_Prey,40548,10228,10219,10225,10137,10137,9938
1780_1,16S_Prey,170003,68188,67834,68056,67355,67355,57148
1780_2,16S_Prey,119065,33709,33673,33681,33145,33145,31473
848_1,16S_Prey,168313,23987,23716,23982,23134,23134,20785
848_2,16S_Prey,145040,37982,37751,37972,36769,36769,31742
998_1,16S_Prey,382742,86565,86508,86295,84798,84798,81322
998_2,16S_Prey,120974,33672,33647,33662,33507,33507,31728
1210_1,16S_Prey,184835,44048,44009,44009,43071,43071,41140
1210_2,16S_Prey,190774,80943,80906,80907,80558,80558,79260
Tilapia_1,16S_Prey,272336,130597,130563,130591,130551,130551,130548
319_1,16S_Prey,23501,119,117,115,111,111,111
319_2,16S_Prey,144855,45005,44990,45001,44988,44988,44946
779_1,16S_Prey,117043,22649,22616,22638,22499,22499,21518
779_2,16S_Prey,208804,92552,92388,92543,91750,91750,79131
61_1,16S_Prey,184637,67779,67660,67704,67256,67256,55092
81_1,16S_Prey,139819,37398,37148,37253,36626,36626,33305
282_1,16S_Prey,131024,16776,16703,16732,16402,16402,15239
282_2,16S_Prey,451908,94628,94435,94587,93124,93124,80106
463_1,16S_Prey,143268,55190,55078,55161,54937,54937,52787
463_2,16S_Prey,321360,142843,142769,142808,141966,141966,103724
488_1,16S_Prey,79008,20191,20182,20157,20142,20142,20046
488_2,16S_Prey,148624,57859,57794,57831,57555,57555,54882
489_1,16S_Prey,109672,22731,22722,22729,22719,22719,22692
320_1,16S_Prey,241706,96680,96624,96622,94395,94395,87655
320_2,16S_Prey,212226,86899,86842,86894,85501,85501,84893
58_1,16S_Prey,263305,120043,119725,119997,118363,118363,101111
69_1,16S_Prey,169332,63055,62895,63051,61663,61663,53199
83_1,16S_Prey,375590,185470,185081,185440,184321,184321,157884
286_1,16S_Prey,199264,74252,74133,74231,73534,73534,66778
321_1,16S_Prey,201943,93565,93436,93560,93049,93049,92225
1225_1,16S_Prey,102137,39038,38950,39033,38031,38031,33250
1547_1,16S_Prey,179934,71225,71117,71194,70009,70009,58366
1723_1,16S_Prey,360553,181617,181560,180943,180587,180587,180570
801_1,16S_Prey,118505,34203,34185,34200,34174,34174,34171
802_1,16S_Prey,162572,60509,60476,60506,60415,60415,60409
287_1,16S_Prey,118625,40082,40050,40073,39664,39664,38373
287_2,16S_Prey,107571,32597,32455,32593,32041,32041,31163
318_1,16S_Prey,154635,65180,65156,65174,65107,65107,65083
318_2,16S_Prey,119576,50047,49963,49975,49383,49383,48281
1005_1,16S_Prey,128514,51484,51465,51413,51334,51334,49681
1005_2,16S_Prey,300645,107873,107625,107854,107543,107543,105113
1725_1,16S_Prey,232558,107051,106979,107039,106721,106721,102964
1725_2,16S_Prey,409023,187137,186852,187130,186445,186445,179140
