Sample_name,Locus,file1,file2
1227.1,16S_Prey,Locus_16S_Prey_1227-1_S45_L001_R1_001.fastq,Locus_16S_Prey_1227-1_S45_L001_R2_001.fastq
1275.1,16S_Prey,Locus_16S_Prey_1275-1_S46_L001_R1_001.fastq,Locus_16S_Prey_1275-1_S46_L001_R2_001.fastq
1276.1,16S_Prey,Locus_16S_Prey_1276-1_S47_L001_R1_001.fastq,Locus_16S_Prey_1276-1_S47_L001_R2_001.fastq
1535.1,16S_Prey,Locus_16S_Prey_1535-1_S48_L001_R1_001.fastq,Locus_16S_Prey_1535-1_S48_L001_R2_001.fastq
1536.1,16S_Prey,Locus_16S_Prey_1536-1_S49_L001_R1_001.fastq,Locus_16S_Prey_1536-1_S49_L001_R2_001.fastq
1542.1,16S_Prey,Locus_16S_Prey_1542-1_S50_L001_R1_001.fastq,Locus_16S_Prey_1542-1_S50_L001_R2_001.fastq
783.2,16S_Prey,Locus_16S_Prey_783-2_S51_L001_R1_001.fastq,Locus_16S_Prey_783-2_S51_L001_R2_001.fastq
784.2,16S_Prey,Locus_16S_Prey_784-2_S52_L001_R1_001.fastq,Locus_16S_Prey_784-2_S52_L001_R2_001.fastq
799.2,16S_Prey,Locus_16S_Prey_799-2_S53_L001_R1_001.fastq,Locus_16S_Prey_799-2_S53_L001_R2_001.fastq
801.2,16S_Prey,Locus_16S_Prey_801-2_S54_L001_R1_001.fastq,Locus_16S_Prey_801-2_S54_L001_R2_001.fastq
802.2,16S_Prey,Locus_16S_Prey_802-2_S55_L001_R1_001.fastq,Locus_16S_Prey_802-2_S55_L001_R2_001.fastq
849.2,16S_Prey,Locus_16S_Prey_849-2_S56_L001_R1_001.fastq,Locus_16S_Prey_849-2_S56_L001_R2_001.fastq
850.2,16S_Prey,Locus_16S_Prey_850-2_S57_L001_R1_001.fastq,Locus_16S_Prey_850-2_S57_L001_R2_001.fastq
987.2,16S_Prey,Locus_16S_Prey_987-2_S58_L001_R1_001.fastq,Locus_16S_Prey_987-2_S58_L001_R2_001.fastq
988.2,16S_Prey,Locus_16S_Prey_988-2_S59_L001_R1_001.fastq,Locus_16S_Prey_988-2_S59_L001_R2_001.fastq
999.2,16S_Prey,Locus_16S_Prey_999-2_S60_L001_R1_001.fastq,Locus_16S_Prey_999-2_S60_L001_R2_001.fastq
1000.2,16S_Prey,Locus_16S_Prey_1000-2_S61_L001_R1_001.fastq,Locus_16S_Prey_1000-2_S61_L001_R2_001.fastq
1006.2,16S_Prey,Locus_16S_Prey_1006-2_S62_L001_R1_001.fastq,Locus_16S_Prey_1006-2_S62_L001_R2_001.fastq
1207.2,16S_Prey,Locus_16S_Prey_1207-2_S63_L001_R1_001.fastq,Locus_16S_Prey_1207-2_S63_L001_R2_001.fastq
1208.2,16S_Prey,Locus_16S_Prey_1208-2_S64_L001_R1_001.fastq,Locus_16S_Prey_1208-2_S64_L001_R2_001.fastq
1209.2,16S_Prey,Locus_16S_Prey_1209-2_S65_L001_R1_001.fastq,Locus_16S_Prey_1209-2_S65_L001_R2_001.fastq
1210.2,16S_Prey,Locus_16S_Prey_1210-2_S66_L001_R1_001.fastq,Locus_16S_Prey_1210-2_S66_L001_R2_001.fastq
1226.2,16S_Prey,Locus_16S_Prey_1226-2_S67_L001_R1_001.fastq,Locus_16S_Prey_1226-2_S67_L001_R2_001.fastq
1227.2,16S_Prey,Locus_16S_Prey_1227-2_S68_L001_R1_001.fastq,Locus_16S_Prey_1227-2_S68_L001_R2_001.fastq
1275.2,16S_Prey,Locus_16S_Prey_1275-2_S69_L001_R1_001.fastq,Locus_16S_Prey_1275-2_S69_L001_R2_001.fastq
1276.2,16S_Prey,Locus_16S_Prey_1276-2_S70_L001_R1_001.fastq,Locus_16S_Prey_1276-2_S70_L001_R2_001.fastq
1535.2,16S_Prey,Locus_16S_Prey_1535-2_S71_L001_R1_001.fastq,Locus_16S_Prey_1535-2_S71_L001_R2_001.fastq
1536.2,16S_Prey,Locus_16S_Prey_1536-2_S72_L001_R1_001.fastq,Locus_16S_Prey_1536-2_S72_L001_R2_001.fastq
1542.2,16S_Prey,Locus_16S_Prey_1542-2_S73_L001_R1_001.fastq,Locus_16S_Prey_1542-2_S73_L001_R2_001.fastq
T+.2,16S_Prey,Locus_16S_Prey_T-2_S74_L001_R1_001.fastq,Locus_16S_Prey_T-2_S74_L001_R2_001.fastq
59.2,16S_Prey,Locus_16S_Prey_59-2_S75_L001_R1_001.fastq,Locus_16S_Prey_59-2_S75_L001_R2_001.fastq
71.2,16S_Prey,Locus_16S_Prey_71-2_S76_L001_R1_001.fastq,Locus_16S_Prey_71-2_S76_L001_R2_001.fastq
