Sample_name,Locus,file1,file2
59-1,16S_Prey,Locus_16S_Prey_59-1_S1_L001_R1_001.fastq,Locus_16S_Prey_59-1_S1_L001_R2_001.fastq
62-1,16S_Prey,Locus_16S_Prey_62-1_S2_L001_R1_001.fastq,Locus_16S_Prey_62-1_S2_L001_R2_001.fastq
63-1,16S_Prey,Locus_16S_Prey_63-1_S3_L001_R1_001.fastq,Locus_16S_Prey_63-1_S3_L001_R2_001.fastq
284-1,16S_Prey,Locus_16S_Prey_284-1_S4_L001_R1_001.fastq,Locus_16S_Prey_284-1_S4_L001_R2_001.fastq
285-1,16S_Prey,Locus_16S_Prey_285-1_S5_L001_R1_001.fastq,Locus_16S_Prey_285-1_S5_L001_R2_001.fastq
345-1,16S_Prey,Locus_16S_Prey_345-1_S6_L001_R1_001.fastq,Locus_16S_Prey_345-1_S6_L001_R2_001.fastq
456-1,16S_Prey,Locus_16S_Prey_456-1_S7_L001_R1_001.fastq,Locus_16S_Prey_456-1_S7_L001_R2_001.fastq
780-1,16S_Prey,Locus_16S_Prey_780-1_S8_L001_R1_001.fastq,Locus_16S_Prey_780-1_S8_L001_R2_001.fastq
985-1,16S_Prey,Locus_16S_Prey_985-1_S9_L001_R1_001.fastq,Locus_16S_Prey_985-1_S9_L001_R2_001.fastq
987-1,16S_Prey,Locus_16S_Prey_987-1_S10_L001_R1_001.fastq,Locus_16S_Prey_987-1_S10_L001_R2_001.fastq
988-1,16S_Prey,Locus_16S_Prey_988-1_S11_L001_R1_001.fastq,Locus_16S_Prey_988-1_S11_L001_R2_001.fastq
999-1,16S_Prey,Locus_16S_Prey_999-1_S12_L001_R1_001.fastq,Locus_16S_Prey_999-1_S12_L001_R2_001.fastq
1004-1,16S_Prey,Locus_16S_Prey_1004-1_S13_L001_R1_001.fastq,Locus_16S_Prey_1004-1_S13_L001_R2_001.fastq
343-1,16S_Prey,Locus_16S_Prey_343-1_S14_L001_R1_001.fastq,Locus_16S_Prey_343-1_S14_L001_R2_001.fastq
344-1,16S_Prey,Locus_16S_Prey_344-1_S15_L001_R1_001.fastq,Locus_16S_Prey_344-1_S15_L001_R2_001.fastq
457-1,16S_Prey,Locus_16S_Prey_457-1_S16_L001_R1_001.fastq,Locus_16S_Prey_457-1_S16_L001_R2_001.fastq
1274-1,16S_Prey,Locus_16S_Prey_1274-1_S17_L001_R1_001.fastq,Locus_16S_Prey_1274-1_S17_L001_R2_001.fastq
342-1,16S_Prey,Locus_16S_Prey_342-1_S18_L001_R1_001.fastq,Locus_16S_Prey_342-1_S18_L001_R2_001.fastq
489-1,16S_Prey,Locus_16S_Prey_489-1_S19_L001_R1_001.fastq,Locus_16S_Prey_489-1_S19_L001_R2_001.fastq
489-2,16S_Prey,Locus_16S_Prey_489-2_S20_L001_R1_001.fastq,Locus_16S_Prey_489-2_S20_L001_R2_001.fastq
81-1,16S_Prey,Locus_16S_Prey_81-1_S21_L001_R1_001.fastq,Locus_16S_Prey_81-1_S21_L001_R2_001.fastq
81-2,16S_Prey,Locus_16S_Prey_81-2_S22_L001_R1_001.fastq,Locus_16S_Prey_81-2_S22_L001_R2_001.fastq
848-1,16S_Prey,Locus_16S_Prey_848-1_S23_L001_R1_001.fastq,Locus_16S_Prey_848-1_S23_L001_R2_001.fastq
848-2,16S_Prey,Locus_16S_Prey_848-2_S24_L001_R1_001.fastq,Locus_16S_Prey_848-2_S24_L001_R2_001.fastq
848-3,16S_Prey,Locus_16S_Prey_848-3_S25_L001_R1_001.fastq,Locus_16S_Prey_848-3_S25_L001_R2_001.fastq
998-1,16S_Prey,Locus_16S_Prey_998-1_S26_L001_R1_001.fastq,Locus_16S_Prey_998-1_S26_L001_R2_001.fastq
998-2,16S_Prey,Locus_16S_Prey_998-2_S27_L001_R1_001.fastq,Locus_16S_Prey_998-2_S27_L001_R2_001.fastq
998-3,16S_Prey,Locus_16S_Prey_998-3_S28_L001_R1_001.fastq,Locus_16S_Prey_998-3_S28_L001_R2_001.fastq
60-1,16S_Prey,Locus_16S_Prey_60-1_S29_L001_R1_001.fastq,Locus_16S_Prey_60-1_S29_L001_R2_001.fastq
60-2,16S_Prey,Locus_16S_Prey_60-2_S30_L001_R1_001.fastq,Locus_16S_Prey_60-2_S30_L001_R2_001.fastq
61-1,16S_Prey,Locus_16S_Prey_61-1_S31_L001_R1_001.fastq,Locus_16S_Prey_61-1_S31_L001_R2_001.fastq
61-2,16S_Prey,Locus_16S_Prey_61-2_S32_L001_R1_001.fastq,Locus_16S_Prey_61-2_S32_L001_R2_001.fastq
61-3,16S_Prey,Locus_16S_Prey_61-3_S33_L001_R1_001.fastq,Locus_16S_Prey_61-3_S33_L001_R2_001.fastq
Tilapia-1,16S_Prey,Locus_16S_Prey_Tilapia-1_S34_L001_R1_001.fastq,Locus_16S_Prey_Tilapia-1_S34_L001_R2_001.fastq
Tilapia-2,16S_Prey,Locus_16S_Prey_Tilapia-2_S35_L001_R1_001.fastq,Locus_16S_Prey_Tilapia-2_S35_L001_R2_001.fastq
70-1,16S_Prey,Locus_16S_Prey_70-1_S36_L001_R1_001.fastq,Locus_16S_Prey_70-1_S36_L001_R2_001.fastq
70-2,16S_Prey,Locus_16S_Prey_70-2_S37_L001_R1_001.fastq,Locus_16S_Prey_70-2_S37_L001_R2_001.fastq
283-1,16S_Prey,Locus_16S_Prey_283-1_S38_L001_R1_001.fastq,Locus_16S_Prey_283-1_S38_L001_R2_001.fastq
283-2,16S_Prey,Locus_16S_Prey_283-2_S39_L001_R1_001.fastq,Locus_16S_Prey_283-2_S39_L001_R2_001.fastq
459-1,16S_Prey,Locus_16S_Prey_459-1_S40_L001_R1_001.fastq,Locus_16S_Prey_459-1_S40_L001_R2_001.fastq
459-2,16S_Prey,Locus_16S_Prey_459-2_S41_L001_R1_001.fastq,Locus_16S_Prey_459-2_S41_L001_R2_001.fastq
