Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
59-1,16S_Prey,213049,123406,121197,118502,113776,113776,91657
62-1,16S_Prey,127059,45461,44213,43857,42532,42532,38978
63-1,16S_Prey,165098,73334,71620,70307,68170,68170,55487
284-1,16S_Prey,96430,13955,12885,12689,12468,12468,11972
285-1,16S_Prey,118870,39598,38369,37897,37461,37461,35616
345-1,16S_Prey,154090,55201,53813,53231,52953,52953,51443
456-1,16S_Prey,100994,35205,33929,33486,32535,32535,30220
780-1,16S_Prey,119510,55619,54601,54002,53431,53431,51892
985-1,16S_Prey,146204,46021,44311,43740,43037,43037,42813
987-1,16S_Prey,168031,89318,87933,86054,85464,85464,80286
988-1,16S_Prey,268286,238921,237460,234633,233846,233846,231961
999-1,16S_Prey,109326,62368,61134,60966,60570,60570,60570
1004-1,16S_Prey,197632,10365,7809,7483,7032,7032,6523
343-1,16S_Prey,102198,25823,24309,23891,23570,23570,22818
344-1,16S_Prey,51884,5286,4515,4447,4430,4430,4430
457-1,16S_Prey,100256,14510,13026,12851,12550,12550,12508
1274-1,16S_Prey,187418,159930,158735,157656,152401,152401,130613
342-1,16S_Prey,174173,150272,149144,146915,145317,145317,137694
489-1,16S_Prey,151436,46405,45177,44533,44385,44385,44328
489-2,16S_Prey,103781,32081,30942,30591,30480,30480,30444
81-1,16S_Prey,143686,104787,103610,101190,99797,99797,86950
81-2,16S_Prey,133131,61755,60507,59284,58331,58331,53296
848-1,16S_Prey,225161,22717,20533,20237,19250,19250,16661
848-2,16S_Prey,157627,33409,31792,31479,29444,29444,26705
848-3,16S_Prey,136634,57429,56095,55312,52290,52290,45963
998-1,16S_Prey,236874,4514,2111,1776,1695,1695,1695
998-2,16S_Prey,378583,138077,133722,131445,128732,128732,122884
998-3,16S_Prey,105256,49679,48844,48302,47909,47909,45054
60-1,16S_Prey,165985,132457,130345,130102,125902,125902,104811
60-2,16S_Prey,218136,189153,187234,184463,179168,179168,142869
61-1,16S_Prey,136492,51435,50244,49477,48176,48176,42822
61-2,16S_Prey,506681,430666,425455,419890,411673,411673,369115
61-3,16S_Prey,149962,107273,105856,103958,101929,101929,84118
Tilapia-1,16S_Prey,197111,182953,182424,181479,181169,181169,181169
Tilapia-2,16S_Prey,220621,204223,203741,202017,201792,201792,201792
70-2,16S_Prey,126305,78009,77203,76637,75104,75104,37523
283-1,16S_Prey,134403,104988,103913,101693,96884,96884,60707
