"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.198,4.234,15.9131,31.9712,15.9146,31.9788,4.0407,4.0417,1506.08,1506.08,1506.64,6.541,6.6028,0.2289,"",84.5665,47.397667,-124.773833,"2019-08-11","00:57:56.000000"
2,4.171,4.206,15.9139,31.9702,15.912,31.9787,4.0406,4.0414,1506.09,1506.08,1506.64,6.5409,6.6027,0.2289,"",84.9328,47.397667,-124.773833,"2019-08-11","00:57:56.041667"
3,4.166,4.201,15.9157,31.9688,15.9103,31.9786,4.0406,4.0412,1506.09,1506.08,1506.64,6.5407,6.6025,0.2289,"",85.0305,47.397667,-124.773833,"2019-08-11","00:57:56.083334"
4,4.203,4.238,15.9172,31.9675,15.9096,31.9791,4.0406,4.0412,1506.09,1506.09,1506.65,6.5406,6.6024,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.125001"
5,4.134,4.169,15.9172,31.968,15.9101,31.9794,4.0407,4.0413,1506.09,1506.09,1506.65,6.5405,6.5949,0.2289,"",84.9817,47.397667,-124.773833,"2019-08-11","00:57:56.166668"
6,4.198,4.234,15.9169,31.9686,15.9115,31.9787,4.0407,4.0414,1506.09,1506.09,1506.65,6.5406,6.6068,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.208335"
7,4.134,4.169,15.9165,31.9698,15.912,31.9788,4.0408,4.0414,1506.09,1506.09,1506.65,6.5405,6.595,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.250002"
8,4.198,4.234,15.9165,31.9705,15.9122,31.9779,4.0409,4.0413,1506.09,1506.09,1506.65,6.5406,6.5994,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.291669"
9,4.134,4.169,15.9164,31.9711,15.9111,31.9785,4.0409,4.0413,1506.09,1506.09,1506.65,6.532,6.5993,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.333336"
10,4.166,4.201,15.9169,31.9705,15.9108,31.979,4.0409,4.0413,1506.09,1506.09,1506.65,6.5373,6.5993,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.375003"
11,4.134,4.169,15.9174,31.9699,15.9113,31.9791,4.0409,4.0414,1506.1,1506.09,1506.65,6.5372,6.5992,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.416670"
12,4.166,4.201,15.9172,31.9707,15.911,31.979,4.041,4.0414,1506.1,1506.09,1506.65,6.5372,6.5993,0.2289,"",85.0061,47.397667,-124.773833,"2019-08-11","00:57:56.458337"
13,4.171,4.206,15.9169,31.9713,15.9096,31.9788,4.041,4.0412,1506.1,1506.09,1506.65,6.5372,6.5993,0.2289,"",90.4274,47.397667,-124.773833,"2019-08-11","00:57:56.500004"
14,4.129,4.164,15.9164,31.9718,15.9084,31.9789,4.041,4.0411,1506.09,1506.09,1506.65,6.5372,6.5993,0.2289,"",97.7534,47.397667,-124.773833,"2019-08-11","00:57:56.541671"
15,4.134,4.169,15.9158,31.972,15.9079,31.9792,4.041,4.0411,1506.09,1506.09,1506.65,6.5373,6.5994,0.2289,"",99.4383,47.397667,-124.773833,"2019-08-11","00:57:56.583338"
16,4.166,4.201,15.916,31.9722,15.9086,31.979,4.041,4.0411,1506.09,1506.09,1506.65,6.5373,6.5994,0.2289,"",99.243,47.397667,-124.773833,"2019-08-11","00:57:56.625005"
17,4.102,4.136,15.9153,31.9722,15.9089,31.9793,4.041,4.0412,1506.09,1506.08,1506.65,6.5373,6.5994,0.2289,"",98.9011,47.397667,-124.773833,"2019-08-11","00:57:56.666672"
18,4.129,4.164,15.9141,31.9729,15.9092,31.9793,4.041,4.0412,1506.09,1506.08,1506.64,6.5375,6.5922,0.2289,"",98.8523,47.397667,-124.773833,"2019-08-11","00:57:56.708339"
19,4.134,4.169,15.9133,31.9735,15.9089,31.9793,4.0409,4.0412,1506.09,1506.08,1506.64,6.5376,6.5967,0.2289,"",98.8767,47.397667,-124.773833,"2019-08-11","00:57:56.750006"
20,4.097,4.132,15.9126,31.9741,15.9091,31.9791,4.0409,4.0412,1506.08,1506.08,1506.64,6.5376,6.5967,0.2289,"",98.8767,47.397667,-124.773833,"2019-08-11","00:57:56.791673"
