"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.37,3.396,11.8784,33.8463,11.8499,33.8531,3.87,3.8681,1495.08,1495.05,1495.65,6.573,6.4609,4.5879,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.000000"
2,3.338,3.364,11.8801,33.8457,11.8439,33.8532,3.8701,3.8675,1495.08,1495.05,1495.66,6.5934,6.4785,4.5879,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.041667"
3,3.344,3.37,11.8793,33.8458,11.8383,33.8549,3.8701,3.8672,1495.08,1495.05,1495.65,6.5902,6.485,4.5879,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.083334"
4,3.381,3.408,11.8769,33.8467,11.839,33.8533,3.8699,3.8671,1495.07,1495.05,1495.65,6.594,6.4828,4.5879,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.125001"
5,3.37,3.396,11.8751,33.8471,11.8403,33.8527,3.8698,3.8671,1495.07,1495.04,1495.64,6.5977,6.4863,4.5879,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.166668"
6,3.338,3.364,11.8746,33.8464,11.8377,33.8523,3.8697,3.8668,1495.06,1495.04,1495.64,6.6116,6.4984,4.3925,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.208335"
7,3.333,3.359,11.8728,33.8476,11.8295,33.8511,3.8696,3.866,1495.06,1495.03,1495.63,6.6187,6.4961,4.1972,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.250002"
8,3.338,3.364,11.8741,33.8468,11.834,33.85,3.8697,3.8663,1495.06,1495.04,1495.64,6.6255,6.4991,4.1605,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.291669"
9,3.338,3.364,11.8759,33.8463,11.8516,33.8472,3.8698,3.8676,1495.07,1495.04,1495.64,6.6116,6.5021,4.1605,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.333336"
10,3.333,3.359,11.8771,33.8465,11.8657,33.8463,3.8699,3.8688,1495.07,1495.05,1495.65,6.632,6.5051,4.1727,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.375003"
11,3.306,3.332,11.8747,33.8483,11.8705,33.8476,3.8699,3.8694,1495.06,1495.04,1495.64,6.6289,6.5085,4.1727,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.416670"
12,3.333,3.359,11.8739,33.8482,11.8705,33.8491,3.8698,3.8696,1495.06,1495.04,1495.64,6.6325,6.5119,4.1727,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.458337"
13,3.306,3.332,11.8762,33.8475,11.8697,33.8495,3.8699,3.8695,1495.07,1495.04,1495.64,6.646,6.5237,4.1727,"",2.9792,40.732167,-124.488333,"2019-07-11","22:19:12.500004"
14,3.312,3.338,11.8774,33.8475,11.8647,33.8511,3.8701,3.8692,1495.07,1495.05,1495.65,6.6424,6.521,4.1727,"",2.9548,40.732167,-124.488333,"2019-07-11","22:19:12.541671"
15,3.349,3.375,11.8717,33.8492,11.8589,33.8523,3.8697,3.8688,1495.06,1495.03,1495.63,6.6467,6.516,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.583338"
16,3.301,3.327,11.8673,33.8491,11.8602,33.8498,3.8693,3.8687,1495.04,1495.01,1495.62,6.6611,6.5345,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.625005"
17,3.269,3.294,11.8634,33.8487,11.8634,33.8496,3.8689,3.869,1495.03,1495.0,1495.6,6.6583,6.5325,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.666672"
18,3.264,3.29,11.8517,33.853,11.872,33.8459,3.8682,3.8694,1494.99,1494.96,1495.57,6.6633,6.5372,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.708339"
19,3.306,3.332,11.8322,33.8583,11.8411,33.8593,3.8669,3.8679,1494.93,1494.9,1495.51,6.6592,6.543,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.750006"
20,3.264,3.29,11.8203,33.8587,11.8066,33.8683,3.8659,3.8656,1494.89,1494.86,1495.46,6.6816,6.5479,4.1727,"",2.9304,40.732167,-124.488333,"2019-07-11","22:19:12.791673"
21,3.269,3.294,11.8185,33.855,11.7922,33.8671,3.8653,3.8641,1494.88,1494.85,1495.45,6.6889,6.5515,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.833340"
22,3.269,3.294,11.8174,33.854,11.7815,33.8673,3.8651,3.8631,1494.87,1494.85,1495.45,6.6858,6.5549,4.1727,"",2.9304,40.732167,-124.488333,"2019-07-11","22:19:12.875007"
23,3.232,3.257,11.8128,33.8553,11.7719,33.8679,3.8648,3.8623,1494.86,1494.83,1495.43,6.6898,6.5587,4.1727,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:12.916674"
24,3.248,3.273,11.7895,33.8667,11.7705,33.8656,3.8638,3.8619,1494.79,1494.77,1495.37,6.6859,6.5648,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:12.958341"
25,3.264,3.29,11.7735,33.869,11.7642,33.868,3.8626,3.8616,1494.74,1494.71,1495.31,6.709,6.5702,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.000008"
26,3.237,3.262,11.7663,33.8668,11.7576,33.8721,3.8617,3.8614,1494.71,1494.69,1495.29,6.6963,6.5745,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.041675"
27,3.211,3.236,11.7591,33.8657,11.7549,33.8746,3.8609,3.8614,1494.69,1494.66,1495.26,6.7078,6.5698,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.083342"
28,3.237,3.262,11.7595,33.8609,11.7429,33.8806,3.8604,3.8609,1494.68,1494.66,1495.25,6.7218,6.579,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.125009"
29,3.2,3.225,11.759,33.8576,11.7342,33.8809,3.86,3.8601,1494.68,1494.65,1495.25,6.7186,6.5824,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.166676"
30,3.237,3.262,11.7508,33.8598,11.7335,33.8772,3.8595,3.8597,1494.65,1494.62,1495.22,6.7233,6.5867,4.1727,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.208343"
31,3.2,3.225,11.7437,33.8636,11.7343,33.8751,3.8592,3.8595,1494.63,1494.6,1495.2,6.7172,6.5818,4.1972,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.250010"
32,3.2,3.225,11.7447,33.8638,11.7338,33.8748,3.8593,3.8594,1494.63,1494.61,1495.21,6.7274,6.5996,4.2948,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.291677"
33,3.099,3.123,11.7479,33.8616,11.7337,33.8756,3.8594,3.8595,1494.64,1494.61,1495.21,6.7305,6.5965,4.3315,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.333344"
34,3.237,3.262,11.7401,33.8664,11.7409,33.8706,3.8592,3.8597,1494.62,1494.59,1495.19,6.7454,6.5918,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.375011"
35,3.2,3.225,11.7399,33.8648,11.7471,33.867,3.859,3.8599,1494.62,1494.59,1495.19,6.7525,6.6009,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.416678"
36,3.163,3.188,11.7486,33.8592,11.7491,33.8672,3.8592,3.8601,1494.64,1494.61,1495.21,6.7375,6.603,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.458345"
37,3.168,3.193,11.7521,33.8581,11.7521,33.8674,3.8594,3.8604,1494.65,1494.63,1495.22,6.7474,6.6057,4.3315,"",2.8816,40.732167,-124.488333,"2019-07-11","22:19:13.500012"
38,3.131,3.155,11.7478,33.8615,11.7565,33.8672,3.8594,3.8608,1494.64,1494.61,1495.21,6.741,6.6094,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.541679"
39,3.179,3.204,11.7461,33.8621,11.764,33.8639,3.8593,3.8611,1494.64,1494.61,1495.21,6.7517,6.6039,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.583346"
40,3.131,3.155,11.7464,33.8618,11.7668,33.8629,3.8593,3.8613,1494.64,1494.61,1495.21,6.7551,6.6128,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.625013"
41,3.136,3.16,11.7431,33.8631,11.7668,33.8639,3.8591,3.8614,1494.63,1494.6,1495.2,6.759,6.6164,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.666680"
42,3.131,3.155,11.7436,33.8611,11.7676,33.8636,3.859,3.8615,1494.63,1494.6,1495.2,6.7625,6.6196,4.3315,"",2.8571,40.732167,-124.488333,"2019-07-11","22:19:13.708347"
43,3.136,3.16,11.7464,33.8599,11.7676,33.8631,3.8591,3.8614,1494.63,1494.61,1495.21,6.7656,6.6225,4.3315,"",2.906,40.732167,-124.488333,"2019-07-11","22:19:13.750014"
44,3.131,3.155,11.7479,33.8595,11.7671,33.8632,3.8592,3.8614,1494.64,1494.61,1495.21,6.7585,6.6165,4.3315,"",2.9304,40.732167,-124.488333,"2019-07-11","22:19:13.791681"
45,3.099,3.123,11.7448,33.8616,11.7663,33.8639,3.8591,3.8614,1494.63,1494.6,1495.2,6.7692,6.6258,4.3315,"",2.9304,40.732167,-124.488333,"2019-07-11","22:19:13.833348"
46,3.099,3.123,11.7458,33.8606,11.7681,33.8628,3.8591,3.8614,1494.63,1494.61,1495.2,6.7622,6.6289,4.3315,"",2.9304,40.732167,-124.488333,"2019-07-11","22:19:13.875015"
