"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.18,3.206,10.625,33.1939,10.6633,33.1843,3.6886,3.6911,1489.91,1489.87,1490.39,5.9928,6.0666,17.6282,"",2.9792,45.063667,-124.0565,"2019-07-29","05:30:23.000000"
2,3.18,3.206,10.6152,33.2012,10.6635,33.1834,3.6884,3.691,1489.89,1489.85,1490.37,6.0049,6.0677,17.6282,"",3.0037,45.063667,-124.0565,"2019-07-29","05:30:23.041667"
3,3.175,3.201,10.6119,33.2006,10.6623,33.1838,3.688,3.6909,1489.87,1489.83,1490.36,6.009,6.0778,17.5305,"",3.0037,45.063667,-124.0565,"2019-07-29","05:30:23.083334"
4,3.212,3.239,10.6033,33.204,10.6611,33.1843,3.6876,3.6909,1489.85,1489.81,1490.33,6.0026,6.0726,17.4328,"",2.9792,45.063667,-124.0565,"2019-07-29","05:30:23.125001"
5,3.175,3.201,10.6014,33.202,10.6619,33.183,3.6872,3.6908,1489.84,1489.8,1490.32,6.014,6.0729,17.4084,"",3.0037,45.063667,-124.0565,"2019-07-29","05:30:23.166668"
6,3.148,3.174,10.5951,33.2036,10.6636,33.182,3.6868,3.6909,1489.82,1489.78,1490.3,6.0184,6.0833,17.4206,"",3.0281,45.063667,-124.0565,"2019-07-29","05:30:23.208335"
7,3.175,3.201,10.5956,33.1991,10.6649,33.18,3.6864,3.6908,1489.81,1489.77,1490.29,6.0221,6.0771,17.4206,"",3.0525,45.063667,-124.0565,"2019-07-29","05:30:23.250002"
8,3.148,3.174,10.5959,33.1967,10.6649,33.1807,3.6862,3.6909,1489.81,1489.77,1490.29,6.0146,6.0867,17.4206,"",3.0281,45.063667,-124.0565,"2019-07-29","05:30:23.291669"
9,3.175,3.201,10.5937,33.196,10.6651,33.1824,3.6859,3.691,1489.8,1489.76,1490.28,6.0149,6.0808,17.4206,"",3.0525,45.063667,-124.0565,"2019-07-29","05:30:23.333336"
10,3.148,3.174,10.5949,33.1929,10.6658,33.1825,3.6857,3.6911,1489.8,1489.76,1490.28,6.026,6.0807,17.4206,"",3.0769,45.063667,-124.0565,"2019-07-29","05:30:23.375003"
