"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.138,4.171,9.0422,33.8717,9.0459,33.8681,3.6108,3.6107,1485.03,1484.97,1485.47,3.9722,3.9907,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.000000"
2,4.138,4.171,9.0431,33.8708,9.0465,33.8675,3.6108,3.6107,1485.03,1484.97,1485.48,3.9722,3.9906,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.041667"
3,4.126,4.159,9.0446,33.8693,9.047,33.8675,3.6107,3.6108,1485.03,1484.98,1485.48,3.9721,3.9905,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.083334"
4,4.138,4.171,9.0461,33.8681,9.0472,33.8678,3.6108,3.6108,1485.04,1484.98,1485.48,3.972,3.9904,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.125001"
5,4.138,4.171,9.0477,33.8662,9.0473,33.8678,3.6107,3.6108,1485.04,1484.99,1485.49,3.9719,3.9903,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.166668"
6,4.101,4.134,9.0482,33.8659,9.0476,33.8676,3.6107,3.6109,1485.04,1484.99,1485.49,3.9839,3.9903,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.208335"
7,4.126,4.159,9.0474,33.8667,9.0475,33.868,3.6107,3.6109,1485.04,1484.99,1485.49,3.9636,3.9903,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.250002"
8,4.115,4.148,9.0463,33.8685,9.0471,33.8686,3.6108,3.6109,1485.04,1484.98,1485.48,3.9719,3.9904,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.291669"
9,4.138,4.171,9.047,33.8681,9.0467,33.8686,3.6108,3.6109,1485.04,1484.99,1485.49,3.9719,4.0007,1.2301,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.333336"
10,4.138,4.171,9.0485,33.8671,9.0467,33.8686,3.6109,3.6109,1485.05,1484.99,1485.49,3.9838,3.9936,1.2179,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.375003"
11,4.138,4.171,9.0495,33.866,9.0465,33.8685,3.6109,3.6108,1485.05,1484.99,1485.49,3.9634,3.9936,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.416670"
12,4.17,4.203,9.0497,33.8663,9.046,33.8682,3.6109,3.6108,1485.05,1484.99,1485.5,3.9717,3.9935,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.458337"
13,4.138,4.171,9.0493,33.8674,9.0459,33.8685,3.611,3.6108,1485.05,1484.99,1485.5,3.9717,4.0039,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.500004"
14,4.17,4.203,9.0487,33.8683,9.0457,33.8688,3.611,3.6108,1485.05,1484.99,1485.49,3.9838,3.997,1.2057,"",98.8767,42.064833,-124.5115,"2019-07-21","04:28:06.541671"
15,4.159,4.192,9.0467,33.8708,9.0459,33.8685,3.6111,3.6108,1485.04,1484.99,1485.49,3.9756,3.9971,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.583338"
16,4.17,4.203,9.0436,33.874,9.0459,33.8684,3.6111,3.6108,1485.04,1484.98,1485.48,3.9758,3.9973,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.625005"
17,4.207,4.24,9.0409,33.8764,9.0459,33.8684,3.6111,3.6108,1485.03,1484.97,1485.48,3.964,3.9975,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.666672"
18,4.207,4.24,9.0399,33.877,9.046,33.8687,3.611,3.6108,1485.03,1484.97,1485.47,3.9724,3.9976,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.708339"
19,4.202,4.236,9.0403,33.8751,9.046,33.8686,3.6109,3.6108,1485.03,1484.97,1485.47,3.9965,3.9976,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.750006"
20,4.239,4.273,9.0409,33.8734,9.0462,33.8687,3.6108,3.6108,1485.03,1484.97,1485.47,3.9678,3.9976,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.791673"
21,4.184,4.217,9.0403,33.8729,9.0463,33.8687,3.6107,3.6108,1485.02,1484.97,1485.47,3.9761,3.9977,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.833340"
22,4.271,4.305,9.0393,33.8736,9.0457,33.8693,3.6107,3.6109,1485.02,1484.97,1485.47,3.9763,4.0082,1.1935,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.875007"
23,4.239,4.273,9.0394,33.8734,9.0459,33.869,3.6107,3.6108,1485.02,1484.97,1485.47,3.9883,4.0012,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.916674"
24,4.303,4.338,9.0404,33.8722,9.0459,33.8689,3.6106,3.6108,1485.03,1484.97,1485.47,3.9799,3.9908,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:06.958341"
25,4.308,4.342,9.0427,33.8693,9.0455,33.8688,3.6106,3.6108,1485.03,1484.97,1485.48,3.9798,4.008,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.000008"
26,4.308,4.342,9.0456,33.8663,9.0451,33.8692,3.6106,3.6108,1485.04,1484.98,1485.48,3.9675,3.9904,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.041675"
27,4.303,4.338,9.0484,33.8642,9.0444,33.8698,3.6106,3.6108,1485.05,1484.99,1485.49,3.9877,4.0076,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.083342"
28,4.329,4.363,9.0502,33.8636,9.0436,33.8703,3.6107,3.6108,1485.05,1485.0,1485.5,3.9792,4.0005,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.125009"
29,4.372,4.407,9.0509,33.8642,9.0428,33.8703,3.6108,3.6107,1485.06,1485.0,1485.5,3.9671,4.0004,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.166676"
30,4.377,4.412,9.0515,33.8653,9.0421,33.8703,3.611,3.6106,1485.06,1485.0,1485.5,3.9874,4.0003,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.208343"
31,4.409,4.444,9.0507,33.8675,9.0418,33.8703,3.6111,3.6106,1485.06,1485.0,1485.5,3.9791,4.0004,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.250010"
32,4.409,4.444,9.0502,33.8688,9.0416,33.8704,3.6112,3.6106,1485.06,1485.0,1485.5,3.9671,4.0004,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.291677"
33,4.441,4.477,9.0509,33.8685,9.0414,33.87,3.6113,3.6105,1485.06,1485.01,1485.51,3.9754,4.0003,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.333344"
34,4.455,4.49,9.0515,33.868,9.0414,33.8696,3.6113,3.6105,1485.06,1485.01,1485.51,3.9753,4.0003,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.375011"
35,4.474,4.509,9.0523,33.8672,9.0419,33.8693,3.6113,3.6105,1485.07,1485.01,1485.51,3.9873,4.0002,1.2057,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.416678"
36,4.478,4.514,9.0525,33.8672,9.0423,33.8694,3.6113,3.6106,1485.07,1485.01,1485.51,3.979,4.0002,1.2179,"",98.9011,42.064833,-124.5115,"2019-07-21","04:28:07.458345"
37,4.531,4.567,9.053,33.8669,9.0432,33.8693,3.6113,3.6106,1485.07,1485.01,1485.51,3.979,4.0002,1.2179,"",72.1612,42.064833,-124.5115,"2019-07-21","04:28:07.500012"
38,4.499,4.534,9.0533,33.8671,9.0455,33.8683,3.6113,3.6107,1485.07,1485.01,1485.52,3.9789,4.0002,1.2179,"",28.8645,42.064833,-124.5115,"2019-07-21","04:28:07.541679"
39,4.568,4.604,9.0535,33.8676,9.0468,33.8679,3.6114,3.6108,1485.07,1485.02,1485.52,3.9789,4.0105,1.2179,"",17.4603,42.064833,-124.5115,"2019-07-21","04:28:07.583346"
40,4.575,4.611,9.0536,33.8673,9.0476,33.8683,3.6114,3.6109,1485.07,1485.02,1485.52,3.9669,3.9932,1.2179,"",19.0232,42.064833,-124.5115,"2019-07-21","04:28:07.625013"
41,4.611,4.648,9.0538,33.8679,9.048,33.8685,3.6115,3.611,1485.07,1485.02,1485.52,3.9872,4.0002,1.2179,"",20.8791,42.064833,-124.5115,"2019-07-21","04:28:07.666680"
42,4.6,4.636,9.0532,33.8687,9.0484,33.8685,3.6115,3.611,1485.07,1485.02,1485.52,3.9789,4.0002,1.2179,"",21.2698,42.064833,-124.5115,"2019-07-21","04:28:07.708347"
43,4.637,4.673,9.0528,33.8692,9.048,33.8688,3.6115,3.611,1485.07,1485.02,1485.52,3.991,4.0002,1.2179,"",21.1722,42.064833,-124.5115,"2019-07-21","04:28:07.750014"
44,4.669,4.706,9.0523,33.8698,9.048,33.8683,3.6115,3.611,1485.07,1485.02,1485.52,3.9707,4.0003,1.2179,"",21.0989,42.064833,-124.5115,"2019-07-21","04:28:07.791681"
