"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.833,3.865,12.1781,32.4396,12.1849,32.4663,3.7523,3.7557,1494.43,1494.4,1494.93,4.3603,4.4291,3.257,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.000000"
2,3.861,3.893,12.1768,32.4402,12.1834,32.4677,3.7523,3.7557,1494.43,1494.4,1494.93,4.3912,4.4469,3.2692,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.041667"
3,3.764,3.795,12.1766,32.4427,12.181,32.469,3.7525,3.7556,1494.43,1494.4,1494.93,4.3913,4.4621,3.2692,"",45.348,45.730667,-124.0065,"2019-08-06","09:05:43.083334"
4,3.861,3.893,12.1755,32.4414,12.1797,32.4685,3.7523,3.7555,1494.42,1494.39,1494.92,4.419,4.4719,3.2692,"",45.348,45.730667,-124.0065,"2019-08-06","09:05:43.125001"
5,3.833,3.865,12.1726,32.443,12.1791,32.4687,3.7522,3.7554,1494.42,1494.39,1494.92,4.4126,4.4817,3.2448,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.166668"
6,3.829,3.86,12.1697,32.4458,12.1792,32.4679,3.7522,3.7553,1494.41,1494.38,1494.91,4.4198,4.4915,3.0983,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.208335"
7,3.801,3.832,12.1632,32.4518,12.1787,32.4696,3.7522,3.7555,1494.39,1494.36,1494.89,4.4374,4.4927,3.0372,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.250002"
8,3.796,3.828,12.156,32.457,12.1761,32.4705,3.7521,3.7553,1494.38,1494.35,1494.87,4.4485,4.4996,3.025,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.291669"
9,3.801,3.832,12.1507,32.4593,12.1772,32.4676,3.7519,3.7551,1494.36,1494.33,1494.86,4.4491,4.5154,3.0372,"",45.348,45.730667,-124.0065,"2019-08-06","09:05:43.333336"
10,3.796,3.828,12.1492,32.4597,12.1766,32.468,3.7518,3.7551,1494.36,1494.33,1494.85,4.4562,4.534,3.0372,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.375003"
11,3.833,3.865,12.1478,32.4595,12.1761,32.4696,3.7516,3.7552,1494.35,1494.32,1494.85,4.4736,4.5292,3.0372,"",45.3236,45.730667,-124.0065,"2019-08-06","09:05:43.416670"
12,3.861,3.893,12.146,32.4586,12.1774,32.4692,3.7514,3.7553,1494.34,1494.31,1494.84,4.4843,4.5447,3.0372,"",45.348,45.730667,-124.0065,"2019-08-06","09:05:43.458337"
