"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.19,4.222,13.749,33.1355,13.7558,33.1347,3.9697,3.9702,1500.52,1500.51,1501.11,6.7433,6.6404,8.8492,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.000000"
2,4.158,4.189,13.7486,33.1354,13.7538,33.1365,3.9696,3.9702,1500.52,1500.51,1501.11,6.734,6.6404,8.8492,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.041667"
3,4.195,4.226,13.7493,33.1351,13.755,33.1353,3.9696,3.9702,1500.52,1500.51,1501.11,6.7494,6.6404,8.8614,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.083334"
4,4.19,4.222,13.7499,33.1346,13.7582,33.1337,3.9696,3.9703,1500.53,1500.51,1501.11,6.7433,6.6403,9.0201,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.125001"
5,4.158,4.189,13.7512,33.134,13.7607,33.1322,3.9697,3.9704,1500.53,1500.52,1501.12,6.7337,6.6401,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.166668"
6,4.158,4.189,13.753,33.1327,13.7622,33.1314,3.9697,3.9704,1500.53,1500.52,1501.12,6.7395,6.6399,9.13,"",98.8767,37.731,-123.163,"2019-06-28","02:23:07.208335"
7,4.158,4.189,13.7537,33.1323,13.7624,33.1314,3.9697,3.9705,1500.53,1500.52,1501.12,6.7394,6.6398,9.13,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.250002"
8,4.158,4.189,13.7544,33.1326,13.7627,33.1314,3.9698,3.9705,1500.54,1500.52,1501.13,6.7487,6.6397,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.291669"
9,4.158,4.189,13.7554,33.1327,13.7632,33.131,3.9699,3.9705,1500.54,1500.53,1501.13,6.7331,6.6396,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.333336"
10,4.115,4.146,13.7566,33.1316,13.7637,33.1309,3.9699,3.9705,1500.54,1500.53,1501.13,6.7484,6.6394,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.375003"
11,4.126,4.157,13.7582,33.1309,13.7642,33.1305,3.97,3.9705,1500.55,1500.53,1501.14,6.7422,6.6392,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.416670"
12,4.094,4.124,13.7586,33.1311,13.7651,33.1306,3.9701,3.9706,1500.55,1500.54,1501.14,6.7421,6.6391,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.458337"
13,4.126,4.157,13.7595,33.1303,13.7653,33.1303,3.9701,3.9706,1500.55,1500.54,1501.14,6.742,6.6391,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.500004"
14,4.126,4.157,13.76,33.1305,13.7644,33.1313,3.9701,3.9706,1500.55,1500.54,1501.14,6.7419,6.639,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.541671"
15,4.126,4.157,13.7599,33.13,13.7634,33.1315,3.9701,3.9706,1500.55,1500.54,1501.14,6.742,6.639,9.1178,"",98.8767,37.731,-123.163,"2019-06-28","02:23:07.583338"
16,4.094,4.124,13.761,33.1298,13.7622,33.1318,3.9701,3.9705,1500.55,1500.54,1501.14,6.7418,6.6307,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.625005"
17,4.094,4.124,13.7622,33.1291,13.7622,33.1318,3.9702,3.9705,1500.56,1500.54,1501.15,6.7417,6.6357,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.666672"
18,4.126,4.157,13.7622,33.1292,13.762,33.132,3.9702,3.9705,1500.56,1500.55,1501.15,6.7511,6.6438,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.708339"
19,4.094,4.124,13.7627,33.129,13.7626,33.1321,3.9702,3.9705,1500.56,1500.55,1501.15,6.7355,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.750006"
20,4.126,4.157,13.7627,33.1291,13.7632,33.1312,3.9702,3.9705,1500.56,1500.55,1501.15,6.7416,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.791673"
21,4.094,4.124,13.7629,33.1291,13.7634,33.1313,3.9702,3.9705,1500.56,1500.55,1501.15,6.7416,6.6386,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.833340"
22,4.089,4.12,13.762,33.1296,13.764,33.1312,3.9702,3.9706,1500.56,1500.54,1501.15,6.7416,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.875007"
23,4.094,4.124,13.7623,33.1293,13.7642,33.1314,3.9702,3.9706,1500.56,1500.55,1501.15,6.7416,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.916674"
24,4.126,4.157,13.7622,33.1293,13.7647,33.1311,3.9702,3.9706,1500.56,1500.55,1501.15,6.7323,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:07.958341"
25,4.089,4.12,13.7622,33.1294,13.7647,33.131,3.9702,3.9706,1500.56,1500.54,1501.15,6.7477,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.000008"
26,4.126,4.157,13.7622,33.1296,13.7647,33.1311,3.9702,3.9706,1500.56,1500.55,1501.15,6.7417,6.6387,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.041675"
27,4.089,4.12,13.7615,33.1298,13.7647,33.1311,3.9702,3.9706,1500.56,1500.54,1501.15,6.7417,6.6388,9.13,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.083342"
28,4.126,4.157,13.7606,33.1304,13.7647,33.1313,3.9702,3.9706,1500.55,1500.54,1501.14,6.7324,6.6389,9.1178,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.125009"
29,4.158,4.189,13.7607,33.1303,13.7649,33.1309,3.9702,3.9706,1500.56,1500.54,1501.14,6.7385,6.6389,9.0323,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.166676"
30,4.158,4.189,13.762,33.1294,13.7647,33.1311,3.9702,3.9706,1500.56,1500.55,1501.15,6.7478,6.6388,8.837,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.208343"
31,4.126,4.157,13.7632,33.1289,13.7649,33.1311,3.9703,3.9707,1500.56,1500.55,1501.15,6.7321,6.6468,8.7637,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.250010"
32,4.147,4.178,13.7644,33.1281,13.7649,33.1311,3.9703,3.9707,1500.56,1500.55,1501.15,6.7381,6.6334,8.7637,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.291677"
33,4.158,4.189,13.7649,33.1279,13.7649,33.1317,3.9703,3.9707,1500.57,1500.55,1501.16,6.7474,6.6466,8.7759,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.333344"
34,4.19,4.222,13.7652,33.1279,13.7649,33.1316,3.9703,3.9707,1500.57,1500.55,1501.16,6.732,6.6415,8.7759,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.375011"
35,4.195,4.226,13.7653,33.1277,13.7651,33.1309,3.9703,3.9706,1500.57,1500.55,1501.16,6.738,6.6415,8.7759,"",98.9011,37.731,-123.163,"2019-06-28","02:23:08.416678"
