"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.044,3.067,13.1517,33.7113,13.1561,33.7156,3.9752,3.976,1499.21,1499.2,1499.82,8.9374,8.8091,8.7637,"",4.2491,40.73,-124.373167,"2019-07-11","21:23:15.000000"
2,3.119,3.143,13.1522,33.7119,13.1637,33.7138,3.9753,3.9766,1499.22,1499.2,1499.82,8.947,8.8175,8.7637,"",4.3468,40.73,-124.373167,"2019-07-11","21:23:15.041667"
3,3.087,3.111,13.1571,33.7096,13.1715,33.7133,3.9755,3.9772,1499.23,1499.21,1499.84,8.9495,8.8114,8.7637,"",4.3712,40.73,-124.373167,"2019-07-11","21:23:15.083334"
4,3.082,3.106,13.1615,33.7095,13.1766,33.7144,3.9759,3.9778,1499.24,1499.23,1499.85,8.9521,8.8189,8.7637,"",4.3956,40.73,-124.373167,"2019-07-11","21:23:15.125001"
5,3.119,3.143,13.1692,33.7091,13.1844,33.7122,3.9766,3.9783,1499.27,1499.25,1499.88,8.9637,8.8122,8.7637,"",4.3956,40.73,-124.373167,"2019-07-11","21:23:15.166668"
6,3.082,3.106,13.1808,33.7054,13.1806,33.713,3.9773,3.9781,1499.3,1499.29,1499.91,8.9491,8.8102,8.7637,"",4.127,40.73,-124.373167,"2019-07-11","21:23:15.208335"
7,3.119,3.143,13.1827,33.7079,13.175,33.7133,3.9777,3.9776,1499.31,1499.3,1499.92,8.9583,8.8098,8.7637,"",3.6386,40.73,-124.373167,"2019-07-11","21:23:15.250002"
8,3.119,3.143,13.1824,33.7086,13.1682,33.7143,3.9778,3.977,1499.31,1499.3,1499.92,8.9617,8.8181,8.7637,"",3.5165,40.73,-124.373167,"2019-07-11","21:23:15.291669"
9,3.087,3.111,13.1808,33.7089,13.1638,33.7164,3.9776,3.9768,1499.31,1499.29,1499.92,8.946,8.8131,8.7637,"",3.5409,40.73,-124.373167,"2019-07-11","21:23:15.333336"
10,3.119,3.143,13.1821,33.7058,13.1649,33.7162,3.9774,3.9769,1499.31,1499.29,1499.92,8.9619,8.8215,8.7637,"",3.5409,40.73,-124.373167,"2019-07-11","21:23:15.375003"
11,3.119,3.143,13.177,33.7057,13.1648,33.7164,3.9769,3.9769,1499.29,1499.28,1499.9,8.9662,8.8088,8.9468,"",3.6386,40.73,-124.373167,"2019-07-11","21:23:15.416670"
