"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.348,3.374,10.4555,33.7589,10.4526,33.7615,3.7293,3.7293,1490.0,1489.96,1490.51,5.2267,5.1454,8.9591,"",1.685,38.396333,-123.449,"2019-07-03","19:06:48.000000"
2,3.385,3.411,10.4549,33.7593,10.4526,33.7618,3.7293,3.7293,1490.0,1489.95,1490.51,5.2268,5.1551,8.9591,"",1.685,38.396333,-123.449,"2019-07-03","19:06:48.041667"
3,3.449,3.476,10.455,33.759,10.4527,33.762,3.7293,3.7294,1490.0,1489.96,1490.51,5.2268,5.1489,8.9591,"",1.685,38.396333,-123.449,"2019-07-03","19:06:48.083334"
4,3.417,3.443,10.4551,33.759,10.4526,33.7618,3.7293,3.7293,1490.0,1489.96,1490.51,5.238,5.1488,8.9713,"",1.685,38.396333,-123.449,"2019-07-03","19:06:48.125001"
5,3.413,3.438,10.4552,33.7587,10.4526,33.7613,3.7293,3.7293,1490.0,1489.96,1490.51,5.2304,5.1488,8.9591,"",1.6117,38.396333,-123.449,"2019-07-03","19:06:48.166668"
6,3.385,3.411,10.4549,33.7589,10.4529,33.7615,3.7292,3.7293,1490.0,1489.95,1490.5,5.2304,5.1488,8.9591,"",1.5629,38.396333,-123.449,"2019-07-03","19:06:48.208335"
7,3.348,3.374,10.4553,33.7586,10.4529,33.7617,3.7292,3.7293,1490.0,1489.95,1490.51,5.2303,5.1392,8.9591,"",1.5629,38.396333,-123.449,"2019-07-03","19:06:48.250002"
8,3.385,3.411,10.4552,33.7586,10.4529,33.7616,3.7292,3.7293,1490.0,1489.96,1490.51,5.2415,5.1551,8.9591,"",1.5629,38.396333,-123.449,"2019-07-03","19:06:48.291669"
9,3.348,3.374,10.4553,33.7586,10.4529,33.7614,3.7292,3.7293,1490.0,1489.95,1490.51,5.2339,5.1488,8.9591,"",1.5873,38.396333,-123.449,"2019-07-03","19:06:48.333336"
10,3.348,3.374,10.4554,33.7587,10.4533,33.7611,3.7293,3.7293,1490.0,1489.96,1490.51,5.2228,5.1488,8.9591,"",1.6361,38.396333,-123.449,"2019-07-03","19:06:48.375003"
11,3.284,3.309,10.4554,33.7586,10.4534,33.7614,3.7293,3.7293,1490.0,1489.95,1490.5,5.2303,5.1487,8.8614,"",1.6361,38.396333,-123.449,"2019-07-03","19:06:48.416670"
12,3.311,3.337,10.4556,33.7583,10.4531,33.7616,3.7292,3.7293,1490.0,1489.95,1490.51,5.2414,5.1487,8.7271,"",1.6361,38.396333,-123.449,"2019-07-03","19:06:48.458337"
13,3.215,3.239,10.4552,33.7587,10.4529,33.7615,3.7292,3.7293,1489.99,1489.95,1490.5,5.2227,5.1487,8.6904,"",1.6361,38.396333,-123.449,"2019-07-03","19:06:48.500004"
14,3.178,3.202,10.4552,33.7588,10.4532,33.7614,3.7292,3.7293,1489.99,1489.95,1490.5,5.2414,5.1487,8.7026,"",1.6117,38.396333,-123.449,"2019-07-03","19:06:48.541671"
15,3.178,3.202,10.4556,33.7584,10.4528,33.7614,3.7292,3.7293,1489.99,1489.95,1490.5,5.2338,5.1486,8.7026,"",1.5629,38.396333,-123.449,"2019-07-03","19:06:48.583338"
