"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.114,3.137,13.9712,33.5052,13.971,33.5073,4.0301,4.0304,1501.67,1501.66,1502.28,6.4727,6.4131,4.2094,"",58.315,36.636333,-121.884667,"2019-06-16","06:09:58.000000"
2,3.098,3.121,13.9712,33.5055,13.9709,33.5074,4.0302,4.0304,1501.67,1501.66,1502.28,6.4819,6.4131,4.2094,"",58.315,36.636333,-121.884667,"2019-06-16","06:09:58.041667"
3,3.103,3.126,13.9712,33.5053,13.9709,33.5075,4.0302,4.0304,1501.67,1501.66,1502.28,6.476,6.4131,4.2094,"",58.315,36.636333,-121.884667,"2019-06-16","06:09:58.083334"
4,3.029,3.052,13.9712,33.5053,13.9707,33.5078,4.0302,4.0304,1501.67,1501.66,1502.28,6.4759,6.413,4.2094,"",58.3394,36.636333,-121.884667,"2019-06-16","06:09:58.125001"
5,3.045,3.068,13.9713,33.5053,13.9708,33.5074,4.0302,4.0303,1501.67,1501.66,1502.28,6.4666,6.413,4.2094,"",58.3394,36.636333,-121.884667,"2019-06-16","06:09:58.166668"
6,3.045,3.068,13.9712,33.5053,13.9705,33.5077,4.0302,4.0304,1501.67,1501.66,1502.28,6.4726,6.4131,4.2094,"",58.3394,36.636333,-121.884667,"2019-06-16","06:09:58.208335"
7,3.029,3.052,13.971,33.5055,13.9705,33.5076,4.0302,4.0303,1501.66,1501.66,1502.28,6.4726,6.4131,4.2094,"",58.3394,36.636333,-121.884667,"2019-06-16","06:09:58.250002"
8,2.954,2.976,13.9713,33.5052,13.9707,33.5072,4.0302,4.0303,1501.66,1501.65,1502.28,6.4818,6.413,4.2094,"",58.8523,36.636333,-121.884667,"2019-06-16","06:09:58.291669"
9,2.965,2.987,13.9712,33.5052,13.9703,33.5078,4.0301,4.0303,1501.66,1501.65,1502.28,6.4759,6.405,4.2094,"",59.2674,36.636333,-121.884667,"2019-06-16","06:09:58.333336"
10,2.965,2.987,13.9712,33.5048,13.9706,33.5075,4.0301,4.0303,1501.66,1501.65,1502.28,6.4759,6.41,4.2094,"",59.3162,36.636333,-121.884667,"2019-06-16","06:09:58.375003"
