"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,2.701,2.721,14.1411,33.5001,14.1432,33.5025,4.0456,4.046,1502.21,1502.2,1502.83,6.5026,6.4238,2.3779,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.000000"
2,2.738,2.758,14.1411,33.4997,14.1433,33.5026,4.0455,4.046,1502.21,1502.2,1502.83,6.5026,6.4238,2.3779,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.041667"
3,2.738,2.758,14.141,33.5,14.1425,33.5027,4.0455,4.046,1502.21,1502.2,1502.83,6.4934,6.4239,2.3901,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.083334"
4,2.706,2.726,14.1408,33.5,14.1421,33.5029,4.0455,4.046,1502.21,1502.2,1502.83,6.5085,6.4239,2.3901,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.125001"
5,2.738,2.758,14.1408,33.4999,14.1421,33.5027,4.0455,4.0459,1502.21,1502.2,1502.83,6.5119,6.4319,2.3779,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.166668"
6,2.738,2.758,14.1406,33.5003,14.1421,33.5026,4.0455,4.0459,1502.21,1502.2,1502.83,6.4968,6.4269,2.3534,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.208335"
7,2.727,2.747,14.1405,33.5003,14.1421,33.5031,4.0455,4.046,1502.2,1502.2,1502.83,6.5119,6.427,2.3046,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.250002"
8,2.695,2.715,14.1408,33.5001,14.142,33.5031,4.0455,4.046,1502.21,1502.2,1502.83,6.4967,6.4269,2.2802,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.291669"
9,2.775,2.796,14.1408,33.5002,14.1423,33.5029,4.0455,4.046,1502.21,1502.2,1502.83,6.5027,6.4269,2.2924,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.333336"
10,2.69,2.71,14.1408,33.5,14.1422,33.5034,4.0455,4.046,1502.2,1502.2,1502.83,6.5026,6.4269,2.2924,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.375003"
11,2.764,2.785,14.1413,33.5002,14.143,33.5026,4.0456,4.046,1502.21,1502.2,1502.83,6.5026,6.4269,2.2802,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.416670"
12,2.727,2.747,14.1411,33.5004,14.143,33.5028,4.0456,4.046,1502.21,1502.2,1502.83,6.5026,6.4269,2.2924,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.458337"
13,2.738,2.758,14.1413,33.5001,14.143,33.5023,4.0456,4.046,1502.21,1502.2,1502.83,6.5026,6.4269,2.2924,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.500004"
14,2.727,2.747,14.1411,33.5003,14.143,33.5027,4.0456,4.046,1502.21,1502.2,1502.83,6.5118,6.4269,2.2802,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.541671"
15,2.764,2.785,14.1413,33.5004,14.1429,33.5027,4.0456,4.046,1502.21,1502.2,1502.83,6.5059,6.4269,2.2924,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.583338"
16,2.738,2.758,14.1414,33.5004,14.143,33.502,4.0456,4.0459,1502.21,1502.2,1502.83,6.4967,6.4268,2.2802,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.625005"
17,2.738,2.758,14.1415,33.5003,14.1431,33.5022,4.0456,4.046,1502.21,1502.2,1502.83,6.5026,6.4268,2.2924,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.666672"
18,2.738,2.758,14.1415,33.5005,14.143,33.5022,4.0456,4.046,1502.21,1502.2,1502.83,6.5025,6.4268,2.2802,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:42.708339"
19,2.738,2.758,14.1415,33.5003,14.143,33.5024,4.0456,4.046,1502.21,1502.2,1502.83,6.5117,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:42.750006"
20,2.738,2.758,14.1415,33.5005,14.1431,33.5024,4.0456,4.046,1502.21,1502.2,1502.83,6.4967,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:42.791673"
21,2.738,2.758,14.1418,33.5003,14.1428,33.5029,4.0457,4.046,1502.21,1502.2,1502.83,6.5025,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:42.833340"
22,2.738,2.758,14.1418,33.5,14.143,33.5028,4.0456,4.046,1502.21,1502.2,1502.83,6.5117,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:42.875007"
23,2.701,2.721,14.1418,33.5,14.1433,33.5028,4.0456,4.0461,1502.21,1502.2,1502.83,6.4966,6.4268,2.2802,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:42.916674"
24,2.706,2.726,14.1418,33.5,14.1438,33.5025,4.0456,4.0461,1502.21,1502.2,1502.83,6.5025,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:42.958341"
25,2.727,2.747,14.1418,33.5,14.1441,33.5024,4.0456,4.0461,1502.21,1502.2,1502.83,6.5117,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.000008"
26,2.663,2.683,14.142,33.5001,14.1443,33.5023,4.0456,4.0461,1502.21,1502.2,1502.83,6.4965,6.4267,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.041675"
27,2.701,2.721,14.1418,33.5003,14.1443,33.5023,4.0457,4.0461,1502.21,1502.2,1502.83,6.5025,6.4267,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.083342"
28,2.706,2.726,14.1415,33.5001,14.1445,33.5024,4.0456,4.0461,1502.21,1502.2,1502.83,6.5025,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.125009"
29,2.626,2.645,14.1417,33.5001,14.1452,33.5022,4.0456,4.0462,1502.21,1502.2,1502.83,6.5024,6.4267,2.2802,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.166676"
30,2.701,2.721,14.1418,33.5,14.1456,33.5024,4.0456,4.0462,1502.21,1502.2,1502.83,6.5117,6.4268,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.208343"
31,2.626,2.645,14.1417,33.5004,14.1455,33.5024,4.0456,4.0462,1502.21,1502.2,1502.83,6.5057,6.4267,2.2924,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.250010"
32,2.669,2.689,14.1415,33.5007,14.1458,33.502,4.0457,4.0462,1502.21,1502.2,1502.83,6.4966,6.4268,2.3779,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.291677"
33,2.637,2.657,14.1418,33.4997,14.1458,33.5024,4.0456,4.0462,1502.21,1502.2,1502.83,6.5116,6.4267,2.4267,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.333344"
34,2.6,2.619,14.1413,33.5003,14.1456,33.5024,4.0456,4.0462,1502.21,1502.2,1502.83,6.5058,6.4267,2.4389,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.375011"
35,2.626,2.645,14.1418,33.5,14.1456,33.5024,4.0456,4.0462,1502.21,1502.2,1502.83,6.4965,6.4267,2.4389,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.416678"
36,2.589,2.608,14.1417,33.5002,14.1456,33.5025,4.0456,4.0462,1502.21,1502.2,1502.83,6.5024,6.4267,2.4267,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.458345"
37,2.626,2.645,14.1415,33.5001,14.1456,33.5023,4.0456,4.0462,1502.21,1502.2,1502.83,6.5025,6.4267,2.4267,"",4.6398,36.636167,-121.884667,"2019-06-16","13:33:43.500012"
38,2.6,2.619,14.1413,33.5004,14.1458,33.5021,4.0456,4.0462,1502.21,1502.2,1502.83,6.5025,6.4267,2.4267,"",4.6886,36.636167,-121.884667,"2019-06-16","13:33:43.541679"
39,2.594,2.613,14.141,33.5003,14.1455,33.5024,4.0456,4.0462,1502.2,1502.2,1502.82,6.5025,6.4268,2.4267,"",4.6886,36.636167,-121.884667,"2019-06-16","13:33:43.583346"
40,2.573,2.592,14.1411,33.5,14.1455,33.5028,4.0455,4.0463,1502.2,1502.2,1502.82,6.5025,6.4347,2.4267,"",4.6886,36.636167,-121.884667,"2019-06-16","13:33:43.625013"
41,2.557,2.576,14.1411,33.5002,14.1456,33.5027,4.0456,4.0462,1502.2,1502.2,1502.82,6.5116,6.4298,2.4267,"",4.6886,36.636167,-121.884667,"2019-06-16","13:33:43.666680"
42,2.562,2.581,14.1411,33.5004,14.1455,33.5029,4.0456,4.0463,1502.2,1502.2,1502.82,6.4966,6.4298,2.4267,"",4.6886,36.636167,-121.884667,"2019-06-16","13:33:43.708347"
43,2.568,2.587,14.1411,33.5004,14.1463,33.5024,4.0456,4.0463,1502.2,1502.2,1502.82,6.5025,6.4298,2.4267,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:43.750014"
44,2.536,2.555,14.141,33.5007,14.1467,33.5025,4.0456,4.0463,1502.2,1502.2,1502.82,6.5024,6.4298,2.4267,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:43.791681"
45,2.531,2.55,14.1413,33.5,14.1463,33.5021,4.0456,4.0463,1502.2,1502.2,1502.82,6.5024,6.4297,2.4267,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:43.833348"
46,2.525,2.544,14.1411,33.5003,14.1463,33.5022,4.0456,4.0463,1502.2,1502.2,1502.82,6.5024,6.4297,2.4267,"",4.6642,36.636167,-121.884667,"2019-06-16","13:33:43.875015"
