"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,2.523,2.541,13.8786,33.4574,13.8814,33.4604,4.0163,4.0169,1501.3,1501.29,1501.91,5.9066,5.8418,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.000000"
2,2.587,2.606,13.8786,33.458,13.8815,33.4598,4.0163,4.0168,1501.3,1501.29,1501.91,5.9066,5.8418,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.041667"
3,2.555,2.574,13.8787,33.4577,13.8815,33.4598,4.0163,4.0168,1501.3,1501.29,1501.91,5.8973,5.8337,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.083334"
4,2.518,2.537,13.8786,33.4574,13.8813,33.4595,4.0163,4.0168,1501.3,1501.29,1501.91,5.9033,5.8388,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.125001"
5,2.491,2.509,13.878,33.4578,13.8803,33.4595,4.0163,4.0167,1501.3,1501.29,1501.91,5.9126,5.8388,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.166668"
6,2.486,2.504,13.8776,33.4577,13.8788,33.4599,4.0162,4.0166,1501.29,1501.28,1501.91,5.9067,5.8388,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.208335"
7,2.555,2.574,13.8776,33.4578,13.8773,33.4604,4.0162,4.0165,1501.3,1501.29,1501.91,5.9067,5.847,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.250002"
8,2.518,2.537,13.878,33.4575,13.8766,33.4603,4.0162,4.0164,1501.3,1501.29,1501.91,5.8973,5.8338,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.291669"
9,2.491,2.509,13.878,33.4577,13.8763,33.4605,4.0163,4.0164,1501.3,1501.29,1501.91,5.9033,5.8388,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.333336"
10,2.449,2.467,13.878,33.4573,13.876,33.4605,4.0162,4.0164,1501.3,1501.29,1501.91,5.9126,5.8388,3.2692,"",4.6398,36.397333,-121.924833,"2019-06-23","19:52:43.375003"
