"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.595,3.622,9.0932,33.9358,9.0917,33.9385,3.6215,3.6217,1485.29,1485.23,1485.74,2.3558,2.3452,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.000000"
2,3.611,3.638,9.093,33.9362,9.0917,33.9385,3.6216,3.6217,1485.29,1485.23,1485.74,2.3558,2.3453,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.041667"
3,3.551,3.578,9.0931,33.9358,9.0919,33.9386,3.6215,3.6217,1485.29,1485.23,1485.74,2.3558,2.3452,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.083334"
4,3.595,3.622,9.093,33.9354,9.0919,33.9379,3.6215,3.6216,1485.29,1485.23,1485.74,2.3558,2.3453,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.125001"
5,3.574,3.601,9.0929,33.9358,9.0919,33.9381,3.6215,3.6216,1485.29,1485.23,1485.74,2.3558,2.3453,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.166668"
6,3.562,3.589,9.0928,33.9359,9.0917,33.9385,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3453,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.208335"
7,3.562,3.589,9.0927,33.9363,9.092,33.9382,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3453,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.250002"
8,3.551,3.578,9.0927,33.9361,9.0919,33.9383,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3453,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.291669"
9,3.574,3.601,9.0926,33.9361,9.092,33.9382,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3453,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.333336"
10,3.53,3.557,9.0927,33.936,9.0919,33.9381,3.6215,3.6216,1485.28,1485.23,1485.74,2.3558,2.3556,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.375003"
11,3.562,3.589,9.0927,33.936,9.092,33.9381,3.6215,3.6216,1485.28,1485.23,1485.74,2.3558,2.3383,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.416670"
12,3.574,3.601,9.093,33.9358,9.092,33.9382,3.6215,3.6217,1485.29,1485.23,1485.74,2.3558,2.3453,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.458337"
13,3.542,3.568,9.0926,33.9361,9.0921,33.9384,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3453,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.500004"
14,3.498,3.525,9.0926,33.9361,9.092,33.9386,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3452,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.541671"
15,3.562,3.589,9.0929,33.9358,9.0922,33.9382,3.6215,3.6217,1485.28,1485.23,1485.74,2.3558,2.3349,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.583338"
16,3.53,3.557,9.0929,33.9358,9.092,33.9385,3.6215,3.6217,1485.28,1485.23,1485.74,2.3678,2.3418,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.625005"
17,3.542,3.568,9.0926,33.9358,9.092,33.9383,3.6215,3.6217,1485.28,1485.23,1485.74,2.3355,2.3419,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.666672"
18,3.542,3.568,9.0926,33.9358,9.0922,33.9383,3.6215,3.6217,1485.28,1485.23,1485.74,2.3521,2.3522,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.708339"
19,3.509,3.536,9.0926,33.9358,9.0919,33.9382,3.6215,3.6216,1485.28,1485.23,1485.73,2.3521,2.3453,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.750006"
20,3.519,3.545,9.0926,33.936,9.0917,33.9382,3.6215,3.6216,1485.28,1485.23,1485.74,2.3641,2.3349,0.3266,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.791673"
21,3.53,3.557,9.0926,33.9359,9.0919,33.938,3.6215,3.6216,1485.28,1485.23,1485.74,2.3558,2.3522,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.833340"
22,3.482,3.508,9.0927,33.9357,9.0919,33.9383,3.6215,3.6217,1485.28,1485.23,1485.73,2.3438,2.3349,0.3144,"",98.9011,38.563833,-123.349833,"2019-07-03","23:23:30.875007"
