"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.622,4.659,9.261,33.8636,9.2613,33.8615,3.63,3.6298,1485.83,1485.78,1486.29,4.3614,4.3533,1.5476,"",1.978,42.064333,-124.5975,"2019-07-21","03:26:36.000000"
2,4.59,4.626,9.2612,33.8631,9.2613,33.8614,3.63,3.6298,1485.83,1485.78,1486.29,4.3495,4.3635,1.5476,"",2.0513,42.064333,-124.5975,"2019-07-21","03:26:36.041667"
3,4.627,4.664,9.261,33.8633,9.2611,33.8613,3.63,3.6298,1485.83,1485.78,1486.29,4.3696,4.3567,1.5476,"",2.1001,42.064333,-124.5975,"2019-07-21","03:26:36.083334"
4,4.59,4.626,9.2609,33.8637,9.2613,33.861,3.63,3.6298,1485.83,1485.78,1486.29,4.3614,4.3464,1.5476,"",2.1245,42.064333,-124.5975,"2019-07-21","03:26:36.125001"
5,4.627,4.664,9.261,33.8632,9.2611,33.8614,3.63,3.6298,1485.83,1485.78,1486.29,4.3614,4.3533,1.5476,"",2.1245,42.064333,-124.5975,"2019-07-21","03:26:36.166668"
6,4.59,4.626,9.2613,33.863,9.2613,33.8612,3.63,3.6298,1485.83,1485.78,1486.29,4.3495,4.3532,1.5476,"",2.1245,42.064333,-124.5975,"2019-07-21","03:26:36.208335"
7,4.627,4.664,9.2612,33.8634,9.2611,33.8611,3.63,3.6298,1485.83,1485.78,1486.29,4.3577,4.343,1.5476,"",2.149,42.064333,-124.5975,"2019-07-21","03:26:36.250002"
8,4.59,4.626,9.2609,33.8636,9.2613,33.8612,3.63,3.6298,1485.83,1485.78,1486.29,4.3815,4.3601,1.5476,"",2.1734,42.064333,-124.5975,"2019-07-21","03:26:36.291669"
9,4.59,4.626,9.2613,33.8631,9.2614,33.8609,3.63,3.6298,1485.83,1485.78,1486.29,4.3532,4.3532,1.5476,"",2.1734,42.064333,-124.5975,"2019-07-21","03:26:36.333336"
10,4.627,4.664,9.2613,33.8631,9.2614,33.8611,3.63,3.6298,1485.83,1485.78,1486.29,4.3614,4.3532,1.5476,"",2.1734,42.064333,-124.5975,"2019-07-21","03:26:36.375003"
11,4.558,4.594,9.2613,33.8633,9.2614,33.8609,3.63,3.6298,1485.83,1485.78,1486.29,4.3614,4.3532,1.5476,"",2.1734,42.064333,-124.5975,"2019-07-21","03:26:36.416670"
