"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.552,3.581,16.1579,31.9782,16.1507,31.9867,4.0638,4.0641,1506.84,1506.84,1507.4,6.2802,6.3426,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.000000"
2,3.444,3.473,16.1581,31.9786,16.1508,31.9867,4.0639,4.0641,1506.84,1506.83,1507.4,6.28,6.3425,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.041667"
3,3.552,3.581,16.1582,31.9788,16.1513,31.9869,4.0639,4.0642,1506.84,1506.84,1507.4,6.2801,6.3425,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.083334"
4,3.487,3.516,16.1584,31.9791,16.1516,31.9869,4.064,4.0643,1506.84,1506.84,1507.4,6.28,6.3424,1.0592,"",98.9011,46.729833,-124.7125,"2019-08-09","00:52:57.125001"
5,3.483,3.512,16.1582,31.9789,16.1523,31.9865,4.064,4.0643,1506.84,1506.84,1507.4,6.2717,6.3425,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.166668"
6,3.487,3.516,16.1583,31.979,16.1524,31.9868,4.064,4.0643,1506.84,1506.84,1507.4,6.2768,6.3425,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.208335"
7,3.508,3.538,16.1586,31.979,16.1526,31.9868,4.064,4.0643,1506.84,1506.84,1507.4,6.2768,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.250002"
8,3.487,3.516,16.1587,31.9792,16.1521,31.987,4.064,4.0643,1506.84,1506.84,1507.4,6.2768,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.291669"
9,3.472,3.501,16.1588,31.9793,16.1523,31.9871,4.064,4.0643,1506.84,1506.84,1507.4,6.2767,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.333336"
10,3.487,3.516,16.1591,31.9791,16.1528,31.9868,4.064,4.0644,1506.84,1506.84,1507.4,6.2851,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.375003"
11,3.407,3.436,16.1591,31.9793,16.1535,31.9872,4.0641,4.0645,1506.84,1506.84,1507.4,6.2715,6.3496,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.416670"
12,3.552,3.581,16.1588,31.9795,16.154,31.9874,4.0641,4.0645,1506.85,1506.84,1507.4,6.2768,6.3381,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.458337"
13,3.455,3.484,16.1586,31.98,16.1548,31.9874,4.0641,4.0646,1506.84,1506.84,1507.4,6.2851,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.500004"
14,3.472,3.501,16.1586,31.9803,16.156,31.9867,4.0641,4.0646,1506.84,1506.84,1507.4,6.2716,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.541671"
15,3.487,3.516,16.1585,31.9807,16.1564,31.9869,4.0642,4.0647,1506.84,1506.84,1507.4,6.2851,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.583338"
16,3.483,3.512,16.1582,31.9807,16.156,31.987,4.0642,4.0647,1506.84,1506.84,1507.4,6.28,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.625005"
17,3.476,3.505,16.1581,31.9806,16.1555,31.9872,4.0641,4.0646,1506.84,1506.84,1507.4,6.28,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.666672"
18,3.428,3.457,16.1581,31.9807,16.1554,31.9871,4.0641,4.0646,1506.84,1506.84,1507.4,6.28,6.3424,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.708339"
19,3.444,3.473,16.1581,31.9808,16.155,31.9868,4.0641,4.0646,1506.84,1506.84,1507.4,6.2884,6.3497,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.750006"
20,3.483,3.512,16.1575,31.9812,16.1538,31.9871,4.0641,4.0645,1506.84,1506.84,1507.4,6.2749,6.3381,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.791673"
21,3.444,3.473,16.1578,31.9808,16.1538,31.9869,4.0641,4.0645,1506.84,1506.84,1507.4,6.2884,6.3497,1.0592,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.833340"
22,3.44,3.468,16.1577,31.9808,16.155,31.9866,4.0641,4.0645,1506.84,1506.84,1507.4,6.2748,6.3381,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.875007"
23,3.487,3.516,16.1577,31.9808,16.1557,31.9868,4.0641,4.0646,1506.84,1506.84,1507.4,6.28,6.3425,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.916674"
24,3.444,3.473,16.1576,31.9811,16.1567,31.9862,4.0641,4.0646,1506.84,1506.84,1507.4,6.28,6.3424,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:57.958341"
25,3.418,3.447,16.1572,31.981,16.1559,31.9862,4.0641,4.0646,1506.84,1506.83,1507.4,6.2884,6.3498,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:58.000008"
26,3.455,3.484,16.1574,31.9807,16.155,31.9865,4.0641,4.0645,1506.84,1506.83,1507.4,6.2833,6.3454,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:58.041675"
27,3.428,3.457,16.1573,31.9813,16.154,31.9875,4.0641,4.0645,1506.84,1506.83,1507.4,6.2833,6.3454,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:58.083342"
28,3.444,3.473,16.1574,31.9809,16.1543,31.987,4.0641,4.0645,1506.84,1506.83,1507.4,6.2833,6.3454,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:58.125009"
29,3.451,3.479,16.1572,31.9811,16.1538,31.9868,4.0641,4.0644,1506.84,1506.83,1507.4,6.2917,6.3454,1.0714,"",98.8767,46.729833,-124.7125,"2019-08-09","00:52:58.166676"
