"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.555,3.583,10.8835,33.1614,10.9135,33.1414,3.7088,3.7095,1490.79,1490.76,1491.29,5.4882,5.518,2.1825,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.000000"
2,3.583,3.611,10.8863,33.1592,10.9144,33.1407,3.7089,3.7095,1490.8,1490.76,1491.29,5.4879,5.5178,2.1825,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.041667"
3,3.555,3.583,10.888,33.1581,10.9119,33.1431,3.7089,3.7096,1490.81,1490.77,1491.3,5.4877,5.5176,2.1825,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.083334"
4,3.583,3.611,10.889,33.158,10.9061,33.1478,3.709,3.7095,1490.81,1490.77,1491.3,5.4985,5.5175,2.1825,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.125001"
5,3.555,3.583,10.8904,33.1575,10.9058,33.1479,3.7091,3.7095,1490.81,1490.78,1491.31,5.491,5.5173,2.1825,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.166668"
6,3.518,3.546,10.8911,33.1573,10.9112,33.143,3.7091,3.7095,1490.82,1490.78,1491.31,5.48,5.5172,2.1581,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.208335"
7,3.555,3.583,10.8941,33.1549,10.9158,33.1392,3.7091,3.7095,1490.82,1490.78,1491.31,5.498,5.5169,2.1337,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.250002"
8,3.518,3.546,10.8964,33.1526,10.918,33.1374,3.7091,3.7095,1490.83,1490.79,1491.32,5.5013,5.5167,2.1215,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.291669"
9,3.55,3.579,10.8958,33.1532,10.9191,33.1366,3.7091,3.7096,1490.83,1490.79,1491.32,5.4941,5.5168,2.1215,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.333336"
10,3.518,3.546,10.8954,33.1537,10.9205,33.1357,3.7091,3.7096,1490.83,1490.79,1491.32,5.4941,5.5168,2.1215,"",98.8767,42.399,-125.284167,"2019-07-22","03:28:39.375003"
