"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.1,4.134,16.7054,31.806,16.5645,31.8793,4.0943,4.0898,1508.33,1508.33,1508.88,5.9426,5.843,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.000000"
2,4.126,4.16,16.7324,31.7884,16.5548,31.8807,4.0947,4.0891,1508.4,1508.39,1508.94,5.9319,5.8406,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.041667"
3,4.09,4.123,16.749,31.7842,16.5553,31.8803,4.0957,4.0891,1508.44,1508.44,1508.99,5.9432,5.8459,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.083334"
4,4.154,4.188,16.7584,31.7882,16.5675,31.8745,4.0971,4.0895,1508.48,1508.47,1509.02,5.9452,5.8405,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.125001"
5,4.174,4.208,16.7642,31.7961,16.5956,31.864,4.0985,4.0909,1508.5,1508.5,1509.05,5.9393,5.8396,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.166668"
6,4.154,4.188,16.7674,31.8055,16.643,31.8515,4.0999,4.0938,1508.52,1508.52,1509.07,5.9467,5.846,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.208335"
7,4.153,4.186,16.7676,31.815,16.6843,31.85,4.101,4.0974,1508.54,1508.53,1509.08,5.9414,5.8414,0.3632,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.250002"
8,4.191,4.225,16.7614,31.8256,16.6823,31.8736,4.1017,4.0999,1508.53,1508.52,1509.08,5.9417,5.8489,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.291669"
9,4.195,4.229,16.741,31.8465,16.6625,31.8888,4.1022,4.0999,1508.49,1508.49,1509.04,5.9434,5.8463,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.333336"
10,4.18,4.214,16.6868,31.8907,16.6554,31.8822,4.1023,4.0985,1508.38,1508.37,1508.93,5.9481,5.851,0.351,"",98.8767,44.23,-124.885667,"2019-07-27","00:09:40.375003"
