"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.75,3.781,16.8099,32.1707,16.8197,32.1727,4.146,4.1471,1509.06,1509.06,1509.63,5.7302,5.7219,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.000000"
2,3.709,3.74,16.8097,32.1708,16.8099,32.18,4.1459,4.147,1509.06,1509.06,1509.63,5.7302,5.7219,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.041667"
3,3.713,3.744,16.8097,32.1707,16.8007,32.1829,4.1459,4.1465,1509.06,1509.06,1509.63,5.7302,5.7219,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.083334"
4,3.644,3.675,16.81,32.1707,16.8028,32.1757,4.146,4.1459,1509.06,1509.06,1509.63,5.7301,5.7218,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.125001"
5,3.713,3.744,16.8107,32.1697,16.8026,32.1741,4.1459,4.1457,1509.07,1509.06,1509.63,5.7382,5.7147,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.166668"
6,3.677,3.707,16.8104,32.1701,16.7991,32.1765,4.1459,4.1456,1509.06,1509.06,1509.63,5.7332,5.7189,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.208335"
7,3.602,3.632,16.8106,32.1701,16.805,32.1714,4.1459,4.1456,1509.06,1509.06,1509.63,5.7413,5.7188,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.250002"
8,3.677,3.707,16.8111,32.1698,16.8048,32.1728,4.146,4.1457,1509.07,1509.06,1509.63,5.7363,5.7188,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.291669"
9,3.612,3.642,16.8116,32.1691,16.7928,32.1827,4.1459,4.1458,1509.07,1509.06,1509.63,5.7281,5.7187,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.333336"
10,3.608,3.638,16.8125,32.1685,16.7849,32.1844,4.1459,4.1452,1509.07,1509.06,1509.64,5.733,5.7187,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.375003"
11,3.612,3.642,16.8133,32.1677,16.7869,32.1767,4.1459,4.1445,1509.07,1509.07,1509.64,5.7411,5.7186,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.416670"
12,3.608,3.638,16.8137,32.1682,16.7885,32.1728,4.146,4.1442,1509.07,1509.07,1509.64,5.7361,5.7185,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.458337"
13,3.602,3.632,16.8137,32.1685,16.7829,32.1775,4.1461,4.1442,1509.07,1509.07,1509.64,5.736,5.7256,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.500004"
14,3.543,3.573,16.8125,32.1704,16.7799,32.1782,4.1462,4.144,1509.07,1509.07,1509.64,5.7361,5.7144,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.541671"
15,3.575,3.605,16.8107,32.1724,16.7832,32.1735,4.1462,4.1438,1509.07,1509.06,1509.63,5.7362,5.7258,0.4975,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.583338"
16,3.58,3.61,16.8102,32.1731,16.7924,32.1671,4.1463,4.1439,1509.07,1509.06,1509.63,5.7363,5.7216,0.5097,"",98.8767,46.394833,-124.550667,"2019-08-07","22:48:08.625005"
