"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.632,3.663,13.5584,30.2384,13.6009,30.2234,3.64,3.642,1496.48,1496.45,1496.9,4.3074,3.6533,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.000000"
2,3.697,3.728,13.5571,30.24,13.6013,30.2238,3.6401,3.6421,1496.48,1496.45,1496.89,4.2978,3.6534,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.041667"
3,3.669,3.7,13.5571,30.24,13.6016,30.224,3.6401,3.6422,1496.48,1496.45,1496.89,4.3137,3.6534,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.083334"
4,3.697,3.728,13.5581,30.2392,13.6046,30.2227,3.6401,3.6423,1496.48,1496.45,1496.9,4.3074,3.6534,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.125001"
5,3.669,3.7,13.5571,30.24,13.6058,30.2235,3.6401,3.6425,1496.48,1496.45,1496.89,4.3075,3.6618,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.166668"
6,3.697,3.728,13.556,30.2406,13.6155,30.2169,3.6401,3.6426,1496.47,1496.44,1496.89,4.3076,3.6567,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.208335"
7,3.68,3.711,13.5551,30.2413,13.6199,30.2139,3.6401,3.6426,1496.47,1496.44,1496.89,4.3076,3.6567,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.250002"
8,3.632,3.663,13.5544,30.242,13.6164,30.2169,3.6401,3.6427,1496.47,1496.44,1496.89,4.3076,3.6567,1.4987,"",40.9524,47.6245,-122.4005,"2019-08-20","04:29:52.291669"
9,3.776,3.808,13.5544,30.2416,13.6161,30.2168,3.64,3.6426,1496.47,1496.44,1496.89,4.3077,3.6568,1.4987,"",40.6593,47.6245,-122.4005,"2019-08-20","04:29:52.333336"
10,3.632,3.663,13.5545,30.2417,13.6103,30.2201,3.64,3.6425,1496.47,1496.44,1496.89,4.3173,3.6567,1.4987,"",28.4737,47.6245,-122.4005,"2019-08-20","04:29:52.375003"
11,3.697,3.728,13.5552,30.2407,13.6052,30.223,3.64,3.6424,1496.47,1496.44,1496.89,4.3111,3.6567,1.4987,"",20.8303,47.6245,-122.4005,"2019-08-20","04:29:52.416670"
12,3.68,3.711,13.5563,30.24,13.6065,30.2218,3.64,3.6424,1496.47,1496.44,1496.89,4.3013,3.6566,1.4987,"",19.9267,47.6245,-122.4005,"2019-08-20","04:29:52.458337"
