"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.779,3.808,15.2695,33.1339,15.2851,33.1358,4.1115,4.1132,1505.41,1505.4,1506.02,5.878,5.8145,1.3156,"",2.0024,37.064333,-122.669833,"2019-06-26","00:30:48.000000"
2,3.779,3.808,15.2696,33.1339,15.2853,33.1355,4.1115,4.1132,1505.41,1505.4,1506.02,5.8867,5.8069,1.3156,"",1.9048,37.064333,-122.669833,"2019-06-26","00:30:48.041667"
3,3.779,3.808,15.2698,33.1341,15.2852,33.1357,4.1116,4.1132,1505.41,1505.4,1506.02,5.8725,5.8115,1.3156,"",1.9048,37.064333,-122.669833,"2019-06-26","00:30:48.083334"
4,3.747,3.775,15.2698,33.1343,15.2853,33.1352,4.1116,4.1131,1505.41,1505.4,1506.02,5.8867,5.819,1.3156,"",1.9292,37.064333,-122.669833,"2019-06-26","00:30:48.125001"
5,3.731,3.759,15.2698,33.1338,15.2849,33.1357,4.1115,4.1132,1505.41,1505.4,1506.02,5.8725,5.8144,1.3156,"",1.9048,37.064333,-122.669833,"2019-06-26","00:30:48.166668"
6,3.768,3.796,15.2703,33.1337,15.2849,33.1355,4.1116,4.1131,1505.41,1505.4,1506.02,5.8779,5.8144,1.3156,"",1.8803,37.064333,-122.669833,"2019-06-26","00:30:48.208335"
7,3.743,3.771,15.2705,33.1342,15.285,33.1354,4.1116,4.1131,1505.41,1505.41,1506.02,5.8779,5.8143,1.3156,"",1.8559,37.064333,-122.669833,"2019-06-26","00:30:48.250002"
8,3.747,3.775,15.2717,33.1339,15.2848,33.136,4.1117,4.1132,1505.41,1505.41,1506.03,5.8778,5.8142,1.3156,"",1.8559,37.064333,-122.669833,"2019-06-26","00:30:48.291669"
9,3.747,3.775,15.2717,33.1341,15.2848,33.1355,4.1117,4.1131,1505.41,1505.41,1506.03,5.8778,5.8066,1.3156,"",1.8803,37.064333,-122.669833,"2019-06-26","00:30:48.333336"
10,3.743,3.771,15.2721,33.134,15.2848,33.1352,4.1118,4.1131,1505.41,1505.41,1506.03,5.8951,5.8187,1.3278,"",2.0024,37.064333,-122.669833,"2019-06-26","00:30:48.375003"
11,3.747,3.775,15.2727,33.1335,15.2844,33.1357,4.1118,4.1131,1505.42,1505.41,1506.03,5.8754,5.8141,1.3644,"",2.4664,37.064333,-122.669833,"2019-06-26","00:30:48.416670"
12,3.71,3.738,15.2729,33.1338,15.2843,33.1357,4.1118,4.1131,1505.42,1505.41,1506.03,5.8808,5.814,1.3644,"",2.6374,37.064333,-122.669833,"2019-06-26","00:30:48.458337"
13,3.736,3.764,15.2734,33.1336,15.2841,33.1358,4.1118,4.1131,1505.42,1505.41,1506.03,5.8808,5.814,1.3644,"",2.6129,37.064333,-122.669833,"2019-06-26","00:30:48.500004"
14,3.71,3.738,15.2739,33.1332,15.2841,33.1356,4.1118,4.1131,1505.42,1505.41,1506.03,5.872,5.8139,1.3644,"",2.5885,37.064333,-122.669833,"2019-06-26","00:30:48.541671"
15,3.678,3.706,15.2743,33.1333,15.2834,33.1359,4.1119,4.113,1505.42,1505.41,1506.03,5.8861,5.8063,1.3644,"",2.3932,37.064333,-122.669833,"2019-06-26","00:30:48.583338"
16,3.71,3.738,15.2753,33.1331,15.2833,33.1361,4.112,4.113,1505.42,1505.42,1506.04,5.8806,5.8184,1.3644,"",2.1734,37.064333,-122.669833,"2019-06-26","00:30:48.625005"
17,3.71,3.738,15.2764,33.1328,15.2843,33.1358,4.112,4.1131,1505.43,1505.42,1506.04,5.8805,5.8061,1.3644,"",2.1001,37.064333,-122.669833,"2019-06-26","00:30:48.666672"
18,3.678,3.706,15.2767,33.1327,15.2884,33.1345,4.112,4.1133,1505.43,1505.42,1506.04,5.8804,5.8182,1.3766,"",2.1245,37.064333,-122.669833,"2019-06-26","00:30:48.708339"
19,3.674,3.701,15.2775,33.1325,15.2902,33.1343,4.1121,4.1135,1505.43,1505.42,1506.04,5.8803,5.8135,1.3644,"",2.1245,37.064333,-122.669833,"2019-06-26","00:30:48.750006"
20,3.646,3.673,15.277,33.1328,15.2897,33.1345,4.1121,4.1135,1505.43,1505.42,1506.04,5.8803,5.8135,1.3644,"",1.9536,37.064333,-122.669833,"2019-06-26","00:30:48.791673"
21,3.641,3.669,15.2773,33.133,15.2886,33.135,4.1121,4.1134,1505.43,1505.42,1506.04,5.889,5.8135,1.3644,"",1.8315,37.064333,-122.669833,"2019-06-26","00:30:48.833340"
22,3.678,3.706,15.2774,33.1332,15.2882,33.1353,4.1122,4.1134,1505.43,1505.42,1506.04,5.8835,5.8135,1.3644,"",1.8071,37.064333,-122.669833,"2019-06-26","00:30:48.875007"
23,3.609,3.636,15.2774,33.1329,15.2882,33.1353,4.1121,4.1134,1505.43,1505.42,1506.04,5.8748,5.8135,1.3644,"",1.8071,37.064333,-122.669833,"2019-06-26","00:30:48.916674"
24,3.635,3.662,15.2775,33.1335,15.2875,33.1352,4.1122,4.1133,1505.43,1505.42,1506.04,5.8802,5.8059,1.3644,"",1.8071,37.064333,-122.669833,"2019-06-26","00:30:48.958341"
