"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,2.904,2.925,13.6886,33.6868,13.6945,33.6912,4.0231,4.0241,1500.95,1500.94,1501.58,5.8453,5.8233,2.5,"",2.9548,35.064667,-120.8655,"2019-06-20","00:05:03.000000"
2,2.871,2.892,13.6926,33.6873,13.6942,33.6916,4.0235,4.0241,1500.97,1500.96,1501.59,5.8447,5.8228,2.5,"",2.9548,35.064667,-120.8655,"2019-06-20","00:05:03.041667"
3,2.904,2.925,13.6947,33.688,13.6937,33.6917,4.0238,4.0241,1500.97,1500.96,1501.6,5.8445,5.8225,2.4511,"",2.9548,35.064667,-120.8655,"2019-06-20","00:05:03.083334"
4,2.904,2.925,13.6957,33.6876,13.6936,33.6915,4.0238,4.024,1500.98,1500.97,1501.6,5.8444,5.8224,2.4145,"",2.9548,35.064667,-120.8655,"2019-06-20","00:05:03.125001"
5,2.867,2.888,13.6954,33.688,13.6932,33.6916,4.0238,4.024,1500.98,1500.97,1501.6,5.8444,5.8224,2.4023,"",2.9548,35.064667,-120.8655,"2019-06-20","00:05:03.166668"
6,2.904,2.925,13.6952,33.6876,13.6932,33.6914,4.0238,4.024,1500.98,1500.96,1501.6,5.8538,5.8225,2.4023,"",2.9792,35.064667,-120.8655,"2019-06-20","00:05:03.208335"
7,2.839,2.86,13.6949,33.6879,13.6932,33.6913,4.0238,4.024,1500.97,1500.96,1501.6,5.8477,5.8225,2.4145,"",2.9548,35.064667,-120.8655,"2019-06-20","00:05:03.250002"
8,2.936,2.957,13.695,33.6881,13.6931,33.6917,4.0238,4.024,1500.98,1500.97,1501.6,5.8478,5.8225,2.4023,"",2.906,35.064667,-120.8655,"2019-06-20","00:05:03.291669"
9,2.871,2.892,13.6952,33.6883,13.6932,33.6918,4.0238,4.024,1500.98,1500.97,1501.6,5.8383,5.8306,2.4023,"",2.5885,35.064667,-120.8655,"2019-06-20","00:05:03.333336"
10,2.904,2.925,13.6955,33.6881,13.6932,33.6915,4.0238,4.024,1500.98,1500.97,1501.6,5.8538,5.8255,2.4023,"",2.4664,35.064667,-120.8655,"2019-06-20","00:05:03.375003"
11,2.904,2.925,13.6957,33.6884,13.6934,33.6913,4.0239,4.024,1500.98,1500.97,1501.6,5.8383,5.8173,2.4023,"",2.4664,35.064667,-120.8655,"2019-06-20","00:05:03.416670"
12,2.867,2.888,13.6959,33.6885,13.6929,33.6919,4.0239,4.024,1500.98,1500.97,1501.6,5.8537,5.8305,2.4023,"",2.4664,35.064667,-120.8655,"2019-06-20","00:05:03.458337"
13,2.871,2.892,13.6966,33.6881,13.6934,33.6914,4.0239,4.024,1500.98,1500.97,1501.6,5.8382,5.8253,2.4023,"",2.5153,35.064667,-120.8655,"2019-06-20","00:05:03.500004"
14,2.867,2.888,13.6973,33.6882,13.693,33.6921,4.024,4.024,1500.98,1500.97,1501.61,5.8535,5.8171,2.4145,"",2.5641,35.064667,-120.8655,"2019-06-20","00:05:03.541671"
15,2.893,2.914,13.6979,33.6883,13.6934,33.692,4.0241,4.0241,1500.99,1500.97,1501.61,5.8474,5.8221,2.4023,"",2.6129,35.064667,-120.8655,"2019-06-20","00:05:03.583338"
16,2.904,2.925,13.6981,33.6882,13.6933,33.6923,4.0241,4.0241,1500.99,1500.97,1501.61,5.838,5.8221,2.4023,"",2.5885,35.064667,-120.8655,"2019-06-20","00:05:03.625005"
17,2.871,2.892,13.6977,33.6887,13.6937,33.692,4.0241,4.0241,1500.98,1500.97,1501.61,5.8534,5.8302,2.4023,"",2.5885,35.064667,-120.8655,"2019-06-20","00:05:03.666672"
18,2.867,2.888,13.698,33.6885,13.6939,33.6919,4.0241,4.0241,1500.99,1500.97,1501.61,5.8473,5.8251,2.4023,"",2.6129,35.064667,-120.8655,"2019-06-20","00:05:03.708339"
19,2.904,2.925,13.6981,33.6885,13.694,33.6917,4.0241,4.0241,1500.99,1500.98,1501.61,5.8474,5.817,2.4145,"",2.6374,35.064667,-120.8655,"2019-06-20","00:05:03.750006"
