"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.05,4.084,16.4039,32.1763,16.4062,32.1765,4.1091,4.1093,1507.84,1507.83,1508.4,5.7093,5.8058,0.4121,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.000000"
2,4.08,4.115,16.4034,32.1766,16.4064,32.1763,4.1091,4.1093,1507.84,1507.83,1508.4,5.7094,5.8059,0.4121,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.041667"
3,4.076,4.111,16.4025,32.1775,16.4064,32.1765,4.1091,4.1094,1507.83,1507.83,1508.4,5.7094,5.8059,0.3998,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.083334"
4,4.113,4.148,16.401,32.1788,16.4064,32.1763,4.1091,4.1093,1507.83,1507.83,1508.4,5.7096,5.8061,0.4121,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.125001"
5,4.076,4.111,16.4007,32.1791,16.4062,32.1764,4.1091,4.1093,1507.83,1507.82,1508.4,5.7013,5.8061,0.3998,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.166668"
6,4.08,4.115,16.4016,32.1781,16.4061,32.1765,4.1091,4.1093,1507.83,1507.83,1508.4,5.7146,5.806,0.3998,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.208335"
7,4.065,4.1,16.4029,32.1768,16.406,32.1766,4.1091,4.1093,1507.83,1507.83,1508.4,5.7177,5.8059,0.3998,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.250002"
8,4.113,4.148,16.4039,32.1754,16.4059,32.1769,4.109,4.1094,1507.84,1507.83,1508.4,5.7126,5.8059,0.4121,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.291669"
9,4.108,4.143,16.4042,32.175,16.4057,32.1765,4.109,4.1093,1507.84,1507.83,1508.4,5.7042,5.8059,0.4121,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.333336"
10,4.08,4.115,16.4049,32.1747,16.4055,32.1763,4.109,4.1093,1507.84,1507.83,1508.41,5.7175,5.8058,0.4121,"",98.8767,48.563667,-126.172167,"2019-08-18","03:08:17.375003"
