"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.138,4.17,15.2148,33.3721,15.2176,33.3743,4.1328,4.1333,1505.52,1505.51,1506.15,7.2718,7.131,0.2411,"",58.5348,41.064,-124.243333,"2019-07-12","16:44:29.000000"
2,4.175,4.207,15.2148,33.3723,15.2181,33.3737,4.1328,4.1333,1505.52,1505.51,1506.15,7.2718,7.131,0.2411,"",58.5104,41.064,-124.243333,"2019-07-12","16:44:29.041667"
3,4.138,4.17,15.2136,33.3727,15.2176,33.3747,4.1328,4.1334,1505.51,1505.51,1506.14,7.2807,7.1312,0.2533,"",58.5104,41.064,-124.243333,"2019-07-12","16:44:29.083334"
4,4.164,4.196,15.2119,33.3731,15.2171,33.3745,4.1327,4.1333,1505.51,1505.51,1506.14,7.2755,7.1314,0.2411,"",58.5348,41.064,-124.243333,"2019-07-12","16:44:29.125001"
5,4.106,4.138,15.212,33.3725,15.2164,33.3742,4.1326,4.1332,1505.51,1505.5,1506.14,7.2754,7.1314,0.2411,"",58.5104,41.064,-124.243333,"2019-07-12","16:44:29.166668"
6,4.142,4.175,15.2114,33.3718,15.2162,33.3743,4.1325,4.1332,1505.51,1505.5,1506.13,7.2843,7.1315,0.2411,"",58.5348,41.064,-124.243333,"2019-07-12","16:44:29.208335"
7,4.095,4.127,15.21,33.3725,15.2161,33.3746,4.1324,4.1332,1505.5,1505.5,1506.13,7.279,7.1241,0.2411,"",58.5104,41.064,-124.243333,"2019-07-12","16:44:29.250002"
8,4.11,4.142,15.2085,33.3736,15.2151,33.3746,4.1324,4.1331,1505.5,1505.49,1506.13,7.2791,7.1364,0.2533,"",58.5104,41.064,-124.243333,"2019-07-12","16:44:29.291669"
9,4.106,4.138,15.2064,33.3739,15.2139,33.3747,4.1322,4.133,1505.49,1505.49,1506.12,7.2794,7.1245,0.2411,"",58.5348,41.064,-124.243333,"2019-07-12","16:44:29.333336"
10,4.073,4.105,15.2049,33.3744,15.212,33.3751,4.1321,4.1329,1505.49,1505.48,1506.12,7.2796,7.1293,0.2411,"",58.5348,41.064,-124.243333,"2019-07-12","16:44:29.375003"
11,4.069,4.101,15.2051,33.3739,15.2095,33.3753,4.1321,4.1327,1505.49,1505.48,1506.12,7.2796,7.1293,0.2411,"",58.5104,41.064,-124.243333,"2019-07-12","16:44:29.416670"
