"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.672,3.7,11.1809,33.738,11.1885,33.7394,3.7942,3.795,1492.54,1492.5,1493.08,4.4642,4.4005,2.5244,"",50.525,37.897333,-122.863333,"2019-07-02","03:25:28.000000"
2,3.677,3.705,11.1804,33.738,11.1894,33.739,3.7941,3.7951,1492.53,1492.5,1493.07,4.4643,4.4006,2.5244,"",50.525,37.897333,-122.863333,"2019-07-02","03:25:28.041667"
3,3.64,3.668,11.1805,33.7383,11.1891,33.739,3.7942,3.795,1492.53,1492.5,1493.07,4.4749,4.4005,2.5244,"",50.525,37.897333,-122.863333,"2019-07-02","03:25:28.083334"
4,3.64,3.668,11.1805,33.7385,11.1894,33.7395,3.7942,3.7951,1492.53,1492.5,1493.07,4.4677,4.3912,2.5244,"",50.5006,37.897333,-122.863333,"2019-07-02","03:25:28.125001"
5,3.64,3.668,11.1807,33.7384,11.1904,33.7391,3.7942,3.7952,1492.53,1492.5,1493.08,4.4677,4.3972,2.5244,"",50.525,37.897333,-122.863333,"2019-07-02","03:25:28.166668"
6,3.64,3.668,11.1807,33.7384,11.1905,33.7393,3.7942,3.7952,1492.53,1492.5,1493.08,4.457,4.3972,2.561,"",50.525,37.897333,-122.863333,"2019-07-02","03:25:28.208335"
7,3.64,3.668,11.1809,33.7382,11.1897,33.7402,3.7942,3.7952,1492.54,1492.5,1493.08,4.4749,4.3972,2.5854,"",50.5495,37.897333,-122.863333,"2019-07-02","03:25:28.250002"
8,3.603,3.63,11.1809,33.738,11.1905,33.7402,3.7942,3.7953,1492.53,1492.5,1493.07,4.4677,4.4065,2.5854,"",50.5739,37.897333,-122.863333,"2019-07-02","03:25:28.291669"
9,3.64,3.668,11.1807,33.7383,11.1945,33.7375,3.7942,3.7954,1492.53,1492.5,1493.08,4.4677,4.4005,2.5854,"",50.5983,37.897333,-122.863333,"2019-07-02","03:25:28.333336"
10,3.603,3.63,11.1804,33.7384,11.1973,33.7367,3.7942,3.7956,1492.53,1492.5,1493.07,4.457,4.4005,2.5854,"",50.5983,37.897333,-122.863333,"2019-07-02","03:25:28.375003"
11,3.608,3.635,11.1802,33.738,11.1988,33.7368,3.7941,3.7957,1492.53,1492.5,1493.07,4.4642,4.3913,2.5854,"",50.5983,37.897333,-122.863333,"2019-07-02","03:25:28.416670"
12,3.608,3.635,11.18,33.7382,11.198,33.7379,3.7941,3.7958,1492.53,1492.5,1493.07,4.4642,4.3973,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.458337"
13,3.571,3.598,11.1799,33.739,11.1956,33.7393,3.7942,3.7957,1492.53,1492.5,1493.07,4.4642,4.3973,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.500004"
14,3.608,3.635,11.1799,33.7389,11.1945,33.7396,3.7942,3.7956,1492.53,1492.5,1493.07,4.475,4.3973,2.5854,"",50.6471,37.897333,-122.863333,"2019-07-02","03:25:28.541671"
15,3.603,3.63,11.1799,33.7387,11.1952,33.7394,3.7942,3.7956,1492.53,1492.5,1493.07,4.4678,4.4066,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.583338"
16,3.576,3.603,11.18,33.7383,11.1952,33.7393,3.7941,3.7956,1492.53,1492.5,1493.07,4.4678,4.3913,2.5854,"",50.6471,37.897333,-122.863333,"2019-07-02","03:25:28.625005"
17,3.576,3.603,11.1797,33.7384,11.195,33.7394,3.7941,3.7956,1492.53,1492.5,1493.07,4.4571,4.3973,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.666672"
18,3.571,3.598,11.1794,33.7388,11.1944,33.7397,3.7941,3.7956,1492.53,1492.5,1493.07,4.4643,4.4066,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.708339"
19,3.576,3.603,11.1794,33.7385,11.1938,33.7399,3.7941,3.7956,1492.53,1492.5,1493.07,4.4643,4.3913,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.750006"
20,3.571,3.598,11.179,33.7388,11.1937,33.7399,3.7941,3.7956,1492.53,1492.49,1493.07,4.4643,4.3974,2.5854,"",50.6227,37.897333,-122.863333,"2019-07-02","03:25:28.791673"
21,3.576,3.603,11.179,33.7387,11.1927,33.7408,3.7941,3.7956,1492.53,1492.49,1493.07,4.475,4.3974,2.5854,"",50.6471,37.897333,-122.863333,"2019-07-02","03:25:28.833340"
22,3.603,3.63,11.179,33.7383,11.1922,33.7417,3.794,3.7956,1492.53,1492.49,1493.07,4.4572,4.3974,2.5854,"",50.6716,37.897333,-122.863333,"2019-07-02","03:25:28.875007"
23,3.576,3.603,11.1789,33.7387,11.1928,33.7414,3.7941,3.7956,1492.53,1492.49,1493.07,4.4643,4.4066,2.5854,"",50.6716,37.897333,-122.863333,"2019-07-02","03:25:28.916674"
24,3.564,3.591,11.179,33.7386,11.1938,33.7399,3.7941,3.7956,1492.53,1492.49,1493.07,4.4643,4.4006,2.5854,"",50.696,37.897333,-122.863333,"2019-07-02","03:25:28.958341"
25,3.571,3.598,11.1789,33.7388,11.1937,33.7391,3.7941,3.7955,1492.53,1492.49,1493.07,4.4643,4.4006,2.5854,"",50.6716,37.897333,-122.863333,"2019-07-02","03:25:29.000008"
