"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.773,3.802,10.2507,33.8393,10.2501,33.8423,3.7184,3.7186,1489.37,1489.33,1489.88,5.2526,5.184,9.5085,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:47.000000"
2,3.773,3.802,10.2505,33.8396,10.2501,33.8423,3.7184,3.7186,1489.37,1489.33,1489.88,5.2527,5.1937,9.5085,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:47.041667"
3,3.704,3.733,10.2506,33.8393,10.2502,33.8419,3.7184,3.7186,1489.37,1489.33,1489.87,5.2526,5.1775,9.5085,"",3.3455,39.397833,-123.974167,"2019-07-07","02:20:47.083334"
4,3.741,3.77,10.2504,33.8395,10.25,33.8421,3.7184,3.7186,1489.37,1489.33,1489.87,5.2639,5.1937,9.5085,"",3.3944,39.397833,-123.974167,"2019-07-07","02:20:47.125001"
5,3.672,3.7,10.2505,33.8397,10.2501,33.8422,3.7184,3.7186,1489.37,1489.33,1489.87,5.2449,5.1872,9.5085,"",3.3944,39.397833,-123.974167,"2019-07-07","02:20:47.166668"
6,3.672,3.7,10.2507,33.8396,10.2501,33.8421,3.7184,3.7186,1489.37,1489.33,1489.87,5.2526,5.1872,9.5085,"",3.3944,39.397833,-123.974167,"2019-07-07","02:20:47.208335"
7,3.64,3.668,10.2508,33.8398,10.2501,33.8425,3.7185,3.7187,1489.37,1489.33,1489.87,5.2638,5.1872,9.5085,"",3.37,39.397833,-123.974167,"2019-07-07","02:20:47.250002"
8,3.64,3.668,10.2509,33.8398,10.2501,33.8421,3.7185,3.7186,1489.37,1489.33,1489.87,5.2449,5.1871,9.5085,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:47.291669"
9,3.64,3.668,10.2507,33.8397,10.2501,33.8422,3.7184,3.7186,1489.37,1489.33,1489.87,5.2525,5.1872,9.5085,"",3.2479,39.397833,-123.974167,"2019-07-07","02:20:47.333336"
10,3.571,3.598,10.2506,33.8398,10.2502,33.8423,3.7184,3.7186,1489.37,1489.32,1489.87,5.2525,5.1871,9.5085,"",3.2723,39.397833,-123.974167,"2019-07-07","02:20:47.375003"
11,3.571,3.598,10.2507,33.8399,10.2498,33.8424,3.7185,3.7186,1489.37,1489.33,1489.87,5.2638,5.1871,9.5085,"",3.2723,39.397833,-123.974167,"2019-07-07","02:20:47.416670"
12,3.56,3.587,10.2507,33.8401,10.2501,33.8421,3.7185,3.7186,1489.37,1489.33,1489.87,5.2448,5.1871,9.5085,"",3.2234,39.397833,-123.974167,"2019-07-07","02:20:47.458337"
13,3.539,3.566,10.2509,33.8396,10.2499,33.8422,3.7184,3.7186,1489.37,1489.33,1489.87,5.2525,5.1871,9.5085,"",3.1258,39.397833,-123.974167,"2019-07-07","02:20:47.500004"
14,3.502,3.529,10.2508,33.8397,10.2497,33.8424,3.7184,3.7186,1489.37,1489.32,1489.87,5.2524,5.1968,9.5085,"",3.1013,39.397833,-123.974167,"2019-07-07","02:20:47.541671"
15,3.539,3.566,10.2509,33.8395,10.25,33.8422,3.7184,3.7186,1489.37,1489.32,1489.87,5.2637,5.1904,9.3376,"",3.1013,39.397833,-123.974167,"2019-07-07","02:20:47.583338"
16,3.47,3.496,10.2509,33.8398,10.2501,33.8421,3.7185,3.7186,1489.37,1489.32,1489.87,5.256,5.1806,9.1422,"",3.1013,39.397833,-123.974167,"2019-07-07","02:20:47.625005"
17,3.47,3.496,10.2509,33.8397,10.2497,33.8422,3.7184,3.7186,1489.37,1489.32,1489.87,5.2447,5.187,9.1056,"",3.0525,39.397833,-123.974167,"2019-07-07","02:20:47.666672"
18,3.47,3.496,10.2511,33.8394,10.25,33.8421,3.7184,3.7186,1489.37,1489.32,1489.87,5.2637,5.187,9.1178,"",2.9792,39.397833,-123.974167,"2019-07-07","02:20:47.708339"
19,3.438,3.464,10.2507,33.8397,10.2499,33.8425,3.7184,3.7186,1489.37,1489.32,1489.87,5.2447,5.187,9.1178,"",2.9548,39.397833,-123.974167,"2019-07-07","02:20:47.750006"
20,3.433,3.459,10.2509,33.8398,10.2497,33.8425,3.7185,3.7186,1489.37,1489.32,1489.87,5.2636,5.1967,9.1178,"",2.9548,39.397833,-123.974167,"2019-07-07","02:20:47.791673"
21,3.401,3.427,10.2509,33.8396,10.2499,33.8423,3.7184,3.7186,1489.37,1489.32,1489.87,5.2447,5.1903,9.1178,"",2.9548,39.397833,-123.974167,"2019-07-07","02:20:47.833340"
22,3.369,3.395,10.2508,33.84,10.25,33.8423,3.7185,3.7186,1489.37,1489.32,1489.87,5.2636,5.1903,9.1178,"",3.1258,39.397833,-123.974167,"2019-07-07","02:20:47.875007"
23,3.369,3.395,10.2509,33.8397,10.2499,33.8423,3.7184,3.7186,1489.37,1489.32,1489.87,5.2447,5.1903,9.1178,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:47.916674"
24,3.401,3.427,10.2509,33.8398,10.2497,33.8422,3.7185,3.7186,1489.37,1489.32,1489.87,5.2524,5.1903,9.13,"",3.3211,39.397833,-123.974167,"2019-07-07","02:20:47.958341"
25,3.288,3.313,10.2506,33.84,10.2495,33.8424,3.7184,3.7186,1489.36,1489.32,1489.87,5.2636,5.1902,9.1178,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:48.000008"
26,3.369,3.395,10.2507,33.8395,10.2497,33.8422,3.7184,3.7186,1489.36,1489.32,1489.87,5.2447,5.1903,9.13,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:48.041675"
27,3.3,3.325,10.2512,33.8395,10.2494,33.8429,3.7185,3.7186,1489.37,1489.32,1489.87,5.2635,5.1902,9.1178,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:48.083342"
28,3.288,3.313,10.2507,33.8399,10.2497,33.8426,3.7184,3.7186,1489.36,1489.32,1489.87,5.2672,5.1902,9.1178,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:48.125009"
29,3.3,3.325,10.2508,33.8398,10.2497,33.8425,3.7184,3.7186,1489.36,1489.32,1489.87,5.2483,5.1902,9.1178,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:48.166676"
30,3.268,3.293,10.2509,33.8399,10.2496,33.8424,3.7185,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.13,"",3.2967,39.397833,-123.974167,"2019-07-07","02:20:48.208343"
31,3.3,3.325,10.2509,33.8397,10.2496,33.8423,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.3211,39.397833,-123.974167,"2019-07-07","02:20:48.250010"
32,3.268,3.293,10.2507,33.8398,10.2493,33.8426,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.37,39.397833,-123.974167,"2019-07-07","02:20:48.291677"
33,3.231,3.256,10.2508,33.8398,10.2496,33.8421,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.3944,39.397833,-123.974167,"2019-07-07","02:20:48.333344"
34,3.268,3.293,10.2505,33.84,10.2496,33.842,3.7184,3.7185,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.3944,39.397833,-123.974167,"2019-07-07","02:20:48.375011"
35,3.231,3.256,10.2505,33.84,10.2495,33.8423,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.3944,39.397833,-123.974167,"2019-07-07","02:20:48.416678"
36,3.231,3.256,10.2504,33.8401,10.2494,33.8425,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.4188,39.397833,-123.974167,"2019-07-07","02:20:48.458345"
37,3.231,3.256,10.2503,33.8403,10.2496,33.8421,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1902,9.1178,"",3.4432,39.397833,-123.974167,"2019-07-07","02:20:48.500012"
38,3.231,3.256,10.2504,33.8399,10.2494,33.8426,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.2,9.1178,"",3.4432,39.397833,-123.974167,"2019-07-07","02:20:48.541679"
39,3.199,3.223,10.2504,33.84,10.2497,33.8421,3.7184,3.7186,1489.36,1489.32,1489.87,5.2671,5.1935,9.1178,"",3.4432,39.397833,-123.974167,"2019-07-07","02:20:48.583346"
40,3.199,3.223,10.2504,33.8398,10.2497,33.8421,3.7184,3.7186,1489.36,1489.32,1489.87,5.2482,5.1935,9.1788,"",3.4432,39.397833,-123.974167,"2019-07-07","02:20:48.625013"
41,3.231,3.256,10.2502,33.8397,10.2497,33.8422,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1936,9.6062,"",3.4676,39.397833,-123.974167,"2019-07-07","02:20:48.666680"
42,3.231,3.256,10.2502,33.8399,10.2497,33.8425,3.7184,3.7186,1489.36,1489.32,1489.87,5.2559,5.1936,9.8016,"",3.5165,39.397833,-123.974167,"2019-07-07","02:20:48.708347"
