"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,2.85,2.871,14.7822,33.6607,14.8393,33.6663,4.1236,4.1297,1504.46,1504.45,1505.1,5.9595,5.9398,1.6575,"",1.6606,34.564667,-120.830833,"2019-06-17","16:09:40.000000"
2,2.818,2.838,14.7768,33.662,14.8382,33.6667,4.1233,4.1296,1504.44,1504.44,1505.08,5.9512,5.9404,1.6575,"",1.6606,34.564667,-120.830833,"2019-06-17","16:09:40.041667"
3,2.871,2.892,14.78,33.662,14.8377,33.6663,4.1236,4.1295,1504.45,1504.45,1505.09,5.9565,5.9401,1.6575,"",1.6361,34.564667,-120.830833,"2019-06-17","16:09:40.083334"
4,2.818,2.838,14.7964,33.6605,14.8372,33.6665,4.125,4.1295,1504.5,1504.5,1505.14,5.9456,5.9304,1.6575,"",1.6361,34.564667,-120.830833,"2019-06-17","16:09:40.125001"
5,2.882,2.903,14.8103,33.6621,14.8362,33.6671,4.1265,4.1295,1504.55,1504.55,1505.19,5.9584,5.9411,1.6575,"",1.6606,34.564667,-120.830833,"2019-06-17","16:09:40.166668"
6,2.898,2.919,14.8193,33.6632,14.8335,33.6676,4.1274,4.1293,1504.58,1504.58,1505.22,5.9428,5.9353,1.6575,"",1.7827,34.564667,-120.830833,"2019-06-17","16:09:40.208335"
7,2.882,2.903,14.8232,33.6644,14.8303,33.6669,4.1279,4.1289,1504.59,1504.59,1505.24,5.9478,5.9347,1.6575,"",1.8315,34.564667,-120.830833,"2019-06-17","16:09:40.250002"
8,2.913,2.934,14.8266,33.664,14.8268,33.6664,4.1282,4.1285,1504.6,1504.6,1505.25,5.9563,5.9267,1.6575,"",1.8315,34.564667,-120.830833,"2019-06-17","16:09:40.291669"
9,2.908,2.929,14.83,33.6634,14.8239,33.667,4.1285,4.1283,1504.61,1504.61,1505.26,5.9503,5.931,1.6697,"",1.8315,34.564667,-120.830833,"2019-06-17","16:09:40.333336"
10,2.887,2.908,14.8327,33.6634,14.8232,33.6664,4.1287,4.1282,1504.62,1504.62,1505.27,5.95,5.9306,1.6819,"",1.8559,34.564667,-120.830833,"2019-06-17","16:09:40.375003"
