"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.331,4.367,13.2065,32.122,13.204,32.1431,3.8116,3.8136,1497.54,1497.51,1498.05,6.6297,6.5593,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.000000"
2,4.373,4.409,13.2069,32.1216,13.205,32.1424,3.8116,3.8136,1497.54,1497.52,1498.05,6.6297,6.5593,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.041667"
3,4.331,4.367,13.2068,32.1235,13.2063,32.1413,3.8118,3.8136,1497.54,1497.52,1498.05,6.6393,6.5592,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.083334"
4,4.336,4.372,13.2058,32.1253,13.208,32.1409,3.8119,3.8137,1497.54,1497.52,1498.05,6.6233,6.5509,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.125001"
5,4.4,4.436,13.2051,32.1264,13.2104,32.1403,3.8119,3.8139,1497.54,1497.52,1498.05,6.6395,6.5563,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.166668"
6,4.357,4.393,13.1995,32.1308,13.2111,32.1396,3.8119,3.8139,1497.52,1497.5,1498.04,6.6337,6.5484,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.208335"
7,4.373,4.409,13.1939,32.1351,13.2107,32.14,3.8118,3.8139,1497.51,1497.49,1498.03,6.6246,6.5543,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.250002"
8,4.4,4.436,13.1904,32.1378,13.2098,32.1412,3.8118,3.8139,1497.5,1497.48,1498.02,6.6314,6.5547,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.291669"
9,4.405,4.441,13.1889,32.1375,13.2102,32.141,3.8116,3.8139,1497.5,1497.48,1498.01,6.6413,6.5549,1.2545,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.333336"
10,4.4,4.436,13.1878,32.1375,13.2117,32.1398,3.8115,3.8139,1497.49,1497.47,1498.01,6.6352,6.5551,1.2423,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.375003"
11,4.394,4.43,13.1873,32.1362,13.2144,32.1385,3.8114,3.814,1497.49,1497.47,1498.0,6.6353,6.5552,1.2179,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.416670"
12,4.433,4.469,13.1875,32.1351,13.2167,32.1373,3.8113,3.8141,1497.49,1497.47,1498.0,6.6353,6.5468,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.458337"
13,4.442,4.478,13.1877,32.1344,13.2159,32.1397,3.8112,3.8143,1497.49,1497.47,1498.0,6.6256,6.5521,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.500004"
14,4.469,4.506,13.1877,32.1333,13.2099,32.1444,3.8111,3.8143,1497.49,1497.47,1498.0,6.632,6.5522,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.541671"
15,4.442,4.478,13.1873,32.1328,13.2035,32.1474,3.811,3.814,1497.49,1497.47,1498.0,6.632,6.5522,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.583338"
16,4.458,4.495,13.1876,32.1335,13.2005,32.1459,3.8111,3.8136,1497.49,1497.47,1498.0,6.6417,6.5522,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.625005"
17,4.463,4.5,13.1873,32.1332,13.1998,32.1446,3.811,3.8134,1497.49,1497.47,1498.0,6.6452,6.5522,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.666672"
18,4.469,4.506,13.1873,32.1332,13.1986,32.1455,3.811,3.8134,1497.49,1497.47,1498.0,6.6291,6.5522,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.708339"
19,4.506,4.543,13.1873,32.1338,13.2027,32.143,3.8111,3.8135,1497.49,1497.47,1498.0,6.6355,6.5523,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.750006"
20,4.469,4.506,13.187,32.1342,13.2067,32.1411,3.8111,3.8136,1497.49,1497.47,1498.0,6.6355,6.5523,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.791673"
21,4.495,4.532,13.1883,32.1334,13.2053,32.1435,3.8111,3.8138,1497.49,1497.47,1498.01,6.6256,6.5437,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.833340"
22,4.502,4.538,13.1924,32.1297,13.2032,32.1451,3.8111,3.8137,1497.5,1497.48,1498.02,6.6315,6.5486,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.875007"
23,4.506,4.543,13.1953,32.1274,13.2015,32.145,3.8111,3.8136,1497.51,1497.49,1498.02,6.6409,6.5567,1.2057,"",98.9011,45.063333,-124.224333,"2019-07-29","04:22:23.916674"
24,4.491,4.527,13.1975,32.1252,13.2,32.1439,3.8111,3.8133,1497.51,1497.49,1498.03,6.6344,6.5512,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:23.958341"
25,4.495,4.532,13.1994,32.1241,13.1995,32.1433,3.8112,3.8132,1497.52,1497.5,1498.03,6.6341,6.551,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.000008"
26,4.502,4.538,13.202,32.124,13.1975,32.1439,3.8114,3.8131,1497.53,1497.5,1498.04,6.6338,6.5506,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.041675"
27,4.538,4.576,13.2061,32.1219,13.1943,32.1458,3.8115,3.813,1497.54,1497.52,1498.05,6.6333,6.5501,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.083342"
28,4.543,4.58,13.2098,32.1185,13.1928,32.1461,3.8115,3.8129,1497.55,1497.53,1498.06,6.6329,6.5498,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.125009"
29,4.502,4.538,13.2114,32.1192,13.1931,32.1461,3.8117,3.8129,1497.55,1497.53,1498.07,6.6229,6.5495,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.166676"
30,4.564,4.602,13.2093,32.1233,13.1948,32.1452,3.812,3.813,1497.55,1497.53,1498.07,6.6391,6.5497,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.208343"
31,4.502,4.538,13.2086,32.1256,13.1997,32.1421,3.8122,3.8131,1497.55,1497.53,1498.07,6.6425,6.5496,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.250010"
32,4.532,4.569,13.2079,32.1273,13.204,32.1406,3.8123,3.8133,1497.55,1497.53,1498.07,6.6265,6.5497,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.291677"
33,4.538,4.576,13.2083,32.127,13.206,32.1412,3.8123,3.8136,1497.55,1497.53,1498.07,6.6328,6.5496,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.333344"
34,4.495,4.532,13.2072,32.1285,13.207,32.1424,3.8123,3.8138,1497.55,1497.53,1498.06,6.6426,6.5497,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.375011"
35,4.538,4.576,13.208,32.1282,13.2082,32.1425,3.8124,3.8139,1497.55,1497.53,1498.07,6.6362,6.5496,1.2057,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.416678"
36,4.543,4.58,13.2091,32.1279,13.2084,32.143,3.8124,3.814,1497.56,1497.53,1498.07,6.636,6.5579,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.458345"
37,4.538,4.576,13.2086,32.1276,13.208,32.1438,3.8124,3.814,1497.55,1497.53,1498.07,6.6361,6.5443,1.1935,"",98.9011,45.063333,-124.224333,"2019-07-29","04:22:24.500012"
38,4.506,4.543,13.2064,32.1289,13.209,32.1437,3.8123,3.8141,1497.55,1497.53,1498.06,6.6364,6.5498,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.541679"
39,4.538,4.576,13.2041,32.1318,13.2105,32.1429,3.8124,3.8142,1497.54,1497.52,1498.06,6.6366,6.55,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.583346"
40,4.532,4.569,13.2022,32.1339,13.2117,32.1423,3.8125,3.8142,1497.54,1497.52,1498.05,6.6368,6.5502,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.625013"
41,4.502,4.538,13.2012,32.1342,13.2124,32.1417,3.8124,3.8142,1497.54,1497.51,1498.05,6.6466,6.5503,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.666680"
42,4.495,4.532,13.2005,32.1343,13.2129,32.1412,3.8123,3.8142,1497.53,1497.51,1498.05,6.6306,6.5504,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.708347"
43,4.538,4.576,13.1992,32.1353,13.2132,32.1411,3.8123,3.8142,1497.53,1497.51,1498.05,6.6372,6.5506,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.750014"
44,4.474,4.511,13.1978,32.1353,13.2127,32.1416,3.8122,3.8142,1497.53,1497.5,1498.04,6.647,6.5507,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.791681"
45,4.458,4.495,13.1972,32.136,13.2107,32.1428,3.8122,3.8142,1497.52,1497.5,1498.04,6.6408,6.5507,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.833348"
46,4.502,4.538,13.1966,32.1367,13.2115,32.1419,3.8123,3.8141,1497.52,1497.5,1498.04,6.6311,6.5508,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.875015"
47,4.474,4.511,13.1965,32.1362,13.2129,32.1404,3.8122,3.8141,1497.52,1497.5,1498.04,6.6374,6.5593,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.916682"
48,4.458,4.495,13.1978,32.1344,13.2125,32.1409,3.8121,3.8141,1497.52,1497.5,1498.04,6.6471,6.5454,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:24.958349"
49,4.442,4.478,13.1995,32.1319,13.2123,32.1415,3.812,3.8142,1497.53,1497.5,1498.04,6.6406,6.559,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.000016"
50,4.433,4.469,13.2015,32.1299,13.2125,32.1408,3.812,3.8141,1497.53,1497.51,1498.05,6.6404,6.5535,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.041683"
51,4.442,4.478,13.2024,32.1293,13.2129,32.1408,3.812,3.8142,1497.53,1497.51,1498.05,6.6305,6.5534,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.083350"
52,4.4,4.436,13.203,32.1294,13.2119,32.1423,3.812,3.8142,1497.54,1497.51,1498.05,6.6367,6.5449,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.125017"
53,4.405,4.441,13.2039,32.1295,13.2112,32.1424,3.8121,3.8142,1497.54,1497.52,1498.05,6.6463,6.55,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.166684"
54,4.39,4.426,13.204,32.1294,13.2084,32.1435,3.8121,3.814,1497.54,1497.52,1498.05,6.64,6.5584,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.208351"
55,4.394,4.43,13.2033,32.1309,13.2062,32.1445,3.8122,3.8139,1497.54,1497.52,1498.05,6.64,6.5532,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.250018"
56,4.331,4.367,13.2014,32.1333,13.2063,32.1433,3.8123,3.8138,1497.53,1497.51,1498.05,6.6402,6.5533,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.291685"
57,4.373,4.409,13.2009,32.1332,13.2065,32.1426,3.8123,3.8138,1497.53,1497.51,1498.05,6.6305,6.5534,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.333352"
58,4.321,4.356,13.2,32.1347,13.2073,32.1414,3.8123,3.8137,1497.53,1497.51,1498.04,6.6369,6.5534,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.375019"
59,4.304,4.339,13.1988,32.136,13.2079,32.1413,3.8124,3.8137,1497.53,1497.51,1498.04,6.637,6.5451,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.416686"
60,4.299,4.335,13.1977,32.137,13.2087,32.1403,3.8124,3.8137,1497.52,1497.5,1498.04,6.6371,6.5589,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.458353"
61,4.304,4.339,13.1954,32.1383,13.2094,32.14,3.8123,3.8137,1497.52,1497.5,1498.03,6.6471,6.5539,1.1935,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.500020"
62,4.256,4.291,13.1933,32.1396,13.209,32.1407,3.8123,3.8138,1497.51,1497.49,1498.03,6.6313,6.5541,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.541687"
63,4.272,4.307,13.1928,32.1389,13.2075,32.1423,3.8121,3.8138,1497.51,1497.49,1498.02,6.6377,6.5458,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.583354"
64,4.219,4.254,13.1939,32.1374,13.204,32.1453,3.8121,3.8138,1497.51,1497.49,1498.03,6.6376,6.5594,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.625021"
65,4.235,4.27,13.195,32.1352,13.1987,32.1481,3.8119,3.8136,1497.51,1497.49,1498.03,6.6278,6.554,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.666688"
66,4.23,4.265,13.1963,32.133,13.1969,32.1474,3.8118,3.8134,1497.51,1497.49,1498.03,6.634,6.5539,1.1813,"",98.9011,45.063333,-124.224333,"2019-07-29","04:22:25.708355"
67,4.203,4.237,13.198,32.1309,13.1957,32.1469,3.8117,3.8132,1497.52,1497.49,1498.03,6.6338,6.5538,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.750022"
68,4.187,4.222,13.2012,32.129,13.1963,32.1456,3.8118,3.8132,1497.52,1497.5,1498.04,6.6432,6.545,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.791689"
69,4.16,4.194,13.2034,32.1281,13.1967,32.1447,3.8119,3.8131,1497.53,1497.51,1498.05,6.6268,6.5499,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.833356"
70,4.155,4.189,13.2036,32.1294,13.1949,32.1455,3.8121,3.813,1497.53,1497.51,1498.05,6.6428,6.5499,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.875023"
71,4.149,4.183,13.2029,32.1306,13.1901,32.1493,3.8122,3.813,1497.53,1497.51,1498.05,6.6268,6.5499,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.916690"
72,4.129,4.163,13.2019,32.132,13.1838,32.1538,3.8122,3.8129,1497.53,1497.51,1498.04,6.6332,6.55,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:25.958357"
73,4.08,4.113,13.1986,32.1357,13.1801,32.1546,3.8123,3.8127,1497.52,1497.5,1498.04,6.6237,6.5502,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.000024"
74,4.166,4.2,13.1977,32.1362,13.1795,32.1528,3.8123,3.8124,1497.52,1497.5,1498.04,6.6399,6.5504,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.041691"
75,4.118,4.152,13.1976,32.1366,13.181,32.1504,3.8123,3.8123,1497.52,1497.5,1498.04,6.6238,6.5504,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.083358"
76,4.102,4.135,13.1978,32.1361,13.1847,32.147,3.8123,3.8123,1497.52,1497.5,1498.04,6.6399,6.5504,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.125025"
77,4.086,4.12,13.1975,32.1358,13.189,32.1444,3.8122,3.8124,1497.52,1497.5,1498.03,6.6336,6.5504,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.166692"
78,4.134,4.168,13.1982,32.1348,13.1907,32.1449,3.8122,3.8126,1497.52,1497.5,1498.04,6.6238,6.5504,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.208359"
79,4.049,4.083,13.199,32.1338,13.1903,32.1465,3.8121,3.8127,1497.52,1497.5,1498.04,6.6203,6.5418,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.250026"
80,4.102,4.135,13.1998,32.1318,13.1907,32.1469,3.812,3.8128,1497.52,1497.5,1498.04,6.6363,6.5471,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.291693"
81,4.097,4.131,13.201,32.1314,13.1907,32.1473,3.8121,3.8128,1497.53,1497.5,1498.04,6.6299,6.547,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.333360"
82,4.065,4.098,13.2017,32.1318,13.1898,32.1484,3.8122,3.8129,1497.53,1497.51,1498.04,6.6297,6.5552,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.375027"
83,4.086,4.12,13.2027,32.1315,13.1897,32.1482,3.8122,3.8128,1497.53,1497.51,1498.05,6.6296,6.5414,1.1813,"",98.8767,45.063333,-124.224333,"2019-07-29","04:22:26.416694"
84,4.054,4.087,13.2033,32.1315,13.1915,32.1464,3.8123,3.8128,1497.53,1497.51,1498.05,6.6295,6.555,1.1813,"",98.7057,45.063333,-124.224333,"2019-07-29","04:22:26.458361"
85,4.086,4.12,13.2036,32.1316,13.1928,32.146,3.8123,3.8129,1497.53,1497.51,1498.05,6.6295,6.5413,1.1813,"",98.486,45.063333,-124.224333,"2019-07-29","04:22:26.500028"
86,4.091,4.124,13.2037,32.1318,13.1927,32.1464,3.8124,3.8129,1497.54,1497.51,1498.05,6.6197,6.5466,1.1813,"",98.4371,45.063333,-124.224333,"2019-07-29","04:22:26.541695"
87,4.086,4.12,13.2032,32.1321,13.1926,32.1463,3.8123,3.8129,1497.53,1497.51,1498.05,6.6261,6.555,1.2057,"",98.4371,45.063333,-124.224333,"2019-07-29","04:22:26.583362"
