"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,3.412,3.441,16.0028,31.816,15.9559,31.8377,4.0312,4.0294,1506.17,1506.16,1506.72,6.5767,6.6381,0.4975,"",2.5885,47.563667,-124.972833,"2019-08-11","23:43:35.000000"
2,3.428,3.457,16.005,31.8155,15.9577,31.8362,4.0313,4.0294,1506.18,1506.17,1506.72,6.5764,6.6452,0.4975,"",2.5885,47.563667,-124.972833,"2019-08-11","23:43:35.041667"
3,3.38,3.409,16.0079,31.815,15.9585,31.8355,4.0316,4.0294,1506.19,1506.18,1506.73,6.576,6.633,0.4853,"",2.5885,47.563667,-124.972833,"2019-08-11","23:43:35.083334"
4,3.395,3.424,16.01,31.8153,15.9583,31.836,4.0318,4.0294,1506.19,1506.18,1506.74,6.5842,6.6371,0.4975,"",2.6374,47.563667,-124.972833,"2019-08-11","23:43:35.125001"
5,3.391,3.419,16.0112,31.8171,15.9597,31.8363,4.0321,4.0296,1506.2,1506.19,1506.74,6.5787,6.6369,0.4975,"",2.6618,47.563667,-124.972833,"2019-08-11","23:43:35.166668"
6,3.348,3.376,16.0117,31.8191,15.9639,31.8343,4.0324,4.0297,1506.2,1506.19,1506.75,6.5785,6.6367,0.4975,"",2.6618,47.563667,-124.972833,"2019-08-11","23:43:35.208335"
7,3.391,3.419,16.0126,31.8198,15.966,31.8333,4.0325,4.0298,1506.21,1506.2,1506.75,6.5784,6.6366,0.4975,"",2.6618,47.563667,-124.972833,"2019-08-11","23:43:35.250002"
8,3.395,3.424,16.0119,31.8219,15.966,31.8341,4.0327,4.0299,1506.21,1506.2,1506.75,6.57,6.6366,0.4975,"",2.6618,47.563667,-124.972833,"2019-08-11","23:43:35.291669"
9,3.348,3.376,16.0103,31.8244,15.966,31.8355,4.0328,4.0301,1506.2,1506.2,1506.75,6.5838,6.6293,0.4975,"",2.6374,47.563667,-124.972833,"2019-08-11","23:43:35.333336"
10,3.316,3.344,16.0098,31.8253,15.9674,31.8359,4.0329,4.0302,1506.2,1506.19,1506.75,6.5701,6.6337,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.375003"
11,3.359,3.387,16.0086,31.8269,15.9684,31.835,4.033,4.0302,1506.2,1506.19,1506.75,6.5754,6.6338,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.416670"
12,3.316,3.344,16.0095,31.8261,15.9658,31.8377,4.033,4.0303,1506.2,1506.19,1506.75,6.5838,6.6337,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.458337"
13,3.322,3.35,16.0083,31.827,15.9693,31.836,4.033,4.0304,1506.2,1506.19,1506.75,6.5702,6.6339,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.500004"
14,3.316,3.344,16.0064,31.8284,15.9736,31.833,4.0329,4.0305,1506.2,1506.19,1506.74,6.5756,6.634,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.541671"
15,3.279,3.307,16.0068,31.8282,15.9742,31.8325,4.0329,4.0305,1506.2,1506.19,1506.74,6.5756,6.6413,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.583338"
16,3.294,3.322,16.005,31.8294,15.9723,31.8341,4.0329,4.0305,1506.19,1506.18,1506.74,6.5757,6.6298,0.4853,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.625005"
17,3.279,3.307,16.0011,31.8321,15.9711,31.8347,4.0329,4.0304,1506.18,1506.17,1506.73,6.5761,6.6346,0.4975,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.666672"
18,3.215,3.242,15.9947,31.8363,15.9713,31.8328,4.0328,4.0302,1506.17,1506.16,1506.71,6.5768,6.6352,0.4975,"",2.6374,47.563667,-124.972833,"2019-08-11","23:43:35.708339"
19,3.242,3.27,15.9897,31.8394,15.9698,31.8323,4.0327,4.03,1506.15,1506.15,1506.7,6.5688,6.6357,0.4975,"",2.6862,47.563667,-124.972833,"2019-08-11","23:43:35.750006"
20,3.247,3.274,15.9884,31.8394,15.9672,31.8325,4.0325,4.0298,1506.15,1506.14,1506.7,6.5828,6.6359,0.4975,"",2.6862,47.563667,-124.972833,"2019-08-11","23:43:35.791673"
21,3.21,3.237,15.9889,31.8369,15.9646,31.8339,4.0323,4.0298,1506.15,1506.14,1506.7,6.5775,6.6359,0.4853,"",2.6862,47.563667,-124.972833,"2019-08-11","23:43:35.833340"
22,3.215,3.242,15.9856,31.8371,15.9636,31.8348,4.032,4.0298,1506.14,1506.13,1506.69,6.5864,6.6363,0.4975,"",2.6862,47.563667,-124.972833,"2019-08-11","23:43:35.875007"
23,3.178,3.205,15.9806,31.8392,15.9613,31.8353,4.0318,4.0296,1506.13,1506.12,1506.67,6.5732,6.6295,0.4853,"",2.6129,47.563667,-124.972833,"2019-08-11","23:43:35.916674"
24,3.157,3.183,15.9733,31.8434,15.9592,31.8352,4.0316,4.0294,1506.11,1506.1,1506.65,6.5708,6.6347,0.4975,"",2.5641,47.563667,-124.972833,"2019-08-11","23:43:35.958341"
25,3.152,3.179,15.9681,31.8458,15.9563,31.8356,4.0314,4.0292,1506.09,1506.09,1506.64,6.5851,6.6353,0.5097,"",2.5397,47.563667,-124.972833,"2019-08-11","23:43:36.000008"
26,3.182,3.209,15.9676,31.8444,15.9534,31.8363,4.0312,4.029,1506.09,1506.08,1506.64,6.5715,6.6281,0.5219,"",2.5397,47.563667,-124.972833,"2019-08-11","23:43:36.041675"
27,3.141,3.168,15.9685,31.8411,15.9515,31.8372,4.0309,4.0289,1506.09,1506.08,1506.64,6.5767,6.6325,0.5097,"",2.5397,47.563667,-124.972833,"2019-08-11","23:43:36.083342"
