Unique_ID,ID_mifish,ID_microscopy,ID_sebastes
Eopsetta jordani,Eopsetta jordani,MISSING,MISSING
Epinephelus analogus,Epinephelus analogus,MISSING,MISSING
Genyonemus lineatus,Genyonemus lineatus,Genyonemus lineatus,MISSING
Glyptocephalus zachirus,Glyptocephalus zachirus,MISSING,MISSING
Gonichthys tenuiculus,Gonichthys tenuiculus,MISSING,MISSING
Halichoeres californica,Halichoeres californica,Halichoeres californica,MISSING
Hippoglossina stomata,Hippoglossina stomata,MISSING,MISSING
Hippoglossus stenolepis,Hippoglossus stenolepis,MISSING,MISSING
Hygophum,Hygophum,Hygophum reinhardtii,MISSING
Icelinus cavifrons,Icelinus cavifrons,MISSING,MISSING
Icelinus filamentosus,Icelinus filamentosus,MISSING,MISSING
Icelinus oculatus,Icelinus oculatus,MISSING,MISSING
Ichthyococcus irregularis,Ichthyococcus irregularis,Ichthyococcus irregularis,MISSING
Icichthys lockingtoni,Icichthys lockingtoni,Icichthys lockingtoni,MISSING
Idiacanthus antrostomus,Idiacanthus antrostomus,MISSING,MISSING
Lampanyctus AANOTHER,Lampanyctus,MISSING,MISSING
Lampanyctus tenuiformis,Lampanyctus tenuiformis,MISSING,MISSING
Lepidopsetta bilineata,Lepidopsetta bilineata,Lepidopsetta bilineata,MISSING
Lestidiops,MISSING,Lestidiops,MISSING
Lestidiops ringens,MISSING,Lestidiops ringens,MISSING
Leuresthes tenuis,Leuresthes tenuis,MISSING,MISSING
Leuroglossus stilbius,Leuroglossus stilbius,Leuroglossus stilbius,MISSING
Liparis mucosus,Liparis mucosus,Liparis mucosus,MISSING
Lipolagus ochotensis,Lipolagus ochotensis,Lipolagus ochotensis,MISSING
Loweina rara,Loweina rara,MISSING,MISSING
Lyopsetta exilis,Lyopsetta exilis,Lyopsetta exilis,MISSING
Macroramphosus gracilis,MISSING,Macroramphosus gracilis,MISSING
Melamphaes AANOTHER,MISSING,Melamphaes,MISSING
Melamphaes lugubris,Melamphaes lugubris,Melamphaes lugubris,MISSING
Melamphaes parvus,Melamphaes parvus,Melamphaes parvus,MISSING
Menticirrhus undulatus,Menticirrhus undulatus,MISSING,MISSING
Merluccius productus,Merluccius productus,Merluccius productus,MISSING
Microstoma,MISSING,Microstoma,MISSING
Microstomus pacificus,Microstomus pacificus,MISSING,MISSING
Mola mola,Mola mola,MISSING,MISSING
Myctophidae,Myctophidae,Myctophidae,MISSING
Myctophum nitidulum,Myctophum nitidulum,Myctophum nitidulum,MISSING
Nannobrachium AANOTHER,Nannobrachium,Nannobrachium,MISSING
Nannobrachium regale,Nannobrachium regale,Nannobrachium regale,MISSING
Nannobrachium ritteri,Nannobrachium ritteri,Nannobrachium ritteri,MISSING
Nansenia candida,Nansenia candida,Nansenia candida,MISSING
Nansenia crassa,MISSING,Nansenia crassa,MISSING
Neoclinus stephensae,MISSING,Neoclinus stephensae,MISSING
Notolychnus valdiviae,Notolychnus valdiviae,MISSING,MISSING
Notoscopelus resplendens,Notoscopelus resplendens,MISSING,MISSING
Odontopyxis trispinosa,MISSING,Odontopyxis trispinosa,MISSING
Oncorhynchus keta,Oncorhynchus keta,MISSING,MISSING
Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,MISSING
Opisthoproctidae,Opisthoproctidae,MISSING,MISSING
Opostomias mitsuii,Opostomias mitsuii,MISSING,MISSING
Orthonopias triacis,Orthonopias triacis,Orthonopias triacis,MISSING
Oxylebius pictus,Oxylebius pictus,Oxylebius pictus,MISSING
Paralabrax clathratus,Paralabrax clathratus,MISSING,MISSING
Paralepididae,Paralepididae,Paralepididae,MISSING
Paralichthys californicus,Paralichthys californicus,MISSING,MISSING
Parvilux ingens,Parvilux ingens,MISSING,MISSING
Peprilus simillimus,Peprilus simillimus,MISSING,MISSING
Perciformes,Perciformes,MISSING,MISSING
Pholis ornata,Pholis ornata,MISSING,MISSING
Plectobranchus evides,MISSING,Plectobranchus evides,MISSING
Pleuronectidae,Pleuronectidae,MISSING,MISSING
Pleuronichthys coenosus,Pleuronichthys coenosus,Pleuronichthys coenosus,MISSING
Pleuronichthys decurrens,Pleuronichthys decurrens,Pleuronichthys decurrens,MISSING
Pleuronichthys verticalis,Pleuronichthys verticalis,Pleuronichthys verticalis,MISSING
Poromitra crassiceps,Poromitra crassiceps,Poromitra crassiceps,MISSING
Protomyctophum crockeri,Protomyctophum crockeri,Protomyctophum crockeri,MISSING
Radulinus asprellus,Radulinus asprellus,MISSING,MISSING
Rathbunella hypoplecta,Rathbunella hypoplecta,Rathbunella,MISSING
Rhinogobiops nicholsii,Rhinogobiops nicholsii,Rhinogobiops nicholsii,MISSING
Ruscarius creaseri,Ruscarius creaseri,Ruscarius creaseri,MISSING
Ruscarius meanyi,MISSING,Ruscarius meanyi,MISSING
Sardinops sagax,Sardinops sagax,Sardinops sagax,MISSING
Scomber japonicus,Scomber japonicus,Scomber japonicus,MISSING
Scopelogadus mizolepis,Scopelogadus bispinosus,Scopelogadus mizolepis bispinosus,MISSING
Scopelosaurus,MISSING,Scopelosaurus,MISSING
Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,MISSING
Sebastes AANOTHER,Sebastes,Sebastes,Sebastes AANOTHER
Sebastes aleutianus,Sebastes,Sebastes,Sebastes aleutianus
Sebastes atrovirens.carnatus,Sebastes,Sebastes,Sebastes atrovirens.carnatus
Sebastes auriculatus.nebulosus,Sebastes,Sebastes,Sebastes auriculatus.nebulosus
Sebastes aurora.phillipsi,Sebastes,Sebastes,Sebastes aurora.phillipsi
Sebastes caurinus,Sebastes,Sebastes,Sebastes caurinus
Sebastes chrysomelas,Sebastes,Sebastes,Sebastes chrysomelas
Sebastes exsul,Sebastes,Sebastes,Sebastes exsul
Sebastes elongatus,Sebastes,Sebastes,Sebastes elongatus
Sebastes goodei,Sebastes,Sebastes,Sebastes goodei
Sebastes hopkinsi,Sebastes,Sebastes,Sebastes hopkinsi
Sebastes jordani,Sebastes,Sebastes,Sebastes jordani
Sebastes levis,Sebastes,Sebastes,Sebastes levis
