Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
457.2,16S_Prey,792006,142430,142086,142263,85,85,84
486.1,16S_Prey,786921,138343,138121,138294,0,0,0
988.2,16S_Prey,611570,147605,147523,147598,43,43,43
1209.2,16S_Prey,502051,118068,117944,117952,0,0,0
463.2,16S_Prey,575888,132784,132649,132781,26,26,26
779.2,16S_Prey,472942,98447,98422,98442,0,0,0
