Sample_name,Locus,Hash,nReads
81.1,16S_Prey,7edc82ae907368e2ba93f8d04552ca58def53f5b,538
81.1,16S_Prey,ee218cad8a54bc88b50a55f98142e40dc25a413c,1518
81.1,16S_Prey,149ddb4cae2057046fa8d6d0c1e81599d97ce9a3,289
82.1,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,72
286.1,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,436
286.1,16S_Prey,9c9a29499030c39f474ca37c50e7132f298e9958,2337
286.1,16S_Prey,35dcdb2c0d4066ecf59fbfbd1b5730fbbdbd2bf2,1158
286.1,16S_Prey,b11fdab12e64ba8b612b7aa89fa81466b2652431,1119
286.1,16S_Prey,0b5eaca4b6196d73cf574cb1892d1f95948598e8,586
286.1,16S_Prey,598d94015c122ecbad62bec036a9d438e71e2b13,586
344.1,16S_Prey,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,139
344.1,16S_Prey,e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,75
344.1,16S_Prey,ceeef90eb147b9672c36201812711d41250edff7,433
457.1,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,684
457.1,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,276
457.1,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,176
457.1,16S_Prey,3fd5ca4246dfef9ef69bad738ae0ddb8314904d1,186
457.1,16S_Prey,e71684194a2a061ff7daa95baf0472a01cda855b,133
457.1,16S_Prey,0bce5bf22016da8e2f70cbe67f1c49045f2347b0,156
59.1,16S_Prey,d263e0c102e388e9126fd3ea4d7c8898bf63db85,627
59.1,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,1518
59.1,16S_Prey,8c80670a8a77fcac07e40cac172332fa3221e9b1,749
71.1,16S_Prey,e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,381
71.1,16S_Prey,7edc82ae907368e2ba93f8d04552ca58def53f5b,2216
71.1,16S_Prey,a9189cb7ffcb95b3659cbc7cbdb50bfb778316b6,1886
71.1,16S_Prey,438d0e3934885d6d72a35f42df117b4ee205deeb,1555
71.1,16S_Prey,6e82711d6515a0aec2808ae8be7d99113f3f5f64,787
71.1,16S_Prey,327334d08a8db7733a537c33c7bd1e4b9896c736,495
71.1,16S_Prey,99769d2227c400d7a3759f93d51842d4e0697850,450
71.1,16S_Prey,1b10eacfc9e976e271fccd76ded0a1d711ba7b29,33
456.1,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,446
456.1,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,37
456.1,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,215
456.1,16S_Prey,dcd5c0624182972839c97ca4bb77e8fac0372896,76
456.1,16S_Prey,6c6eaa297c8fb994be55391d63c9af44badd0464,5
457.2,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,827
457.2,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,11793
457.2,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,3493
457.2,16S_Prey,9c9a29499030c39f474ca37c50e7132f298e9958,1835
457.2,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,3791
457.2,16S_Prey,3fd5ca4246dfef9ef69bad738ae0ddb8314904d1,1527
457.2,16S_Prey,dcd5c0624182972839c97ca4bb77e8fac0372896,1120
457.2,16S_Prey,0bce5bf22016da8e2f70cbe67f1c49045f2347b0,503
457.2,16S_Prey,6c4022ae9b62bcdb1da4187ab886923deb6094ed,721
457.2,16S_Prey,6f82f43f82ba04cad4262f48e69ee29a37a06336,670
457.2,16S_Prey,39075ddac6ecfe430472244cd76b05210a10a830,645
457.2,16S_Prey,b31b531666ba08779b9e0b42fd667bec8c5af8f3,278
457.2,16S_Prey,16152a4f1c32cb95cff64bd765c5686da00f9e5b,161
459.1,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,1503
459.1,16S_Prey,e71684194a2a061ff7daa95baf0472a01cda855b,680
459.1,16S_Prey,a6bbb548afcac1702dd8be06a490feb3650b59c5,470
460.1,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,1057
460.1,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,1146
460.1,16S_Prey,63c9c2740582c480fe995c3fbe6b76444b75b8da,2845
460.1,16S_Prey,3fd5ca4246dfef9ef69bad738ae0ddb8314904d1,116
460.1,16S_Prey,46198a966b943c5f03fd710b52b7f74fc3e2ca5e,99
460.1,16S_Prey,b498dc312e433682f65baea4d7c719fa1400285c,264
460.1,16S_Prey,a61b53af71303c7249271f2467598f1bc7aa94e2,189
460.1,16S_Prey,283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,115
461.1,16S_Prey,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,232
461.1,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,497
