Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
1573.2,16S_Prey,89971,2653,2480,2355,2310,2310,2272
1574.2,16S_Prey,128788,4915,4643,4231,4120,4120,3895
1719.2,16S_Prey,57049,416,238,215,214,214,214
1720.2,16S_Prey,62661,1074,949,898,884,884,884
1723.2,16S_Prey,64840,2187,2090,1980,1973,1973,1973
1725.2,16S_Prey,62405,260,2,1,0,0,0
1745.2,16S_Prey,73835,3291,3180,3006,2982,2982,2967
1746.2,16S_Prey,102131,326,136,128,125,125,125
1756.2,16S_Prey,50605,103,1,1,0,0,0
1769.2,16S_Prey,107945,3115,2900,2734,2549,2549,2544
1770.2,16S_Prey,122814,3692,3394,3099,3052,3052,2863
1779.2,16S_Prey,73081,597,304,276,272,272,272
83.1,16S_Prey,93891,3900,3738,3382,3356,3356,3223
781.1,16S_Prey,81402,1390,1172,1109,1086,1086,1075
83.2,16S_Prey,31773,106,1,1,0,0,0
781.2,16S_Prey,92782,4480,4353,4185,4148,4148,4148
458.3,16S_Prey,144135,5799,5601,5306,5140,5140,5090
783.3,16S_Prey,92262,3194,3004,2920,2832,2832,2832
784.3,16S_Prey,88595,3110,2928,2762,2750,2750,2750
849.3,16S_Prey,172628,9007,8773,8323,7395,7395,7278
1275.3,16S_Prey,170,7,2,1,0,0,0
1573.3,16S_Prey,164177,2234,1839,1718,1254,1254,1254
1574.3,16S_Prey,105981,1872,1519,1384,1357,1357,1357
1005.1,16S_Prey,49,1,1,1,0,0,0
1205.1,16S_Prey,132,2,1,1,0,0,0
1547.1,16S_Prey,100310,2701,2432,2289,2112,2112,2053
1548.1,16S_Prey,132410,4344,3901,4008,2359,2359,2359
782.3,16S_Prey,97349,4007,3879,3624,3593,3593,3395
T+.3,16S_Prey,74105,3790,3723,3414,3402,3402,3402
T+.4,16S_Prey,58196,2513,2430,2343,2304,2304,2304
Undetermined,16S_Prey,6710197,275902,159564,34490,28000,28000,27862
783.1,16S_Prey,3,0,0,0,0,0,0
784.1,16S_Prey,21,0,0,0,0,0,0
1275.1,16S_Prey,10,0,0,0,0,0,0
849.2,16S_Prey,10,0,0,0,0,0,0
71.2,16S_Prey,0,0,0,0,0,0,0
82.2,16S_Prey,0,0,0,0,0,0,0
986.1,16S_Prey,8,0,0,0,0,0,0
1003.1,16S_Prey,13,0,0,0,0,0,0
1008.1,16S_Prey,0,0,0,0,0,0,0
1206.1,16S_Prey,0,0,0,0,0,0,0
1540.1,16S_Prey,7,0,0,0,0,0,0
1542.3,16S_Prey,0,0,0,0,0,0,0
