Plate.x,Well.x,Sample,Qubit,Sequencing_run,27,28_Mifish,29,30,31,32,33,34,35,36,38,39,41,42,43,44,45,44_1,45_1,SOLUTION,PCR,35_1,36_1,38_1,39_1,41_1,Plate.y,Well.y,Row,Column,ngaps,qubit
22,E1,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Add more,Annealing,55,55,55,55,55,Plate22,E1,E,1,2,0
22,G1,68,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,Add more,NA,NA,NA,NA,NA,NA,Plate22,G1,G,1,2,1.84
22,H1,69,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Add more,NA,NA,NA,NA,NA,NA,Plate22,H1,H,1,2,0.2
22,B2,71,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,X,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,Plate22,B2,B,2,1,15
22,C2,80,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Add more,NA,NA,NA,NA,NA,NA,Plate22,C2,C,2,2,3
22,D2,81,6.56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,Plate22,D2,D,2,1,6.56
22,E2,82,23.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,Plate22,E2,E,2,1,23.2
22,A4,342,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,A4,A,4,2,6.35
22,C5,462,41.5,2,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,X,X,x,NA,NA,NA,NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,Plate22,C5,C,5,1,41.5
22,H5,489,TOOHIGH,2,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,H5,H,5,1,TOOHIGH
22,C7,799,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,C7,C,7,1,3.05
22,D7,800,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,D7,D,7,2,3
22,G7,847,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,G7,G,7,2,8.6
22,H7,848,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,H7,H,7,2,8
22,C8,985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,C8,C,8,2,27.8
22,D8,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,D8,D,8,2,13.5
22,G8,997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,G8,G,8,2,31
22,H8,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,H8,H,8,2,5
22,A9,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,A9,A,9,1,NA
22,C9,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,C9,C,9,2,16.7
22,D9,1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,D9,D,9,2,7.65
22,E9,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,E9,E,9,2,6.5
22,G9,1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,G9,G,9,2,Too High
22,H9,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,H9,H,9,2,Too High
22,A10,1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,A10,A,10,2,17.1
22,B10,1206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,B10,B,10,2,7.57
22,G10,1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,G10,G,10,2,3.3
22,B11,1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,B11,B,11,2,36.6
22,C11,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,C11,C,11,2,24.5
22,D11,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plate22,D11,D,11,2,10.6
