Plate,Well,Sample,Qubit,Sequencing_run,27,28_Mifish,29,30,31,32,33,34,35,36,38,39,41,42,43,44,45,44,45,SOLUTION,PCR,35,36,38,39,41
22,B1,59,6.5,2,,,,,,,,,,,X,,x,x,,,,,,Good,Taq,0.45,0.3,0.45,0.225,0.45
22,B2,71,15,2,,,,,,,,,,,x,,X,,,,,,,?,,,,,,
22,E4,456,23,2,,,,,,,,,,,X,x,X,x,,,,,,Good,,,,,,
22,G4,458,10.2,2,,,,,,,,,,,X,x,X,x,,,,,,Good,,,,,,
22,H4,459,4.98,2,,,,,,,,,,,X,X,X,,,,,,,Good,,,,,,
22,A5,460,37.4,2,,,,,,,,,X,,X,,X,x,,,,,,Good,,,,,,
22,B5,461,49.5,2,,,,,,,,,X,,X,X,X,x,,,,,,Good,,,,,,
22,D5,463,28.6,2,,,,,,,,,x,,X,,x,,,,,,,Good,,,,,,
22,E5,486,36.4,2,,,,,,,,,x,,X,X,X,,,,,,,Good,,,,,,
22,F5,487,18.8,2,,,,,,,,,x,,x,x,X,,,,,,,Good,,,,,,
22,G5,488,38,2,,,,,,,,,x,,x,X,X,x,,,,,,Good,,,,,,
22,A6,510,12.6,2,,,,,,,,,x,,X,x,X,,,,,,,Good,,,,,,
22,B6,511,1.3,2,,,,,,,,,x,,X,X,X,x,,,,,,Good,,,,,,
22,C6,512,21.2,2,,,,,,,,,X,,X,X,X,x,,,,,,Good,,,,,,
22,D6,513,21.5,2,,,,,,,,,X,,X,X,X,x,,,,,,Good,,,,,,
22,E6,779,11.6,2,,,,,,,,,X,,X,,X,,,,,,,Good,,,,,,
22,F6,780,14,2,,,,,,,,,x,,X,,X,,,,,,,Good,,,,,,
22,H6,782,35.9,2,,,,,,,,,X,,X,,X,x,,,,,,Good,,,,,,
22,D2,81,6.56,2,,,,,,,,,,,X,X,,,,,,,,Good,,,,,,
22,E2,82,23.2,2,,,,,,,,,,,X,X,X,,,,,,,Good,,,,,,
22,C3,286,37.7,2,,,,,,,,,,,X,X,X,,,,,,,Good,,61.2,318.2,,,
22,C4,344,18.3,2,,,,,,,,,,,X,x,X,x,,,,,,Good,,,,,,
22,C5,462,41.5,2,,,,,,,,,x,,X,X,x,,,,,,,Good,,,,,,
22,H5,489,TOOHIGH,2,,,,,,,,,x,,X,X,,,,,,,,,,,,,,
22,A1,58,4.64,1,,,,,,,,,X,,NA,X,X,,,,,,,Good,Primer.each,0.9,0.75,0.9,0.45,0.75
22,C1,60,4.57,1,,,,,,,,,X,,X,X,x,x,,,,,,Good,Template,3,0.2,3,1.5,3
22,D1,61,5,1,,,,,,,,,x,,x,X,x,x,,,,,,Good,Volume,45,30,45,22.5,45
22,F1,63,2.91,1,,,,,,,,,x,,,x,x,x,,,,,,Add more,,,,,,
22,F4,457,18.7,2,,,,,,,,,x,,,X,X,x,,,,,,Good,,,,,,
22,A2,70,9,1,,,,,,,,,x,,X,X,X,x,,,,,,Good,,,,,,
22,G2,282,2.1,1,,,,,,,,,x,,X,,X,,,,,,,Good,,,,,,
22,H2,283,3.2,1,,,,,,,,,x,,x,X,X,,,,,,,Good,,,,,,
22,A3,284,8.1,1,,,,,,,,,x,,X,X,x,,,,,,,Good,,58.2,285.2,,,
22,B3,285,5.94,1,,,,,,,,,x,,x,X,X,,,,,,,Good,,60.2,287.2,,,
22,D3,287,40.9,1,,,,,,,,,x,,x,X,X,x,,,,,,Good,,63.2,319.2,,,
22,E3,318,17.4,1,,,,,,,,,x,,x,,X,x,,,,,,Good,,70.2,320.2,,,
22,F3,319,20.4,1,,,,,,,,,x,,X,x,,x,,,,,,Good,,282.2,321.2,,,
22,G3,320,23.5,1,,,,,,,,,X,,X,X,X,x,,,,,,Good,,283.2,343.2,,,
22,H3,321,19.6,1,,,,,,,,,x,,X,X,X,,,,,,,Good,,284.2,345.2,,,
22,B4,343,30,1,,,,,,,,,X,,x,x,X,,,,,,,Good,,,,,,
22,D4,345,18.6,1,,,,,,,,,X,,X,x,X,x,,,,,,Good,,,,,,
22,E1,62,0,,,,,,,,,,,,,,,,,,,,,Add more,Annealing,55,55,55,55,55
22,G1,68,1.84,,,,,,,,,,,,,,x,,,,,,,Add more,,,,,,
22,H1,69,0.2,,,,,,,,,,,,,,,,,,,,,Add more,,,,,,
22,C2,80,3,,,,,,,,,,,,,,,,,,,,,Add more,,,,,,
22,F2,83,23.7,,,,,,,,,,x,,,,X,,,,,,,Dilute,,,,,,
22,A4,342,6.35,,,,,,,,,,x,,,,,,,,,,,,,,,,,
22,G6,781,46.1,,,,,,,,,,X,,X,,,,,,,,,,,,,,,
22,A7,783,36.8,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,B7,784,46.1,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,C7,799,3.05,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,D7,800,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,E7,801,27.8,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,F7,802,36.3,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,G7,847,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,H7,848,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A8,849,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,B8,850,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,C8,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D8,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,E8,987,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,F8,988,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,G8,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,H8,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A9,999,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,B9,1000,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
22,C9,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D9,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
