qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H8,E1,E01,gBlocks,26.4771595,0.1239248,STANDARD,33.59155655,10,STANDARD,32.23907471,10,STANDARD,32.23907471,10
H8,E2,E01,gBlocks,26.36116219,0.007927486,STANDARD,32.84762955,10,STANDARD,32.04461288,10,STANDARD,32.04461288,10
H8,E3,E01,gBlocks,26.34259033,-0.010644368,STANDARD,32.98070908,10,STANDARD,32.10206985,10,STANDARD,32.10206985,10
H8,F1,5,gBlocks,26.39180183,0.038567134,STANDARD,33.41233444,5,STANDARD,32.95552826,5,STANDARD,32.95552826,5
H8,F2,5,gBlocks,26.39227104,0.039036342,STANDARD,34.22676468,5,STANDARD,32.70828247,5,STANDARD,32.70828247,5
H8,F3,5,gBlocks,26.43687057,0.083635875,STANDARD,33.79737854,5,STANDARD,32.69248962,5,STANDARD,32.69248962,5
H8,G1,E00,gBlocks,26.19809341,-0.155141285,STANDARD,Undetermined,1,STANDARD,34.72514725,1,STANDARD,34.72514725,1
H8,G2,E00,gBlocks,26.40742874,0.054194042,STANDARD,Undetermined,1,STANDARD,34.26069641,1,STANDARD,34.26069641,1
H8,G3,E00,gBlocks,26.48003197,0.126797267,UNKNOWN,37.34799194,0.427179337,UNKNOWN,33.76968765,2.322918892,STANDARD,33.76968765,2.322918892
H8,H1,E00,gBlocks,26.30690193,-0.046332768,STANDARD,35.3567009,1,STANDARD,35.81322098,1,STANDARD,35.81322098,1
H8,H2,E00,gBlocks,26.36322594,0.009991237,STANDARD,36.358078,1,STANDARD,34.15861511,1,STANDARD,34.15861511,1
H8,H3,E00,gBlocks,26.35136795,-0.001866749,STANDARD,36.35252762,1,STANDARD,34.31475067,1,STANDARD,34.31475067,1
H9,A1,E05,gBlocks,29.45602989,2.770801926,STANDARD,20.46275902,100000,STANDARD,20.33158302,100000,STANDARD,21.14066124,100000
H9,A2,E05,gBlocks,30.0635891,3.37836113,STANDARD,20.19802666,100000,STANDARD,20.00691223,100000,STANDARD,20.92275429,100000
H9,A3,E05,gBlocks,29.33139038,2.646162415,STANDARD,20.45921135,100000,STANDARD,20.21762466,100000,STANDARD,21.06049156,100000
H9,B1,E04,gBlocks,26.80541611,0.120188141,STANDARD,23.41921234,10000,STANDARD,23.2312603,10000,STANDARD,24.03996277,10000
H9,B2,E04,gBlocks,26.69401932,0.008791351,STANDARD,23.57036972,10000,STANDARD,23.3974514,10000,STANDARD,24.19668198,10000
H9,B3,E04,gBlocks,26.40661621,-0.278611755,STANDARD,23.68992233,10000,STANDARD,23.49476242,10000,STANDARD,24.35626984,10000
H9,C1,E03,gBlocks,26.42542076,-0.259807205,STANDARD,27.0671711,1000,STANDARD,26.78906059,1000,STANDARD,27.58638573,1000
H9,C2,E03,gBlocks,26.55383682,-0.131391144,STANDARD,27.06116486,1000,STANDARD,26.67492294,1000,STANDARD,27.4926548,1000
