"","Species","MFU-52193-1024-1-d1","MFU-52193-1044-1-d1","MFU-52193-1048-1-d1","MFU-52193-1079-1-d1","MFU-52193-1091-1-d1","MFU-52193-1093-1-d1","MFU-52193-1099-1-d5","MFU-52193-1115-1-d1","MFU-52193-1139-1-d5","MFU-52193-1157-1-d1","MFU-52193-1201-1-d5","MFU-52193-1231-1-d1","MFU-52193-124-1-d1","MFU-52193-1243-1-d1","MFU-52193-1253-1-d1","MFU-52193-1267-1-d1","MFU-52193-1275-1-d5","MFU-52193-1279-1-d5","MFU-52193-1281-1-d1","MFU-52193-1295-1-d1","MFU-52193-1299-1-d5","MFU-52193-1314-1-d5","MFU-52193-1334-1-d1","MFU-52193-1385-1-d1","MFU-52193-1449-1-d1","MFU-52193-1453-1-d1","MFU-52193-1474-1-d1","MFU-52193-150-1-d5","MFU-52193-1501-1-d1","MFU-52193-1555-1-d1","MFU-52193-156-1-d1","MFU-52193-1575-1-d1","MFU-52193-1591-1-d1","MFU-52193-1682-1-d1","MFU-52193-170-1-d1","MFU-52193-1700-1-d1","MFU-52193-1735-1-d5","MFU-52193-178-1-d1","MFU-52193-1811-1-d1","MFU-52193-182-1-d1","MFU-52193-1861-1-d1","MFU-52193-1869-1-d1","MFU-52193-1871-1-d1","MFU-52193-202-1-d1","MFU-52193-227-1-d1","MFU-52193-294-1-d1","MFU-52193-300-1-d1","MFU-52193-332-1-d5","MFU-52193-338-1-d1","MFU-52193-352-1-d1","MFU-52193-372-1-d1","MFU-52193-408-1-d1","MFU-52193-423-1-d1","MFU-52193-435-1-d1","MFU-52193-506-1-d1","MFU-52193-517-1-d1","MFU-52193-529-1-d1","MFU-52193-617-1-d1","MFU-52193-62-1-d1","MFU-52193-645-1-d1","MFU-52193-700-1-d1","MFU-52193-72-1-d1","MFU-52193-734-1-d5","MFU-52193-789-1-d1","MFU-52193-808-1-d5","MFU-52193-823-1-d1","MFU-52193-847-1-d1","MFU-52193-874-1-d5","MFU-52193-878-1-d1","MFU-52193-898-1-d5","MFU-52193-910-1-d5","MFU-52193-977-1-d1","MFU-52193-979-1-d1","MFU-52193-991-1-d1","MFU-52193-993-1-d5","MFU-52193-997-1-d1"
"13","Ceratoscopelus townsendi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Chauliodus macouni",359,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chilara taylori",0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Citharichthys sordidus",0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,1627,0,0,0,97360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,52,533,0,5643,1146,0,0,0,2858,2993
"17","Citharichthys stigmaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0
"18","Clupea pallasii",0,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0,0,0,0,0,0,1493,9408,2322,0,3634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3734,78,0,0,0,0,0,0,4575,160,4067
"19","Cololabis saira",0,0,1169,0,0,709,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7938,4907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0
"20","Cyclothone atraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Diaphus theta",1274,8087,1064,0,7033,1549,0,0,0,0,0,1297,1235,6142,0,0,1608,0,0,0,6247,0,0,2314,0,0,0,0,4150,0,7602,0,1753,0,1358,0,0,0,6755,1096,36737,0,19658,700,0,0,0,0,3143,82462,1746,0,12195,21025,0,2180,2164,509,0,0,0,2695,0,127138,0,6220,296,0,7873,0,1,27790,38812,4568,0,0
"22","Engraulis mordax",227,2275,0,0,0,0,0,0,0,0,40597,0,0,0,0,0,337524,23469,0,0,0,27362,0,4422,0,0,0,0,0,0,0,0,0,0,0,0,41439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19139,0,0,0,319979,514,25612,349452,0,0,1147,8345,0
